"Draw","chain","par","value","parameter","Behavior","Animal","Track","step","Previous_State"
61,1,"alpha[1]",0.343981353775325,"alpha","Traveling->Traveling",NA,NA,NA,1
62,1,"alpha[1]",0.547000284775413,"alpha","Traveling->Traveling",NA,NA,NA,1
63,1,"alpha[1]",0.881675451113039,"alpha","Traveling->Traveling",NA,NA,NA,1
64,1,"alpha[1]",0.836008372634302,"alpha","Traveling->Traveling",NA,NA,NA,1
65,1,"alpha[1]",0.873406777141953,"alpha","Traveling->Traveling",NA,NA,NA,1
66,1,"alpha[1]",0.956034217679298,"alpha","Traveling->Traveling",NA,NA,NA,1
67,1,"alpha[1]",0.745780735759941,"alpha","Traveling->Traveling",NA,NA,NA,1
68,1,"alpha[1]",0.895211299023291,"alpha","Traveling->Traveling",NA,NA,NA,1
69,1,"alpha[1]",0.984940363739849,"alpha","Traveling->Traveling",NA,NA,NA,1
70,1,"alpha[1]",0.900124316936195,"alpha","Traveling->Traveling",NA,NA,NA,1
71,1,"alpha[1]",0.671450011608353,"alpha","Traveling->Traveling",NA,NA,NA,1
72,1,"alpha[1]",0.778537467197509,"alpha","Traveling->Traveling",NA,NA,NA,1
73,1,"alpha[1]",0.984966119784158,"alpha","Traveling->Traveling",NA,NA,NA,1
74,1,"alpha[1]",0.956164401506723,"alpha","Traveling->Traveling",NA,NA,NA,1
75,1,"alpha[1]",0.876284544795131,"alpha","Traveling->Traveling",NA,NA,NA,1
76,1,"alpha[1]",0.58469269997837,"alpha","Traveling->Traveling",NA,NA,NA,1
77,1,"alpha[1]",0.919474141120411,"alpha","Traveling->Traveling",NA,NA,NA,1
78,1,"alpha[1]",0.646613741490724,"alpha","Traveling->Traveling",NA,NA,NA,1
79,1,"alpha[1]",0.972093043328924,"alpha","Traveling->Traveling",NA,NA,NA,1
80,1,"alpha[1]",0.704205914519202,"alpha","Traveling->Traveling",NA,NA,NA,1
81,1,"alpha[1]",0.580303577476442,"alpha","Traveling->Traveling",NA,NA,NA,1
82,1,"alpha[1]",0.570759190865365,"alpha","Traveling->Traveling",NA,NA,NA,1
83,1,"alpha[1]",0.932091617827811,"alpha","Traveling->Traveling",NA,NA,NA,1
84,1,"alpha[1]",0.953540485198156,"alpha","Traveling->Traveling",NA,NA,NA,1
85,1,"alpha[1]",0.459205704915823,"alpha","Traveling->Traveling",NA,NA,NA,1
86,1,"alpha[1]",0.582653155221523,"alpha","Traveling->Traveling",NA,NA,NA,1
87,1,"alpha[1]",0.657598837673608,"alpha","Traveling->Traveling",NA,NA,NA,1
88,1,"alpha[1]",0.898377234109204,"alpha","Traveling->Traveling",NA,NA,NA,1
89,1,"alpha[1]",0.834122601422336,"alpha","Traveling->Traveling",NA,NA,NA,1
90,1,"alpha[1]",0.723783282517149,"alpha","Traveling->Traveling",NA,NA,NA,1
91,1,"alpha[1]",0.731316353601271,"alpha","Traveling->Traveling",NA,NA,NA,1
92,1,"alpha[1]",0.942779954229944,"alpha","Traveling->Traveling",NA,NA,NA,1
93,1,"alpha[1]",0.967987726520755,"alpha","Traveling->Traveling",NA,NA,NA,1
94,1,"alpha[1]",0.439994621261251,"alpha","Traveling->Traveling",NA,NA,NA,1
95,1,"alpha[1]",0.527486329050512,"alpha","Traveling->Traveling",NA,NA,NA,1
96,1,"alpha[1]",0.857115152321857,"alpha","Traveling->Traveling",NA,NA,NA,1
97,1,"alpha[1]",0.819072798603823,"alpha","Traveling->Traveling",NA,NA,NA,1
98,1,"alpha[1]",0.718578866631772,"alpha","Traveling->Traveling",NA,NA,NA,1
99,1,"alpha[1]",0.679227357970647,"alpha","Traveling->Traveling",NA,NA,NA,1
100,1,"alpha[1]",0.413485602796714,"alpha","Traveling->Traveling",NA,NA,NA,1
101,1,"alpha[1]",0.600878870365244,"alpha","Traveling->Traveling",NA,NA,NA,1
102,1,"alpha[1]",0.748765109360016,"alpha","Traveling->Traveling",NA,NA,NA,1
103,1,"alpha[1]",0.888212726585287,"alpha","Traveling->Traveling",NA,NA,NA,1
104,1,"alpha[1]",0.972335581774781,"alpha","Traveling->Traveling",NA,NA,NA,1
105,1,"alpha[1]",0.911134993324482,"alpha","Traveling->Traveling",NA,NA,NA,1
106,1,"alpha[1]",0.832309027104915,"alpha","Traveling->Traveling",NA,NA,NA,1
107,1,"alpha[1]",0.726730077698816,"alpha","Traveling->Traveling",NA,NA,NA,1
108,1,"alpha[1]",0.527050961706264,"alpha","Traveling->Traveling",NA,NA,NA,1
109,1,"alpha[1]",0.39109325314432,"alpha","Traveling->Traveling",NA,NA,NA,1
110,1,"alpha[1]",0.532079094415514,"alpha","Traveling->Traveling",NA,NA,NA,1
111,1,"alpha[1]",0.66620137027251,"alpha","Traveling->Traveling",NA,NA,NA,1
112,1,"alpha[1]",0.544624299126919,"alpha","Traveling->Traveling",NA,NA,NA,1
113,1,"alpha[1]",0.907386839993904,"alpha","Traveling->Traveling",NA,NA,NA,1
114,1,"alpha[1]",0.931876969193463,"alpha","Traveling->Traveling",NA,NA,NA,1
115,1,"alpha[1]",0.99859890125447,"alpha","Traveling->Traveling",NA,NA,NA,1
116,1,"alpha[1]",0.413208619516427,"alpha","Traveling->Traveling",NA,NA,NA,1
117,1,"alpha[1]",0.619491117438183,"alpha","Traveling->Traveling",NA,NA,NA,1
118,1,"alpha[1]",0.354084304056599,"alpha","Traveling->Traveling",NA,NA,NA,1
119,1,"alpha[1]",0.855992957547603,"alpha","Traveling->Traveling",NA,NA,NA,1
120,1,"alpha[1]",0.696377811746429,"alpha","Traveling->Traveling",NA,NA,NA,1
121,1,"alpha[1]",0.873725891408144,"alpha","Traveling->Traveling",NA,NA,NA,1
122,1,"alpha[1]",0.92741911014912,"alpha","Traveling->Traveling",NA,NA,NA,1
123,1,"alpha[1]",0.0871885216816196,"alpha","Traveling->Traveling",NA,NA,NA,1
124,1,"alpha[1]",0.695045024658499,"alpha","Traveling->Traveling",NA,NA,NA,1
125,1,"alpha[1]",0.564335420534598,"alpha","Traveling->Traveling",NA,NA,NA,1
126,1,"alpha[1]",0.987370311252034,"alpha","Traveling->Traveling",NA,NA,NA,1
127,1,"alpha[1]",0.890233744385718,"alpha","Traveling->Traveling",NA,NA,NA,1
128,1,"alpha[1]",0.408294044819265,"alpha","Traveling->Traveling",NA,NA,NA,1
129,1,"alpha[1]",0.921887179483819,"alpha","Traveling->Traveling",NA,NA,NA,1
130,1,"alpha[1]",0.597159445307745,"alpha","Traveling->Traveling",NA,NA,NA,1
131,1,"alpha[1]",0.324483563724473,"alpha","Traveling->Traveling",NA,NA,NA,1
132,1,"alpha[1]",0.809127195821405,"alpha","Traveling->Traveling",NA,NA,NA,1
133,1,"alpha[1]",0.843145297737491,"alpha","Traveling->Traveling",NA,NA,NA,1
134,1,"alpha[1]",0.987775422486742,"alpha","Traveling->Traveling",NA,NA,NA,1
135,1,"alpha[1]",0.945895164747029,"alpha","Traveling->Traveling",NA,NA,NA,1
136,1,"alpha[1]",0.918983758003721,"alpha","Traveling->Traveling",NA,NA,NA,1
137,1,"alpha[1]",0.958277595220162,"alpha","Traveling->Traveling",NA,NA,NA,1
138,1,"alpha[1]",0.642728241874325,"alpha","Traveling->Traveling",NA,NA,NA,1
139,1,"alpha[1]",0.938872991135486,"alpha","Traveling->Traveling",NA,NA,NA,1
140,1,"alpha[1]",0.742701078301776,"alpha","Traveling->Traveling",NA,NA,NA,1
141,1,"alpha[1]",0.827853960808548,"alpha","Traveling->Traveling",NA,NA,NA,1
142,1,"alpha[1]",0.901007825793926,"alpha","Traveling->Traveling",NA,NA,NA,1
143,1,"alpha[1]",0.707291939533974,"alpha","Traveling->Traveling",NA,NA,NA,1
144,1,"alpha[1]",0.678992343649518,"alpha","Traveling->Traveling",NA,NA,NA,1
145,1,"alpha[1]",0.982285173085923,"alpha","Traveling->Traveling",NA,NA,NA,1
146,1,"alpha[1]",0.576791828893071,"alpha","Traveling->Traveling",NA,NA,NA,1
147,1,"alpha[1]",0.973163113963295,"alpha","Traveling->Traveling",NA,NA,NA,1
148,1,"alpha[1]",0.934697809085942,"alpha","Traveling->Traveling",NA,NA,NA,1
149,1,"alpha[1]",0.879542148197209,"alpha","Traveling->Traveling",NA,NA,NA,1
150,1,"alpha[1]",0.954200214047303,"alpha","Traveling->Traveling",NA,NA,NA,1
151,1,"alpha[1]",0.416243592881872,"alpha","Traveling->Traveling",NA,NA,NA,1
152,1,"alpha[1]",0.844555173508093,"alpha","Traveling->Traveling",NA,NA,NA,1
153,1,"alpha[1]",0.726995037258,"alpha","Traveling->Traveling",NA,NA,NA,1
154,1,"alpha[1]",0.724190243552024,"alpha","Traveling->Traveling",NA,NA,NA,1
155,1,"alpha[1]",0.837353193979265,"alpha","Traveling->Traveling",NA,NA,NA,1
156,1,"alpha[1]",0.847091891273595,"alpha","Traveling->Traveling",NA,NA,NA,1
157,1,"alpha[1]",0.671073616380244,"alpha","Traveling->Traveling",NA,NA,NA,1
158,1,"alpha[1]",0.302104874352329,"alpha","Traveling->Traveling",NA,NA,NA,1
159,1,"alpha[1]",0.350090934269523,"alpha","Traveling->Traveling",NA,NA,NA,1
160,1,"alpha[1]",0.314703000298227,"alpha","Traveling->Traveling",NA,NA,NA,1
161,1,"alpha[1]",0.836480438142833,"alpha","Traveling->Traveling",NA,NA,NA,1
162,1,"alpha[1]",0.918483384804445,"alpha","Traveling->Traveling",NA,NA,NA,1
163,1,"alpha[1]",0.896570317422786,"alpha","Traveling->Traveling",NA,NA,NA,1
164,1,"alpha[1]",0.930918965126865,"alpha","Traveling->Traveling",NA,NA,NA,1
165,1,"alpha[1]",0.998219315841926,"alpha","Traveling->Traveling",NA,NA,NA,1
166,1,"alpha[1]",0.762329504046629,"alpha","Traveling->Traveling",NA,NA,NA,1
167,1,"alpha[1]",0.832142515548131,"alpha","Traveling->Traveling",NA,NA,NA,1
168,1,"alpha[1]",0.599002533565265,"alpha","Traveling->Traveling",NA,NA,NA,1
169,1,"alpha[1]",0.467251617700419,"alpha","Traveling->Traveling",NA,NA,NA,1
170,1,"alpha[1]",0.940234545037133,"alpha","Traveling->Traveling",NA,NA,NA,1
171,1,"alpha[1]",0.768268322369312,"alpha","Traveling->Traveling",NA,NA,NA,1
172,1,"alpha[1]",0.652707446410931,"alpha","Traveling->Traveling",NA,NA,NA,1
173,1,"alpha[1]",0.885051593205695,"alpha","Traveling->Traveling",NA,NA,NA,1
174,1,"alpha[1]",0.834751642230312,"alpha","Traveling->Traveling",NA,NA,NA,1
175,1,"alpha[1]",0.442411182393705,"alpha","Traveling->Traveling",NA,NA,NA,1
176,1,"alpha[1]",0.878165137281212,"alpha","Traveling->Traveling",NA,NA,NA,1
177,1,"alpha[1]",0.989279691250755,"alpha","Traveling->Traveling",NA,NA,NA,1
178,1,"alpha[1]",0.952911969309124,"alpha","Traveling->Traveling",NA,NA,NA,1
179,1,"alpha[1]",0.915400843342254,"alpha","Traveling->Traveling",NA,NA,NA,1
180,1,"alpha[1]",0.951921958377175,"alpha","Traveling->Traveling",NA,NA,NA,1
181,1,"alpha[1]",0.904093777418126,"alpha","Traveling->Traveling",NA,NA,NA,1
182,1,"alpha[1]",0.8370662250323,"alpha","Traveling->Traveling",NA,NA,NA,1
183,1,"alpha[1]",0.257921476880559,"alpha","Traveling->Traveling",NA,NA,NA,1
184,1,"alpha[1]",0.454678319313501,"alpha","Traveling->Traveling",NA,NA,NA,1
185,1,"alpha[1]",0.972268955354583,"alpha","Traveling->Traveling",NA,NA,NA,1
186,1,"alpha[1]",0.987750108450007,"alpha","Traveling->Traveling",NA,NA,NA,1
187,1,"alpha[1]",0.949214908911772,"alpha","Traveling->Traveling",NA,NA,NA,1
188,1,"alpha[1]",0.870488940244905,"alpha","Traveling->Traveling",NA,NA,NA,1
189,1,"alpha[1]",0.96513471797722,"alpha","Traveling->Traveling",NA,NA,NA,1
190,1,"alpha[1]",0.996823937142812,"alpha","Traveling->Traveling",NA,NA,NA,1
191,1,"alpha[1]",0.621996864797357,"alpha","Traveling->Traveling",NA,NA,NA,1
192,1,"alpha[1]",0.482442379112027,"alpha","Traveling->Traveling",NA,NA,NA,1
193,1,"alpha[1]",0.998433589981022,"alpha","Traveling->Traveling",NA,NA,NA,1
194,1,"alpha[1]",0.794545027176911,"alpha","Traveling->Traveling",NA,NA,NA,1
195,1,"alpha[1]",0.952864934997518,"alpha","Traveling->Traveling",NA,NA,NA,1
196,1,"alpha[1]",0.811528763992326,"alpha","Traveling->Traveling",NA,NA,NA,1
197,1,"alpha[1]",0.912643212481564,"alpha","Traveling->Traveling",NA,NA,NA,1
198,1,"alpha[1]",0.67134925553822,"alpha","Traveling->Traveling",NA,NA,NA,1
199,1,"alpha[1]",0.809189447905537,"alpha","Traveling->Traveling",NA,NA,NA,1
200,1,"alpha[1]",0.840864355281196,"alpha","Traveling->Traveling",NA,NA,NA,1
201,1,"alpha[1]",0.840693751466095,"alpha","Traveling->Traveling",NA,NA,NA,1
202,1,"alpha[1]",0.59298063659792,"alpha","Traveling->Traveling",NA,NA,NA,1
203,1,"alpha[1]",0.675725369658009,"alpha","Traveling->Traveling",NA,NA,NA,1
204,1,"alpha[1]",0.380395735936003,"alpha","Traveling->Traveling",NA,NA,NA,1
