"Draw","chain","par","value","parameter","Behavior","Animal","Track","step","Previous_State"
51,2,"alpha[1]",0.450441914100116,"alpha","Traveling->Traveling",NA,NA,NA,1
52,2,"alpha[1]",0.800427948347261,"alpha","Traveling->Traveling",NA,NA,NA,1
53,2,"alpha[1]",0.396733302905388,"alpha","Traveling->Traveling",NA,NA,NA,1
54,2,"alpha[1]",0.865469792401956,"alpha","Traveling->Traveling",NA,NA,NA,1
55,2,"alpha[1]",0.968863227608659,"alpha","Traveling->Traveling",NA,NA,NA,1
56,2,"alpha[1]",0.898373931513403,"alpha","Traveling->Traveling",NA,NA,NA,1
57,2,"alpha[1]",0.896554686396746,"alpha","Traveling->Traveling",NA,NA,NA,1
58,2,"alpha[1]",0.690714264721658,"alpha","Traveling->Traveling",NA,NA,NA,1
59,2,"alpha[1]",0.898851297507909,"alpha","Traveling->Traveling",NA,NA,NA,1
60,2,"alpha[1]",0.903231934527468,"alpha","Traveling->Traveling",NA,NA,NA,1
61,2,"alpha[1]",0.634264322585452,"alpha","Traveling->Traveling",NA,NA,NA,1
62,2,"alpha[1]",0.995353266698158,"alpha","Traveling->Traveling",NA,NA,NA,1
63,2,"alpha[1]",0.83067524032207,"alpha","Traveling->Traveling",NA,NA,NA,1
64,2,"alpha[1]",0.324422397904048,"alpha","Traveling->Traveling",NA,NA,NA,1
65,2,"alpha[1]",0.448843993188381,"alpha","Traveling->Traveling",NA,NA,NA,1
66,2,"alpha[1]",0.575876736849747,"alpha","Traveling->Traveling",NA,NA,NA,1
67,2,"alpha[1]",0.962258202817569,"alpha","Traveling->Traveling",NA,NA,NA,1
68,2,"alpha[1]",0.690783521148177,"alpha","Traveling->Traveling",NA,NA,NA,1
69,2,"alpha[1]",0.74159960572338,"alpha","Traveling->Traveling",NA,NA,NA,1
70,2,"alpha[1]",0.996730365059043,"alpha","Traveling->Traveling",NA,NA,NA,1
71,2,"alpha[1]",0.783975432155857,"alpha","Traveling->Traveling",NA,NA,NA,1
72,2,"alpha[1]",0.876763040171868,"alpha","Traveling->Traveling",NA,NA,NA,1
73,2,"alpha[1]",0.969650905742549,"alpha","Traveling->Traveling",NA,NA,NA,1
74,2,"alpha[1]",0.851675317135693,"alpha","Traveling->Traveling",NA,NA,NA,1
75,2,"alpha[1]",0.897985951574348,"alpha","Traveling->Traveling",NA,NA,NA,1
76,2,"alpha[1]",0.797578883400919,"alpha","Traveling->Traveling",NA,NA,NA,1
77,2,"alpha[1]",0.884730162843548,"alpha","Traveling->Traveling",NA,NA,NA,1
78,2,"alpha[1]",0.438948732023792,"alpha","Traveling->Traveling",NA,NA,NA,1
79,2,"alpha[1]",0.604779440652315,"alpha","Traveling->Traveling",NA,NA,NA,1
80,2,"alpha[1]",0.67984500037392,"alpha","Traveling->Traveling",NA,NA,NA,1
81,2,"alpha[1]",0.414468404055157,"alpha","Traveling->Traveling",NA,NA,NA,1
82,2,"alpha[1]",0.284577682125721,"alpha","Traveling->Traveling",NA,NA,NA,1
83,2,"alpha[1]",0.362081536814722,"alpha","Traveling->Traveling",NA,NA,NA,1
84,2,"alpha[1]",0.275107686436808,"alpha","Traveling->Traveling",NA,NA,NA,1
85,2,"alpha[1]",0.274635476927525,"alpha","Traveling->Traveling",NA,NA,NA,1
86,2,"alpha[1]",0.634134689821078,"alpha","Traveling->Traveling",NA,NA,NA,1
87,2,"alpha[1]",0.506320159072965,"alpha","Traveling->Traveling",NA,NA,NA,1
88,2,"alpha[1]",0.863841021019326,"alpha","Traveling->Traveling",NA,NA,NA,1
89,2,"alpha[1]",0.821670719786082,"alpha","Traveling->Traveling",NA,NA,NA,1
90,2,"alpha[1]",0.937457621304551,"alpha","Traveling->Traveling",NA,NA,NA,1
91,2,"alpha[1]",0.990180640009623,"alpha","Traveling->Traveling",NA,NA,NA,1
92,2,"alpha[1]",0.967668759410439,"alpha","Traveling->Traveling",NA,NA,NA,1
93,2,"alpha[1]",0.960706938825326,"alpha","Traveling->Traveling",NA,NA,NA,1
94,2,"alpha[1]",0.618472661021584,"alpha","Traveling->Traveling",NA,NA,NA,1
95,2,"alpha[1]",0.31385599006239,"alpha","Traveling->Traveling",NA,NA,NA,1
96,2,"alpha[1]",0.124046263836645,"alpha","Traveling->Traveling",NA,NA,NA,1
97,2,"alpha[1]",0.133029355384002,"alpha","Traveling->Traveling",NA,NA,NA,1
98,2,"alpha[1]",0.621877259320893,"alpha","Traveling->Traveling",NA,NA,NA,1
99,2,"alpha[1]",0.83430690764287,"alpha","Traveling->Traveling",NA,NA,NA,1
100,2,"alpha[1]",0.869196823860669,"alpha","Traveling->Traveling",NA,NA,NA,1
101,2,"alpha[1]",0.88368353267736,"alpha","Traveling->Traveling",NA,NA,NA,1
102,2,"alpha[1]",0.771577653872909,"alpha","Traveling->Traveling",NA,NA,NA,1
103,2,"alpha[1]",0.67377409362073,"alpha","Traveling->Traveling",NA,NA,NA,1
104,2,"alpha[1]",0.707504898213292,"alpha","Traveling->Traveling",NA,NA,NA,1
105,2,"alpha[1]",0.797166626131928,"alpha","Traveling->Traveling",NA,NA,NA,1
106,2,"alpha[1]",0.514203385122955,"alpha","Traveling->Traveling",NA,NA,NA,1
107,2,"alpha[1]",0.556190285337216,"alpha","Traveling->Traveling",NA,NA,NA,1
108,2,"alpha[1]",0.89163392827877,"alpha","Traveling->Traveling",NA,NA,NA,1
109,2,"alpha[1]",0.72642491615378,"alpha","Traveling->Traveling",NA,NA,NA,1
110,2,"alpha[1]",0.886732454770172,"alpha","Traveling->Traveling",NA,NA,NA,1
111,2,"alpha[1]",0.866818480752446,"alpha","Traveling->Traveling",NA,NA,NA,1
112,2,"alpha[1]",0.841605841894624,"alpha","Traveling->Traveling",NA,NA,NA,1
113,2,"alpha[1]",0.817415438992089,"alpha","Traveling->Traveling",NA,NA,NA,1
114,2,"alpha[1]",0.947307399648243,"alpha","Traveling->Traveling",NA,NA,NA,1
115,2,"alpha[1]",0.964472101890913,"alpha","Traveling->Traveling",NA,NA,NA,1
116,2,"alpha[1]",0.980952877037408,"alpha","Traveling->Traveling",NA,NA,NA,1
117,2,"alpha[1]",0.880038605728584,"alpha","Traveling->Traveling",NA,NA,NA,1
118,2,"alpha[1]",0.866963338302349,"alpha","Traveling->Traveling",NA,NA,NA,1
119,2,"alpha[1]",0.62105233107255,"alpha","Traveling->Traveling",NA,NA,NA,1
120,2,"alpha[1]",0.9481741634928,"alpha","Traveling->Traveling",NA,NA,NA,1
121,2,"alpha[1]",0.895565278768036,"alpha","Traveling->Traveling",NA,NA,NA,1
122,2,"alpha[1]",0.839107523562829,"alpha","Traveling->Traveling",NA,NA,NA,1
123,2,"alpha[1]",0.894328368175271,"alpha","Traveling->Traveling",NA,NA,NA,1
124,2,"alpha[1]",0.792736133440639,"alpha","Traveling->Traveling",NA,NA,NA,1
125,2,"alpha[1]",0.681780038349154,"alpha","Traveling->Traveling",NA,NA,NA,1
126,2,"alpha[1]",0.525622874319622,"alpha","Traveling->Traveling",NA,NA,NA,1
127,2,"alpha[1]",0.962360078410077,"alpha","Traveling->Traveling",NA,NA,NA,1
128,2,"alpha[1]",0.953708519320308,"alpha","Traveling->Traveling",NA,NA,NA,1
129,2,"alpha[1]",0.954131562008055,"alpha","Traveling->Traveling",NA,NA,NA,1
130,2,"alpha[1]",0.93397487999941,"alpha","Traveling->Traveling",NA,NA,NA,1
131,2,"alpha[1]",0.976963797757363,"alpha","Traveling->Traveling",NA,NA,NA,1
132,2,"alpha[1]",0.0900795957831717,"alpha","Traveling->Traveling",NA,NA,NA,1
133,2,"alpha[1]",0.295355908560635,"alpha","Traveling->Traveling",NA,NA,NA,1
134,2,"alpha[1]",0.393444304700557,"alpha","Traveling->Traveling",NA,NA,NA,1
135,2,"alpha[1]",0.520794754160724,"alpha","Traveling->Traveling",NA,NA,NA,1
136,2,"alpha[1]",0.921509530061611,"alpha","Traveling->Traveling",NA,NA,NA,1
137,2,"alpha[1]",0.269110500187432,"alpha","Traveling->Traveling",NA,NA,NA,1
138,2,"alpha[1]",0.515866173376826,"alpha","Traveling->Traveling",NA,NA,NA,1
139,2,"alpha[1]",0.592912210856348,"alpha","Traveling->Traveling",NA,NA,NA,1
140,2,"alpha[1]",0.35157910150334,"alpha","Traveling->Traveling",NA,NA,NA,1
141,2,"alpha[1]",0.256108173208583,"alpha","Traveling->Traveling",NA,NA,NA,1
142,2,"alpha[1]",0.497745508336894,"alpha","Traveling->Traveling",NA,NA,NA,1
143,2,"alpha[1]",0.542940910938865,"alpha","Traveling->Traveling",NA,NA,NA,1
144,2,"alpha[1]",0.336151382970376,"alpha","Traveling->Traveling",NA,NA,NA,1
145,2,"alpha[1]",0.542847089762857,"alpha","Traveling->Traveling",NA,NA,NA,1
146,2,"alpha[1]",0.995127436047173,"alpha","Traveling->Traveling",NA,NA,NA,1
147,2,"alpha[1]",0.982148665428888,"alpha","Traveling->Traveling",NA,NA,NA,1
148,2,"alpha[1]",0.858059910364912,"alpha","Traveling->Traveling",NA,NA,NA,1
149,2,"alpha[1]",0.387075239902838,"alpha","Traveling->Traveling",NA,NA,NA,1
150,2,"alpha[1]",0.459811258724185,"alpha","Traveling->Traveling",NA,NA,NA,1
151,2,"alpha[1]",0.354311288919708,"alpha","Traveling->Traveling",NA,NA,NA,1
152,2,"alpha[1]",0.874124012106552,"alpha","Traveling->Traveling",NA,NA,NA,1
153,2,"alpha[1]",0.845793615203047,"alpha","Traveling->Traveling",NA,NA,NA,1
154,2,"alpha[1]",0.95962396461601,"alpha","Traveling->Traveling",NA,NA,NA,1
155,2,"alpha[1]",0.963848418547804,"alpha","Traveling->Traveling",NA,NA,NA,1
156,2,"alpha[1]",0.85031033270276,"alpha","Traveling->Traveling",NA,NA,NA,1
157,2,"alpha[1]",0.980097513766605,"alpha","Traveling->Traveling",NA,NA,NA,1
158,2,"alpha[1]",0.881478391554794,"alpha","Traveling->Traveling",NA,NA,NA,1
159,2,"alpha[1]",0.725332571102471,"alpha","Traveling->Traveling",NA,NA,NA,1
160,2,"alpha[1]",0.92186174185805,"alpha","Traveling->Traveling",NA,NA,NA,1
161,2,"alpha[1]",0.911958324908738,"alpha","Traveling->Traveling",NA,NA,NA,1
162,2,"alpha[1]",0.868789030446112,"alpha","Traveling->Traveling",NA,NA,NA,1
163,2,"alpha[1]",0.830485035174013,"alpha","Traveling->Traveling",NA,NA,NA,1
164,2,"alpha[1]",0.916032420913748,"alpha","Traveling->Traveling",NA,NA,NA,1
165,2,"alpha[1]",0.893983763490924,"alpha","Traveling->Traveling",NA,NA,NA,1
166,2,"alpha[1]",0.943943764405758,"alpha","Traveling->Traveling",NA,NA,NA,1
167,2,"alpha[1]",0.870663918119196,"alpha","Traveling->Traveling",NA,NA,NA,1
168,2,"alpha[1]",0.936325308426175,"alpha","Traveling->Traveling",NA,NA,NA,1
169,2,"alpha[1]",0.967892781499604,"alpha","Traveling->Traveling",NA,NA,NA,1
170,2,"alpha[1]",0.457097243736926,"alpha","Traveling->Traveling",NA,NA,NA,1
171,2,"alpha[1]",0.802991687109225,"alpha","Traveling->Traveling",NA,NA,NA,1
172,2,"alpha[1]",0.833627229203754,"alpha","Traveling->Traveling",NA,NA,NA,1
173,2,"alpha[1]",0.803075348287834,"alpha","Traveling->Traveling",NA,NA,NA,1
174,2,"alpha[1]",0.579999480645648,"alpha","Traveling->Traveling",NA,NA,NA,1
175,2,"alpha[1]",0.663885714230073,"alpha","Traveling->Traveling",NA,NA,NA,1
176,2,"alpha[1]",0.687232026261969,"alpha","Traveling->Traveling",NA,NA,NA,1
177,2,"alpha[1]",0.925146028870757,"alpha","Traveling->Traveling",NA,NA,NA,1
178,2,"alpha[1]",0.487849103288376,"alpha","Traveling->Traveling",NA,NA,NA,1
179,2,"alpha[1]",0.645296283777703,"alpha","Traveling->Traveling",NA,NA,NA,1
180,2,"alpha[1]",0.919620470226973,"alpha","Traveling->Traveling",NA,NA,NA,1
181,2,"alpha[1]",0.447544805491323,"alpha","Traveling->Traveling",NA,NA,NA,1
182,2,"alpha[1]",0.670115348760209,"alpha","Traveling->Traveling",NA,NA,NA,1
183,2,"alpha[1]",0.833970087894634,"alpha","Traveling->Traveling",NA,NA,NA,1
184,2,"alpha[1]",0.918549902524052,"alpha","Traveling->Traveling",NA,NA,NA,1
185,2,"alpha[1]",0.937316680114225,"alpha","Traveling->Traveling",NA,NA,NA,1
186,2,"alpha[1]",0.785147690200626,"alpha","Traveling->Traveling",NA,NA,NA,1
187,2,"alpha[1]",0.545530204091691,"alpha","Traveling->Traveling",NA,NA,NA,1
188,2,"alpha[1]",0.715749554891195,"alpha","Traveling->Traveling",NA,NA,NA,1
189,2,"alpha[1]",0.920395444820915,"alpha","Traveling->Traveling",NA,NA,NA,1
190,2,"alpha[1]",0.699803991927712,"alpha","Traveling->Traveling",NA,NA,NA,1
191,2,"alpha[1]",0.97400438640401,"alpha","Traveling->Traveling",NA,NA,NA,1
192,2,"alpha[1]",0.686758925983756,"alpha","Traveling->Traveling",NA,NA,NA,1
193,2,"alpha[1]",0.531644596217956,"alpha","Traveling->Traveling",NA,NA,NA,1
194,2,"alpha[1]",0.415682795657997,"alpha","Traveling->Traveling",NA,NA,NA,1
195,2,"alpha[1]",0.758008661984936,"alpha","Traveling->Traveling",NA,NA,NA,1
196,2,"alpha[1]",0.647259728792176,"alpha","Traveling->Traveling",NA,NA,NA,1
197,2,"alpha[1]",0.393496435165995,"alpha","Traveling->Traveling",NA,NA,NA,1
198,2,"alpha[1]",0.61019137439298,"alpha","Traveling->Traveling",NA,NA,NA,1
199,2,"alpha[1]",0.929834510099672,"alpha","Traveling->Traveling",NA,NA,NA,1
200,2,"alpha[1]",0.793222816044996,"alpha","Traveling->Traveling",NA,NA,NA,1
201,2,"alpha[1]",0.962160900987503,"alpha","Traveling->Traveling",NA,NA,NA,1
202,2,"alpha[1]",0.76482195480314,"alpha","Traveling->Traveling",NA,NA,NA,1
203,2,"alpha[1]",0.360969052800065,"alpha","Traveling->Traveling",NA,NA,NA,1
204,2,"alpha[1]",0.883569594723327,"alpha","Traveling->Traveling",NA,NA,NA,1
205,2,"alpha[1]",0.826744980779958,"alpha","Traveling->Traveling",NA,NA,NA,1
206,2,"alpha[1]",0.315601938783713,"alpha","Traveling->Traveling",NA,NA,NA,1
207,2,"alpha[1]",0.820410476989404,"alpha","Traveling->Traveling",NA,NA,NA,1
208,2,"alpha[1]",0.748611012488298,"alpha","Traveling->Traveling",NA,NA,NA,1
209,2,"alpha[1]",0.830887839077434,"alpha","Traveling->Traveling",NA,NA,NA,1
210,2,"alpha[1]",0.690283189965602,"alpha","Traveling->Traveling",NA,NA,NA,1
211,2,"alpha[1]",0.804337609055985,"alpha","Traveling->Traveling",NA,NA,NA,1
212,2,"alpha[1]",0.395359296232037,"alpha","Traveling->Traveling",NA,NA,NA,1
213,2,"alpha[1]",0.16831991985975,"alpha","Traveling->Traveling",NA,NA,NA,1
214,2,"alpha[1]",0.406794144477443,"alpha","Traveling->Traveling",NA,NA,NA,1
215,2,"alpha[1]",0.229225689653159,"alpha","Traveling->Traveling",NA,NA,NA,1
216,2,"alpha[1]",0.463809724147061,"alpha","Traveling->Traveling",NA,NA,NA,1
217,2,"alpha[1]",0.92138089396867,"alpha","Traveling->Traveling",NA,NA,NA,1
218,2,"alpha[1]",0.694561390785674,"alpha","Traveling->Traveling",NA,NA,NA,1
219,2,"alpha[1]",0.999739315804691,"alpha","Traveling->Traveling",NA,NA,NA,1
220,2,"alpha[1]",0.530737066344998,"alpha","Traveling->Traveling",NA,NA,NA,1
221,2,"alpha[1]",0.583379958558245,"alpha","Traveling->Traveling",NA,NA,NA,1
222,2,"alpha[1]",0.908923813612696,"alpha","Traveling->Traveling",NA,NA,NA,1
223,2,"alpha[1]",0.96252433579815,"alpha","Traveling->Traveling",NA,NA,NA,1
224,2,"alpha[1]",0.315358521164441,"alpha","Traveling->Traveling",NA,NA,NA,1
225,2,"alpha[1]",0.20880890641458,"alpha","Traveling->Traveling",NA,NA,NA,1
226,2,"alpha[1]",0.116904925555737,"alpha","Traveling->Traveling",NA,NA,NA,1
227,2,"alpha[1]",0.554181742949175,"alpha","Traveling->Traveling",NA,NA,NA,1
228,2,"alpha[1]",0.766503465271002,"alpha","Traveling->Traveling",NA,NA,NA,1
229,2,"alpha[1]",0.793553521125072,"alpha","Traveling->Traveling",NA,NA,NA,1
230,2,"alpha[1]",0.646918866842443,"alpha","Traveling->Traveling",NA,NA,NA,1
231,2,"alpha[1]",0.38958543638767,"alpha","Traveling->Traveling",NA,NA,NA,1
232,2,"alpha[1]",0.470266499639448,"alpha","Traveling->Traveling",NA,NA,NA,1
233,2,"alpha[1]",0.812557789410377,"alpha","Traveling->Traveling",NA,NA,NA,1
234,2,"alpha[1]",0.525741408532526,"alpha","Traveling->Traveling",NA,NA,NA,1
235,2,"alpha[1]",0.141032231957266,"alpha","Traveling->Traveling",NA,NA,NA,1
236,2,"alpha[1]",0.595432832401683,"alpha","Traveling->Traveling",NA,NA,NA,1
237,2,"alpha[1]",0.555688618245149,"alpha","Traveling->Traveling",NA,NA,NA,1
238,2,"alpha[1]",0.688415188649822,"alpha","Traveling->Traveling",NA,NA,NA,1
239,2,"alpha[1]",0.854580034261561,"alpha","Traveling->Traveling",NA,NA,NA,1
240,2,"alpha[1]",0.980305740403233,"alpha","Traveling->Traveling",NA,NA,NA,1
241,2,"alpha[1]",0.955409659758449,"alpha","Traveling->Traveling",NA,NA,NA,1
242,2,"alpha[1]",0.512151662531445,"alpha","Traveling->Traveling",NA,NA,NA,1
243,2,"alpha[1]",0.840847682579027,"alpha","Traveling->Traveling",NA,NA,NA,1
244,2,"alpha[1]",0.616155934180711,"alpha","Traveling->Traveling",NA,NA,NA,1
245,2,"alpha[1]",0.637159110151428,"alpha","Traveling->Traveling",NA,NA,NA,1
246,2,"alpha[1]",0.760463846028412,"alpha","Traveling->Traveling",NA,NA,NA,1
247,2,"alpha[1]",0.959871623986596,"alpha","Traveling->Traveling",NA,NA,NA,1
248,2,"alpha[1]",0.536123430421495,"alpha","Traveling->Traveling",NA,NA,NA,1
249,2,"alpha[1]",0.559974834606393,"alpha","Traveling->Traveling",NA,NA,NA,1
250,2,"alpha[1]",0.921842309590445,"alpha","Traveling->Traveling",NA,NA,NA,1
1,1,"alpha[2]",0.0853881736977498,"alpha","Foraging->Traveling",NA,NA,NA,0
2,1,"alpha[2]",0.0859927516294917,"alpha","Foraging->Traveling",NA,NA,NA,0
3,1,"alpha[2]",0.0379604893945358,"alpha","Foraging->Traveling",NA,NA,NA,0
4,1,"alpha[2]",0.0910820630028925,"alpha","Foraging->Traveling",NA,NA,NA,0
5,1,"alpha[2]",0.135374625147463,"alpha","Foraging->Traveling",NA,NA,NA,0
6,1,"alpha[2]",0.0401217777197211,"alpha","Foraging->Traveling",NA,NA,NA,0
7,1,"alpha[2]",0.0230993527738384,"alpha","Foraging->Traveling",NA,NA,NA,0
8,1,"alpha[2]",0.316711203537399,"alpha","Foraging->Traveling",NA,NA,NA,0
9,1,"alpha[2]",0.431508305522297,"alpha","Foraging->Traveling",NA,NA,NA,0
10,1,"alpha[2]",0.0794233547249957,"alpha","Foraging->Traveling",NA,NA,NA,0
11,1,"alpha[2]",0.0199557124674629,"alpha","Foraging->Traveling",NA,NA,NA,0
12,1,"alpha[2]",0.0995388342800654,"alpha","Foraging->Traveling",NA,NA,NA,0
13,1,"alpha[2]",0.314523453719338,"alpha","Foraging->Traveling",NA,NA,NA,0
14,1,"alpha[2]",0.0382380739077592,"alpha","Foraging->Traveling",NA,NA,NA,0
15,1,"alpha[2]",0.138637635282535,"alpha","Foraging->Traveling",NA,NA,NA,0
16,1,"alpha[2]",0.226215266919141,"alpha","Foraging->Traveling",NA,NA,NA,0
17,1,"alpha[2]",0.123261498131884,"alpha","Foraging->Traveling",NA,NA,NA,0
18,1,"alpha[2]",0.140237473239666,"alpha","Foraging->Traveling",NA,NA,NA,0
19,1,"alpha[2]",0.200195487173953,"alpha","Foraging->Traveling",NA,NA,NA,0
20,1,"alpha[2]",0.185643387756865,"alpha","Foraging->Traveling",NA,NA,NA,0
21,1,"alpha[2]",0.182392555754538,"alpha","Foraging->Traveling",NA,NA,NA,0
22,1,"alpha[2]",0.178609567697853,"alpha","Foraging->Traveling",NA,NA,NA,0
23,1,"alpha[2]",0.0651255793666526,"alpha","Foraging->Traveling",NA,NA,NA,0
24,1,"alpha[2]",0.126342005746821,"alpha","Foraging->Traveling",NA,NA,NA,0
25,1,"alpha[2]",0.0371090317539136,"alpha","Foraging->Traveling",NA,NA,NA,0
26,1,"alpha[2]",0.051225698358517,"alpha","Foraging->Traveling",NA,NA,NA,0
27,1,"alpha[2]",0.0483471273813359,"alpha","Foraging->Traveling",NA,NA,NA,0
28,1,"alpha[2]",0.238302697615292,"alpha","Foraging->Traveling",NA,NA,NA,0
29,1,"alpha[2]",0.160240440258724,"alpha","Foraging->Traveling",NA,NA,NA,0
30,1,"alpha[2]",0.127539887585737,"alpha","Foraging->Traveling",NA,NA,NA,0
31,1,"alpha[2]",0.155818291055981,"alpha","Foraging->Traveling",NA,NA,NA,0
32,1,"alpha[2]",0.0972540475007825,"alpha","Foraging->Traveling",NA,NA,NA,0
33,1,"alpha[2]",0.0229892687721044,"alpha","Foraging->Traveling",NA,NA,NA,0
34,1,"alpha[2]",0.0848573263726393,"alpha","Foraging->Traveling",NA,NA,NA,0
35,1,"alpha[2]",0.097697099432009,"alpha","Foraging->Traveling",NA,NA,NA,0
36,1,"alpha[2]",0.154114705707318,"alpha","Foraging->Traveling",NA,NA,NA,0
37,1,"alpha[2]",0.149967417405761,"alpha","Foraging->Traveling",NA,NA,NA,0
38,1,"alpha[2]",0.152897172206125,"alpha","Foraging->Traveling",NA,NA,NA,0
39,1,"alpha[2]",0.0384003795651199,"alpha","Foraging->Traveling",NA,NA,NA,0
40,1,"alpha[2]",0.025959563300494,"alpha","Foraging->Traveling",NA,NA,NA,0
41,1,"alpha[2]",0.0294418220767587,"alpha","Foraging->Traveling",NA,NA,NA,0
42,1,"alpha[2]",0.118499948459524,"alpha","Foraging->Traveling",NA,NA,NA,0
43,1,"alpha[2]",0.0957426381546668,"alpha","Foraging->Traveling",NA,NA,NA,0
44,1,"alpha[2]",0.162046581641083,"alpha","Foraging->Traveling",NA,NA,NA,0
45,1,"alpha[2]",0.0183056184663802,"alpha","Foraging->Traveling",NA,NA,NA,0
46,1,"alpha[2]",0.11111112081042,"alpha","Foraging->Traveling",NA,NA,NA,0
47,1,"alpha[2]",0.0245910994964183,"alpha","Foraging->Traveling",NA,NA,NA,0
48,1,"alpha[2]",0.107717896145015,"alpha","Foraging->Traveling",NA,NA,NA,0
49,1,"alpha[2]",0.375160286661849,"alpha","Foraging->Traveling",NA,NA,NA,0
50,1,"alpha[2]",0.151890003880697,"alpha","Foraging->Traveling",NA,NA,NA,0
51,1,"alpha[2]",0.0339506048674156,"alpha","Foraging->Traveling",NA,NA,NA,0
52,1,"alpha[2]",0.172615528337872,"alpha","Foraging->Traveling",NA,NA,NA,0
53,1,"alpha[2]",0.420909239016519,"alpha","Foraging->Traveling",NA,NA,NA,0
54,1,"alpha[2]",0.184265701044797,"alpha","Foraging->Traveling",NA,NA,NA,0
55,1,"alpha[2]",0.173778386064531,"alpha","Foraging->Traveling",NA,NA,NA,0
56,1,"alpha[2]",0.283704770773771,"alpha","Foraging->Traveling",NA,NA,NA,0
57,1,"alpha[2]",0.308448842672582,"alpha","Foraging->Traveling",NA,NA,NA,0
58,1,"alpha[2]",0.31903376318718,"alpha","Foraging->Traveling",NA,NA,NA,0
59,1,"alpha[2]",0.00192708321956152,"alpha","Foraging->Traveling",NA,NA,NA,0
60,1,"alpha[2]",0.107789105571641,"alpha","Foraging->Traveling",NA,NA,NA,0
61,1,"alpha[2]",0.0317797713852348,"alpha","Foraging->Traveling",NA,NA,NA,0
62,1,"alpha[2]",0.0518296671316458,"alpha","Foraging->Traveling",NA,NA,NA,0
63,1,"alpha[2]",0.0679485176461018,"alpha","Foraging->Traveling",NA,NA,NA,0
64,1,"alpha[2]",0.0964755086944939,"alpha","Foraging->Traveling",NA,NA,NA,0
65,1,"alpha[2]",0.482155742089254,"alpha","Foraging->Traveling",NA,NA,NA,0
66,1,"alpha[2]",0.464399344854056,"alpha","Foraging->Traveling",NA,NA,NA,0
67,1,"alpha[2]",0.289180384264183,"alpha","Foraging->Traveling",NA,NA,NA,0
68,1,"alpha[2]",0.298354228557474,"alpha","Foraging->Traveling",NA,NA,NA,0
69,1,"alpha[2]",0.0665620988228044,"alpha","Foraging->Traveling",NA,NA,NA,0
70,1,"alpha[2]",0.0383505551984676,"alpha","Foraging->Traveling",NA,NA,NA,0
71,1,"alpha[2]",0.1848246210143,"alpha","Foraging->Traveling",NA,NA,NA,0
72,1,"alpha[2]",0.13735876587707,"alpha","Foraging->Traveling",NA,NA,NA,0
73,1,"alpha[2]",0.134026543830203,"alpha","Foraging->Traveling",NA,NA,NA,0
74,1,"alpha[2]",0.339770671220716,"alpha","Foraging->Traveling",NA,NA,NA,0
75,1,"alpha[2]",0.266185420978796,"alpha","Foraging->Traveling",NA,NA,NA,0
76,1,"alpha[2]",0.32702040163075,"alpha","Foraging->Traveling",NA,NA,NA,0
77,1,"alpha[2]",0.102559553065945,"alpha","Foraging->Traveling",NA,NA,NA,0
78,1,"alpha[2]",0.270788981308991,"alpha","Foraging->Traveling",NA,NA,NA,0
79,1,"alpha[2]",0.128106036183125,"alpha","Foraging->Traveling",NA,NA,NA,0
80,1,"alpha[2]",0.220143685477858,"alpha","Foraging->Traveling",NA,NA,NA,0
81,1,"alpha[2]",0.0117316252101385,"alpha","Foraging->Traveling",NA,NA,NA,0
82,1,"alpha[2]",0.00659697351334118,"alpha","Foraging->Traveling",NA,NA,NA,0
83,1,"alpha[2]",0.054830108819862,"alpha","Foraging->Traveling",NA,NA,NA,0
84,1,"alpha[2]",0.11337826499815,"alpha","Foraging->Traveling",NA,NA,NA,0
85,1,"alpha[2]",0.117813066238705,"alpha","Foraging->Traveling",NA,NA,NA,0
86,1,"alpha[2]",0.0414574021673154,"alpha","Foraging->Traveling",NA,NA,NA,0
87,1,"alpha[2]",0.0874906743203139,"alpha","Foraging->Traveling",NA,NA,NA,0
88,1,"alpha[2]",0.0657905103956595,"alpha","Foraging->Traveling",NA,NA,NA,0
89,1,"alpha[2]",0.0676632376167949,"alpha","Foraging->Traveling",NA,NA,NA,0
90,1,"alpha[2]",0.102540889706071,"alpha","Foraging->Traveling",NA,NA,NA,0
91,1,"alpha[2]",0.00513925042420091,"alpha","Foraging->Traveling",NA,NA,NA,0
92,1,"alpha[2]",0.0173934328902393,"alpha","Foraging->Traveling",NA,NA,NA,0
93,1,"alpha[2]",0.0536130842116359,"alpha","Foraging->Traveling",NA,NA,NA,0
94,1,"alpha[2]",0.0656973961656737,"alpha","Foraging->Traveling",NA,NA,NA,0
95,1,"alpha[2]",0.0335049288521744,"alpha","Foraging->Traveling",NA,NA,NA,0
96,1,"alpha[2]",0.0338740435324516,"alpha","Foraging->Traveling",NA,NA,NA,0
97,1,"alpha[2]",0.051463782886674,"alpha","Foraging->Traveling",NA,NA,NA,0
98,1,"alpha[2]",0.0182669162050917,"alpha","Foraging->Traveling",NA,NA,NA,0
99,1,"alpha[2]",0.0740765511836504,"alpha","Foraging->Traveling",NA,NA,NA,0
100,1,"alpha[2]",0.0977525281214379,"alpha","Foraging->Traveling",NA,NA,NA,0
101,1,"alpha[2]",0.0308012701941635,"alpha","Foraging->Traveling",NA,NA,NA,0
102,1,"alpha[2]",0.245513794354928,"alpha","Foraging->Traveling",NA,NA,NA,0
