DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"131115",131115,Mk10,17:07:39 26-Feb-2016,,,2,-64.0960,-61.0520,CRC 15771.54682,20:01:00 26-Feb-2016,Behavior,179,217,176,181,64,121,81,34,142,15,195,128,149,32,129,172,40,154,152,13,195,254,101,14,27,139,134,154,35,128,208,
"131115",131115,Mk10,19:46:05 26-Feb-2016,,,0,-64.0710,-60.9810,CRC 17532.25844,20:00:00 26-Feb-2016,TimeSeries,212,71,192,181,72,0,85,192,0,2,183,191,181,192,0,0,27,27,255,177,0,0,68,68,4,0,0,31,181,187,180,
"131115",131115,Mk10,19:58:41 26-Feb-2016,,,0,-64.0710,-60.9810,CRC 27424.34191,21:44:00 26-Feb-2016,Behavior,182,178,0,181,91,57,62,58,153,0,211,138,69,65,160,165,164,202,80,51,13,57,207,89,168,104,72,166,195,176,0,
"131115",131115,Mk10,21:59:33 26-Feb-2016,,,3,-64.0990,-61.0280,CRC 7411.43245,23:09:00 26-Feb-2016,Behavior,177,207,48,181,114,122,143,198,166,34,240,250,145,67,224,105,173,41,213,47,10,233,79,80,184,100,76,118,66,208,0,
"131115",131115,Mk10,00:51:36 27-Feb-2016,,,1,-64.1010,-61.0060,CRC 33641.49974,18:35:00 10-Feb-2016,Behavior,184,54,144,149,40,250,159,18,160,1,177,75,139,83,217,232,84,206,162,128,20,145,153,71,192,105,79,42,167,128,80,
"131115",131115,Mk10,00:55:30 27-Feb-2016,,,1,-64.1010,-61.0060,CRC 45817.45305,17:46:00 26-Feb-2016,Behavior,187,47,144,181,27,184,90,168,97,6,132,215,12,184,120,167,138,29,32,240,105,100,53,150,36,17,135,136,148,0,0,
"131115",131115,Mk10,01:06:40 27-Feb-2016,,,A,-64.1030,-60.9920,CRC 11632.36713,04:36:00 27-Feb-2016,Behavior,178,215,0,182,73,1,140,46,196,4,201,120,168,35,111,100,135,193,64,69,82,73,172,46,145,97,198,179,6,15,145,
"131115",131115,Mk10,02:09:11 27-Feb-2016,,,3,-64.1010,-60.9490,CRC 3715.9726,06:54:00 27-Feb-2016,Behavior,176,232,48,182,109,128,51,36,64,163,129,201,162,15,176,13,75,16,29,82,141,90,149,40,85,41,11,88,91,197,165,
"131115",131115,Mk10,02:10:35 27-Feb-2016,,,3,-64.1010,-60.9490,CRC 19991.36117,06:46:00 27-Feb-2016,Behavior,180,225,112,182,107,128,61,48,65,101,129,185,50,3,26,9,7,144,29,32,114,80,130,138,131,114,36,27,84,0,0,
"131115",131115,Mk10,02:28:29 27-Feb-2016,,,2,-64.0930,-60.9490,CRC 932.35630,06:00:00 27-Feb-2016,Behavior,176,58,64,182,96,0,53,48,189,102,229,25,184,153,73,105,31,206,22,126,131,194,104,26,238,31,4,0,163,146,254,
"131115",131115,Mk10,02:34:51 27-Feb-2016,,,2,-64.0930,-60.9490,CRC 41292.45516,05:41:00 27-Feb-2016,Behavior,186,20,192,182,90,64,31,52,64,24,1,25,130,0,192,8,76,16,6,0,62,88,128,232,129,211,196,0,128,0,2,
"131115",131115,Mk10,03:03:56 27-Feb-2016,,,1,-64.1040,-61.0180,CRC 43099.59684,,TimeSeries,218,133,176,53,24,0,240,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,8,16,130,191,186,0,
"131115",131115,Mk10,03:07:52 27-Feb-2016,,,1,-64.1040,-61.0180,CRC 16265.51436,07:40:00 27-Feb-2016,Behavior,179,248,144,182,122,0,124,2,136,116,193,129,146,3,30,31,1,161,6,0,124,124,128,48,1,226,164,14,72,0,0,
"131115",131115,Mk10,04:17:45 27-Feb-2016,,,2,-64.1050,-61.0100,CRC 19476.19523,08:18:00 27-Feb-2016,Behavior,180,193,64,182,132,128,79,0,129,37,193,233,130,6,146,13,138,16,69,129,72,21,17,201,21,112,73,11,72,74,192,
"131115",131115,Mk10,07:10:07 27-Feb-2016,,,2,-64.0940,-60.9770,CRC 26242.37844,22:00:00 26-Feb-2016,TimeSeries,214,104,32,181,104,0,119,92,0,0,1,251,247,119,113,0,0,2,251,187,122,192,0,0,31,123,187,12,0,0,24,
"131115",131115,Mk10,07:11:58 27-Feb-2016,,,2,-64.0940,-60.9770,CRC 11594.43469,18:00:00 10-Oct-2014,TimeSeries,210,212,170,149,35,222,214,214,189,123,214,157,107,181,128,2,22,233,34,117,13,58,135,239,90,128,11,42,54,187,122,
"131115",131115,Mk10,09:01:33 27-Feb-2016,,,B,-64.0940,-61.0170,CRC 62290.4421,12:36:00 27-Feb-2016,Behavior,191,53,32,182,201,0,95,4,128,148,66,5,130,8,32,13,204,16,7,192,94,96,75,31,247,32,206,35,255,194,170,
"131115",131115,Mk10,10:02:00 27-Feb-2016,,,A,-64.1020,-61.0350,CRC 24062.60982,22:00:00 09-Jul-2014,TimeSeries,213,223,233,211,103,191,239,156,172,120,239,195,230,51,86,104,0,48,119,126,69,167,37,74,142,254,140,92,75,184,209,
"131115",131115,Mk10,03:30:39 28-Feb-2016,,,1,-64.1040,-61.0330,CRC 41150.24323,13:29:00 28-Feb-2016,Behavior,186,11,224,184,215,64,29,28,64,246,66,88,20,8,44,8,200,0,49,96,182,72,2,9,1,242,4,44,108,0,0,
"131115",131115,Mk10,03:36:51 28-Feb-2016,,,1,-64.1040,-61.0330,CRC 31138.8173,05:09:00 28-Jun-2016,Behavior,183,154,33,184,82,64,218,6,192,8,6,136,22,40,52,32,77,160,189,144,150,197,6,45,5,34,100,51,104,0,0,
"131115",131115,Mk10,03:53:41 28-Feb-2016,,,B,-64.1180,-61.0410,CRC 37083.58647,18:39:00 28-Feb-2016,Behavior,185,13,176,185,41,194,138,74,87,152,228,18,52,130,35,110,106,168,87,98,134,195,212,92,103,76,14,60,232,132,26,
"131115",131115,Mk10,04:01:50 28-Feb-2016,,,A,-64.1140,-61.0490,CRC 27303.152,23:53:00 27-Feb-2016,Behavior,182,170,112,183,125,66,134,66,83,180,131,90,6,152,228,159,216,188,242,41,73,212,0,241,50,6,120,217,152,0,69,
"131115",131115,Mk10,04:25:47 28-Feb-2016,,,B,-64.1130,-61.0510,CRC 8140.11775,12:43:00 27-Feb-2016,Behavior,177,252,192,182,202,192,64,2,128,25,1,9,242,8,34,8,199,144,67,17,52,89,6,196,154,233,172,37,152,1,0,
"131115",131115,Mk10,05:45:35 28-Feb-2016,,,1,-64.1050,-61.0820,CRC 7298.18839,09:16:00 27-Feb-2016,Behavior,177,200,32,182,148,0,104,2,129,4,5,81,210,17,40,9,206,144,70,81,190,248,40,242,85,150,60,96,201,244,205,
"131115",131115,Mk10,06:49:19 28-Feb-2016,,,B,-64.0850,-61.0620,CRC 2004.64026,06:22:00 27-Feb-2016,Behavior,176,125,64,182,101,128,30,160,192,16,2,216,68,3,26,10,192,160,25,0,238,29,3,8,12,180,131,102,96,237,108,
"131115",131115,Mk10,08:44:35 28-Feb-2016,,,A,-64.1300,-60.9430,CRC 32465.22825,07:32:00 28-Oct-2016,Behavior,183,237,18,184,120,0,167,14,129,53,1,216,84,23,56,13,10,17,49,178,104,60,135,77,132,82,228,95,100,0,64,
"131115",131115,Mk10,10:04:14 28-Feb-2016,,,1,-64.1180,-60.9530,CRC 64762.54590,05:59:00 12-Feb-2016,Behavior,191,207,160,152,94,192,11,32,97,11,232,151,85,225,62,58,161,3,32,33,39,74,214,73,144,217,162,191,153,133,0,
"131115",131115,Mk10,10:35:18 28-Feb-2016,,,2,-64.1130,-60.9470,CRC 56703.9054,22:45:00 27-Feb-2016,Behavior,189,215,240,183,107,66,159,132,82,72,195,154,22,141,135,158,112,148,124,56,198,24,132,81,202,85,21,76,216,0,0,
"131115",131115,Mk10,10:36:52 28-Feb-2016,,,2,-64.1130,-60.9470,CRC 64280.37145,20:09:00 27-Feb-2016,Behavior,191,177,128,183,66,66,136,11,65,116,211,226,2,169,186,139,80,15,71,98,213,188,22,145,101,42,200,37,32,9,0,
"131115",131115,Mk10,10:37:39 28-Feb-2016,,,2,-64.1130,-60.9470,CRC 35199.8907,18:29:00 27-Feb-2016,Behavior,184,151,240,183,39,66,132,206,72,155,9,41,48,220,25,85,83,121,104,43,146,160,98,16,78,32,202,175,131,188,112,
"131115",131115,Mk10,11:06:14 28-Feb-2016,,,B,-64.1190,-60.9530,CRC 16580.22345,11:47:00 27-Feb-2016,Behavior,180,12,64,182,187,192,199,48,131,35,70,43,116,14,171,33,108,36,54,108,148,149,36,98,71,218,64,87,87,7,157,
"131115",131115,Mk10,11:52:21 28-Feb-2016,,,B,-64.1260,-60.9800,CRC 37221.21988,08:37:00 27-Mar-2016,Behavior,185,22,80,246,137,64,38,14,129,85,6,176,84,17,48,57,136,160,144,241,176,49,5,230,135,160,200,7,84,0,0,
"131115",131115,Mk10,12:40:14 28-Feb-2016,,,A,-64.1120,-60.9060,CRC 60635.40116,,PDT,254,205,176,182,89,0,33,54,64,8,1,57,226,23,158,40,206,160,129,82,164,20,254,130,2,4,222,19,163,255,9,
"131115",131115,Mk10,12:50:06 28-Feb-2016,,,2,-64.1110,-60.9660,CRC 18791.15704,,DiveDepth,52,150,119,86,7,124,116,68,223,15,178,40,69,245,28,76,77,219,29,250,99,181,223,127,249,67,174,,,,,
"131115",131115,Mk10,16:02:29 28-Feb-2016,,,A,-64.1000,-60.9540,CRC 5822.47474,09:44:00 27-Feb-2013,Behavior,177,107,228,182,155,0,74,6,128,227,154,40,36,0,64,16,201,224,36,224,122,5,2,175,134,210,165,18,100,0,0,
"131115",131115,Mk10,20:59:28 28-Feb-2016,,,A,-64.1060,-60.9360,CRC 477.3805,07:01:00 28-Feb-2016,Behavior,176,29,208,184,112,64,59,30,64,98,66,25,18,5,20,14,72,16,24,128,142,1,1,71,132,50,196,6,44,0,20,
"131115",131115,Mk10,20:58:40 28-Feb-2016,,,A,-64.1110,-60.9690,CRC 31641.60865,07:08:00 28-Feb-2016,Behavior,183,185,144,184,114,0,64,30,64,180,1,121,34,1,64,13,74,16,38,48,126,80,129,168,4,80,165,74,212,169,74,
"131115",131115,Mk10,22:35:48 28-Feb-2016,,,1,-64.1400,-61.0610,CRC 31146.17491,05:09:00 28-Feb-2016,Behavior,183,154,160,184,82,64,218,6,192,8,6,168,22,40,52,32,77,160,189,144,150,197,6,45,146,73,36,153,45,117,172,
"131115",131115,Mk10,00:14:43 29-Feb-2016,,,B,-64.1290,-61.0600,CRC 60891.20420,12:53:00 27-Feb-2016,Behavior,190,221,176,182,205,64,88,4,128,24,1,89,226,0,192,8,72,16,61,64,180,13,0,138,2,83,100,4,16,213,59,
"131115",131115,Mk10,02:20:53 29-Feb-2016,,,2,-64.0950,-60.9780,CRC 37221.20848,08:37:00 27-Feb-2016,Behavior,185,22,80,182,137,64,166,6,129,85,2,176,84,17,48,57,136,160,144,241,176,49,1,230,135,160,200,71,84,0,0,
"131115",131115,Mk10,02:22:01 29-Feb-2016,,,2,-64.0950,-60.9780,CRC 18649.53912,08:28:00 27-Feb-2016,Behavior,180,141,144,182,135,0,63,18,129,100,2,177,242,18,180,15,142,24,2,200,85,224,128,199,134,131,164,15,72,0,0,
"131115",131115,Mk10,03:32:20 29-Feb-2016,,,A,-64.1180,-60.9890,CRC 43795.13733,07:45:00 29-Feb-2016,Behavior,186,177,48,186,123,64,31,28,224,83,193,193,61,128,192,18,194,222,166,0,250,13,0,48,2,19,36,9,68,0,0,
"131115",131115,Mk10,04:00:11 29-Feb-2016,,,B,-64.1190,-60.9850,Too short,,Behavior,177,39,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131115",131115,Mk10,05:05:34 29-Feb-2016,,,A,-64.1200,-60.9850,CRC 38638.41869,11:19:00 28-Feb-2016,Behavior,185,110,224,184,180,193,103,6,193,227,69,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,
"131115",131115,Mk10,05:46:46 29-Feb-2016,,,B,-64.1300,-60.9660,CRC 23358.26158,06:53:00 28-Feb-2016,Behavior,181,179,224,184,109,64,41,40,64,40,1,105,50,4,40,12,76,16,81,80,84,60,128,80,21,105,104,60,104,0,0,
"131115",131115,Mk10,06:46:19 29-Feb-2016,,,1,-64.1150,-60.9860,CRC 37323.63879,19:00:00 02-Nov-2013,TAT,169,28,182,197,59,133,24,190,161,71,37,142,47,220,63,63,13,1,240,252,6,127,192,8,246,236,82,119,149,118,64,
"131115",131115,Mk10,07:15:58 29-Feb-2016,,,B,-64.1230,-60.9510,CRC 11440.40475,16:00:00 27-Feb-2016,DiveDepth,50,203,0,183,12,128,6,0,0,0,0,0,2,16,12,15,133,187,30,64,1,0,0,0,0,0,64,135,24,12,0,
"131115",131115,Mk10,08:07:30 29-Feb-2016,,,A,-64.1260,-61.0160,CRC 50377.1334,05:15:00 27-Feb-2016,Behavior,188,76,144,182,83,192,196,56,129,20,2,96,228,0,192,20,6,160,220,240,164,57,0,16,3,49,72,0,128,0,0,
"131115",131115,Mk10,08:09:08 29-Feb-2016,,,A,-64.1260,-61.0160,CRC 803.61551,03:47:00 27-Feb-2016,Behavior,176,50,48,182,59,193,140,13,6,137,75,72,168,50,204,110,44,121,63,118,223,190,233,55,232,220,239,191,178,27,112,
"131115",131115,Mk10,08:29:34 29-Feb-2016,,,1,-64.1050,-61.0170,CRC 38548.7698,12:33:00 29-Feb-2016,Behavior,185,105,64,186,200,64,38,6,176,17,123,88,4,18,24,8,76,144,2,0,66,64,128,48,2,114,132,1,128,0,0,
"131115",131115,Mk10,08:30:29 29-Feb-2016,,,1,-64.1050,-61.0170,CRC 18680.18552,04:00:00 27-Feb-2016,DiveDepth,52,143,128,182,73,129,196,248,16,32,32,129,3,240,182,163,152,21,8,67,1,0,0,0,16,0,0,,,,,
"131115",131115,Mk10,08:40:59 29-Feb-2016,,,1,-64.1140,-61.0150,CRC 42799.35381,12:10:00 29-Feb-2016,Behavior,186,114,240,186,194,128,75,48,128,246,195,80,4,129,65,12,145,250,127,207,78,73,98,176,20,80,164,15,158,0,0,
"131115",131115,Mk10,08:43:53 29-Feb-2016,,,1,-64.1140,-61.0150,CRC 36168.2663,11:28:00 29-Feb-2016,Behavior,184,212,128,186,183,0,176,26,129,84,134,48,100,0,210,91,75,73,45,36,146,211,109,42,145,165,85,88,183,18,10,
"131115",131115,Mk10,08:52:18 29-Feb-2016,,,B,-64.1190,-61.0120,CRC 10329.26204,11:01:00 28-Feb-2014,Behavior,178,133,152,184,176,64,152,4,128,24,4,48,100,23,40,23,198,32,6,0,108,5,3,108,3,243,36,1,128,0,0,
"131115",131115,Mk10,10:07:57 29-Feb-2016,,,2,-64.1540,-61.0960,CRC 47935.21607,08:19:00 29-Feb-2016,Behavior,187,179,240,186,132,192,188,18,137,86,150,128,188,134,164,72,11,162,137,34,40,77,19,232,18,50,40,27,84,0,0,
"131115",131115,Mk10,10:35:27 29-Feb-2016,,,B,-64.1610,-61.1110,CRC 4724.30108,06:50:00 29-Feb-2016,Behavior,177,39,64,186,108,128,104,2,128,199,2,40,36,6,168,36,133,32,29,144,134,13,0,138,3,211,228,31,105,2,0,
"131115",131115,Mk10,11:18:15 29-Feb-2016,,,1,-64.1780,-61.1820,CRC 15975.28578,04:00:00 28-Jul-2013,DiveDepth,51,230,117,248,69,91,37,248,190,253,55,118,171,29,193,44,238,246,47,226,241,222,125,180,33,242,232,69,100,155,108,
"131115",131115,Mk10,11:26:47 29-Feb-2016,,,1,-64.1780,-61.1820,CRC 2176.65109,12:48:00 28-Feb-2016,Behavior,176,136,0,184,204,1,142,16,195,204,53,169,38,17,46,60,66,65,105,146,202,38,12,139,19,168,48,181,96,0,0,
"131115",131115,Mk10,11:27:36 29-Feb-2016,,,1,-64.1780,-61.1820,CRC 46254.29831,12:14:00 28-Feb-2016,Behavior,187,74,224,184,195,129,39,8,195,4,135,186,22,11,38,62,74,32,129,3,96,21,133,166,25,17,172,176,60,0,0,
"131115",131115,Mk10,12:17:38 29-Feb-2016,,,1,-64.2070,-61.1390,CRC 34005.6832,06:43:00 28-Feb-2016,Behavior,184,77,80,184,106,192,41,38,64,40,3,123,96,7,171,113,245,220,7,135,26,75,255,176,44,242,203,47,251,131,240,
"131115",131115,Mk10,14:01:04 29-Feb-2016,,,3,-64.2180,-61.1740,CRC 14451.57946,09:00:00 27-Feb-2016,Behavior,179,135,48,182,144,0,114,62,64,24,2,80,164,1,64,31,2,32,6,0,117,13,1,232,3,48,40,1,128,0,0,
"131115",131115,Mk10,14:01:56 29-Feb-2016,,,3,-64.2180,-61.1740,CRC 54542.8638,08:54:00 27-Feb-2016,Behavior,189,80,224,182,141,128,62,10,144,24,1,233,130,6,34,14,192,160,7,0,66,76,128,48,2,186,78,11,64,0,0,
