DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy
"131115",131115,0.500000,Transmission,Mk10,9,17:00:00 26-Feb-2016,18:00:00 26-Feb-2016,,,,0.0,0.00,148.0,1.75,,,,
"131115",131115,0.500000,Transmission,Mk10,7,18:00:00 26-Feb-2016,19:00:00 26-Feb-2016,,,,0.0,0.00,192.0,1.75,,,,
"131115",131115,0.500000,Transmission,Mk10,11,19:00:00 26-Feb-2016,20:00:00 26-Feb-2016,,,,0.0,0.00,256.0,3.75,,,,
"131115",131115,0.500000,Transmission,Mk10,6,20:00:00 26-Feb-2016,21:00:00 26-Feb-2016,,,,0.0,0.00,264.0,3.75,,,,
"131115",131115,0.500000,Transmission,Mk10,6,21:00:00 26-Feb-2016,22:00:00 26-Feb-2016,,,,0.0,0.00,264.0,3.75,,,,
"131115",131115,0.500000,Transmission,Mk10,6,22:00:00 26-Feb-2016,23:00:00 26-Feb-2016,,,,0.0,0.00,256.0,3.75,,,,
"131115",131115,0.500000,Transmission,Mk10,5,23:00:00 26-Feb-2016,00:00:00 27-Feb-2016,,,,0.0,0.00,264.0,3.75,,,,
