DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"131115",131115,Mk10,DS,4,2,4,,,13:20:59 26-Feb-2016,B,1,-64.1130,-61.0650,,,40,,401677161,-124,
"131115",131115,Mk10,DS,2,1,2,,,13:54:46 26-Feb-2016,R,B,-64.1070,-61.1080,,,8,,401677159,-130,
"131115",131115,Mk10,DS,1,0,1,,,15:00:46 26-Feb-2016,B,B,-64.1050,-61.1330,,,8,,401677162,-132,
"131115",131115,Mk10,DS,1,0,1,,,15:33:01 26-Feb-2016,R,B,-64.1060,-61.1300,,,8,,401677161,-138,
"131115",131115,Mk10,DS,4,0,4,103,58,16:28:10 26-Feb-2016,P,0,-64.1160,-61.0830,,,48,,401677171,-133,
"131115",131115,Mk10,DS,5,0,5,70,47,17:07:11 26-Feb-2016,R,2,-64.0960,-61.0520,,,58,,401677168,-131,
"131115",131115,Mk10,DS,8,0,4,53,46,18:10:25 26-Feb-2016,P,2,-64.0980,-60.9970,,,58,,401677171,-131,
"131115",131115,Mk10,DS,6,0,3,47,47,18:48:01 26-Feb-2016,R,1,-64.1120,-61.0020,,,58,,401677171,-121,
"131115",131115,Mk10,DS,7,0,3,126,47,19:46:52 26-Feb-2016,P,0,-64.0710,-60.9810,,,48,,401677163,-123,
"131115",131115,Mk10,DS,7,0,3,55,46,20:00:49 26-Feb-2016,K,1,-64.1000,-61.0060,,,56,,401677161,-132,
"131115",131115,Mk10,DS,5,0,2,47,46,20:28:36 26-Feb-2016,R,0,-64.1010,-61.0830,,,58,,401677167,-119,
"131115",131115,Mk10,DS,5,0,1,47,47,21:21:19 26-Feb-2016,N,0,-64.1220,-61.0910,,,58,,401677181,-128,
"131115",131115,Mk10,DS,6,0,3,47,47,21:33:17 26-Feb-2016,P,2,-64.1140,-61.0280,,,56,,401677172,-123,
"131115",131115,Mk10,DS,5,0,2,70,46,21:45:47 26-Feb-2016,K,2,-64.1070,-61.0210,,,56,,401677172,-126,
"131115",131115,Mk10,DS,5,0,2,176,47,22:01:55 26-Feb-2016,R,3,-64.0990,-61.0280,,,56,,401677172,-121,
"131115",131115,Mk10,DS,4,0,1,62,47,23:05:04 26-Feb-2016,N,1,-64.1020,-61.0270,,,58,,401677175,-119,
"131115",131115,Mk10,DS,6,0,1,48,47,23:16:00 26-Feb-2016,P,1,-64.1000,-61.0360,,,56,,401677171,-124,
"131115",131115,Mk10,DS,4,0,1,167,46,23:21:23 26-Feb-2016,K,1,-64.0980,-61.0460,,,58,,401677172,-121,
"131115",131115,Mk10,DS,4,0,0,144,46,23:44:37 26-Feb-2016,R,1,-64.1030,-60.9920,,,58,,401677173,-126,
"131115",131115,Mk10,DS,5,0,0,110,46,00:27:21 27-Feb-2016,A,2,-64.0960,-61.0250,,,58,,401677173,-120,
"131115",131115,Mk10,DS,9,0,1,72,46,00:44:53 27-Feb-2016,N,2,-64.1010,-60.9860,,,56,,401677176,-124,
"131115",131115,Mk10,DS,8,0,2,75,46,00:50:08 27-Feb-2016,P,1,-64.1010,-61.0060,,,56,,401677173,-127,
"131115",131115,Mk10,DS,3,0,1,203,159,01:03:01 27-Feb-2016,K,A,-64.1030,-60.9920,,,6,,401677176,-130,
"131115",131115,Mk10,DS,5,0,1,117,46,01:25:19 27-Feb-2016,B,2,-64.1040,-60.9800,,,58,,401677176,-127,
"131115",131115,Mk10,DS,5,0,2,103,83,02:08:43 27-Feb-2016,A,3,-64.1010,-60.9490,,,58,,401677173,-115,
"131115",131115,Mk10,DS,2,0,0,200,200,02:23:24 27-Feb-2016,N,B,-64.0990,-60.9520,,,6,,401677176,-125,
"131115",131115,Mk10,DS,4,0,2,127,120,02:31:40 27-Feb-2016,P,2,-64.0930,-60.9490,,,56,,401677180,-129,
"131115",131115,Mk10,DS,4,0,0,179,140,02:41:18 27-Feb-2016,K,1,-64.0890,-60.9880,,,46,,401677173,-127,
"131115",131115,Mk10,DS,9,0,3,79,47,03:04:41 27-Feb-2016,B,1,-64.1040,-61.0180,,,58,,401677174,-124,
"131115",131115,Mk10,DS,5,0,0,147,47,03:52:06 27-Feb-2016,A,2,-64.0970,-60.9330,,,58,,401677176,-120,
"131115",131115,Mk10,DS,4,0,0,69,61,04:06:23 27-Feb-2016,N,0,-64.1130,-60.9860,,,46,,401677178,-129,
"131115",131115,Mk10,DS,6,0,2,74,52,04:09:18 27-Feb-2016,P,2,-64.0980,-61.0010,,,56,,401677177,-123,
"131115",131115,Mk10,DS,4,0,1,131,80,04:21:33 27-Feb-2016,K,2,-64.1050,-61.0100,,,56,,401677174,-127,
"131115",131115,Mk10,DS,1,0,0,,,04:39:29 27-Feb-2016,B,B,-64.1080,-61.0540,,,8,,401677171,-127,
"131115",131115,Mk10,DS,3,0,0,169,87,05:28:34 27-Feb-2016,A,A,-64.1180,-60.9600,,,8,,401677178,-119,
