Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
13440,166126,23,SR, ,3,04-May-2017,16:37:59,,,,401650000,-139,,0,04-May-2017,16:37:59,,,,,,,,,,4,5,73,9,115,58,144,49,199,180,224,5,0,80,140,141,96,0,2,116,8,128,82,,,,,,,,,
13440,166126,19,NP, ,4,04-May-2017,18:04:08,,,,401650000,-140,,0,04-May-2017,18:04:08,,,,,,,,,,29,15,149,72,250,1,11,205,155,27,13,138,2,3,128,128,0,0,0,,,,,,,,,,,,,
13440,166126,19,SR, ,5,04-May-2017,18:16:02,,,,401650000,-133,,0,04-May-2017,18:14:38,,,84,,,,,,,29,15,149,72,250,1,11,221,155,27,13,138,2,3,128,128,0,0,0,,,,,,,,,,,,,
13440,166126,11,SR, ,5,04-May-2017,18:16:02,,,,401650000,-133,,0,04-May-2017,18:16:02,,,84,,,,,,,77,181,165,72,246,147,10,20,16,112,128,,,,,,,,,,,,,,,,,,,,,
13440,166126,11,NP,1,6,04-May-2017,19:44:26,-64.7013,-62.2791,,401677490,-122,50,0,04-May-2017,19:41:48,-60.4207,-39.5495,295,699,8839,55,83,,,38,239,117,72,243,0,118,136,128,0,0,,,,,,,,,,,,,,,,,,,,,
13440,166126,3,NP,1,6,04-May-2017,19:44:26,-64.7013,-62.2791,,401677490,-122,50,0,04-May-2017,19:42:58,-60.4207,-39.5495,295,699,8839,55,83,,,77,181,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13440,166126,19,NP,1,6,04-May-2017,19:44:26,-64.7013,-62.2791,,401677490,-122,50,0,04-May-2017,19:44:44,-60.4207,-39.5495,295,699,8839,55,83,,,29,15,149,72,250,1,11,221,155,27,13,138,2,3,128,128,0,0,0,,,,,,,,,,,,,
13440,166126,11,NP,1,6,04-May-2017,19:44:26,-64.7013,-62.2791,,401677490,-122,50,0,04-May-2017,19:45:18,-60.4207,-39.5495,295,699,8839,55,83,,,77,181,165,72,246,147,10,20,16,112,128,,,,,,,,,,,,,,,,,,,,,
13440,166126,15,NP,1,6,04-May-2017,19:44:26,-64.7013,-62.2791,,401677490,-122,50,1,04-May-2017,19:46:12,-60.4207,-39.5495,295,699,8839,55,83,,,48,233,165,72,248,147,14,32,24,64,0,0,128,0,0,,,,,,,,,,,,,,,,,
13440,166126,11,NP,1,6,04-May-2017,19:44:26,-64.7013,-62.2791,,401677490,-122,50,1,04-May-2017,19:46:43,-60.4207,-39.5495,295,699,8839,55,83,,,38,235,117,72,243,0,118,136,128,0,0,,,,,,,,,,,,,,,,,,,,,
13440,166126,19,SR,B,7,04-May-2017,19:58:14,-64.6961,-62.2576,,401677487,-136,6,0,04-May-2017,19:57:52,-64.6961,-62.2576,46,1537,3497,675,100,,,29,15,149,72,250,1,15,221,155,27,13,138,2,3,128,128,0,0,0,,,,,,,,,,,,,
13440,166126,11,SR,B,7,04-May-2017,19:58:14,-64.6961,-62.2576,,401677487,-136,6,0,04-May-2017,19:58:38,-64.6961,-62.2576,46,1537,3497,675,100,,,77,181,165,72,246,147,10,20,16,112,128,,,,,,,,,,,,,,,,,,,,,
13440,166126,11,NP,0,8,04-May-2017,21:26:03,-64.6737,-62.2765,,401677487,-124,48,0,04-May-2017,21:24:08,-64.6737,-62.2765,390,1640,9889,271,98,,,38,235,117,72,243,0,118,136,128,0,0,,,,,,,,,,,,,,,,,,,,,
13440,166126,19,NP,0,8,04-May-2017,21:26:03,-64.6737,-62.2765,,401677487,-124,48,0,04-May-2017,21:24:50,-64.6737,-62.2765,390,1640,9889,271,98,,,29,15,149,72,250,1,11,221,155,27,13,138,2,3,128,128,0,0,0,,,,,,,,,,,,,
13440,166126,11,NP,0,8,04-May-2017,21:26:03,-64.6737,-62.2765,,401677487,-124,48,1,04-May-2017,21:30:01,-64.6737,-62.2765,390,1640,9889,271,98,,,77,181,165,72,246,147,10,20,16,112,128,,,,,,,,,,,,,,,,,,,,,
13440,166126,15,NP,0,8,04-May-2017,21:26:03,-64.6737,-62.2765,,401677487,-124,48,1,04-May-2017,21:30:38,-64.6737,-62.2765,390,1640,9889,271,98,,,48,233,165,72,248,147,14,32,24,64,0,0,128,0,0,,,,,,,,,,,,,,,,,
13440,166126,11,SR,B,9,04-May-2017,21:30:19,-64.6744,-62.2783,,401677487,-127,6,0,04-May-2017,21:30:01,-64.6744,-62.2783,37,2286,6509,802,94,,,77,181,165,72,246,147,10,20,16,112,128,,,,,,,,,,,,,,,,,,,,,
13440,166126,15,SR,B,9,04-May-2017,21:30:19,-64.6744,-62.2783,,401677487,-127,6,0,04-May-2017,21:30:38,-64.6744,-62.2783,37,2286,6509,802,94,,,48,233,165,72,248,147,14,32,24,64,0,0,128,0,0,,,,,,,,,,,,,,,,,
13440,166126,11,NN,B,10,04-May-2017,21:30:19,-64.6628,-62.2858,,401677488,-132,6,0,04-May-2017,21:30:01,-64.6628,-62.2858,37,3613,10520,1240,92,,,77,181,165,72,246,147,10,20,16,112,128,,,,,,,,,,,,,,,,,,,,,
13440,166126,15,NN,B,10,04-May-2017,21:30:19,-64.6628,-62.2858,,401677488,-132,6,0,04-May-2017,21:30:38,-64.6628,-62.2858,37,3613,10520,1240,92,,,50,233,165,72,248,147,14,32,24,64,0,0,128,0,32,,,,,,,,,,,,,,,,,
13440,166126,11,NK,A,11,04-May-2017,21:42:14,-64.6639,-62.2495,,401677483,-131,6,0,04-May-2017,21:40:18,-64.6639,-62.2495,198,612,830,451,164,,,38,235,117,72,243,0,118,136,128,0,0,,,,,,,,,,,,,,,,,,,,,
13440,166126,19,NK,A,11,04-May-2017,21:42:14,-64.6639,-62.2495,,401677483,-131,6,0,04-May-2017,21:42:48,-64.6639,-62.2495,198,612,830,451,164,,,29,15,149,72,250,1,11,221,155,27,13,138,2,3,128,128,0,0,4,,,,,,,,,,,,,
13440,166126,11,NK,A,11,04-May-2017,21:42:14,-64.6639,-62.2495,,401677483,-131,6,0,04-May-2017,21:43:36,-64.6639,-62.2495,198,612,830,451,164,,,77,181,165,72,246,147,10,20,16,112,128,,,,,,,,,,,,,,,,,,,,,
13440,166126,11,NP,A,12,04-May-2017,23:11:37,-64.6732,-62.2037,,401677490,-133,8,0,04-May-2017,23:10:45,-64.6732,-62.2037,93,2652,14501,484,68,,,38,235,117,72,243,0,118,136,128,0,0,,,,,,,,,,,,,,,,,,,,,
13440,166126,11,NP,A,12,04-May-2017,23:11:37,-64.6732,-62.2037,,401677490,-133,8,0,04-May-2017,23:11:48,-64.6732,-62.2037,93,2652,14501,484,68,,,77,181,165,72,246,147,10,20,16,112,128,,,,,,,,,,,,,,,,,,,,,
13440,166126,15,NP,A,12,04-May-2017,23:11:37,-64.6732,-62.2037,,401677490,-133,8,0,04-May-2017,23:12:18,-64.6732,-62.2037,93,2652,14501,484,68,,,48,233,165,72,248,147,14,32,24,64,0,0,128,0,0,,,,,,,,,,,,,,,,,
13440,166126,19,NN,1,13,04-May-2017,23:12:21,-64.6912,-62.2468,,401677495,-128,58,0,04-May-2017,23:11:18,-64.6912,-62.2468,168,868,15358,49,87,,,29,15,150,72,250,1,11,221,155,27,13,138,2,3,128,128,0,0,0,,,,,,,,,,,,,
13440,166126,15,NN,1,13,04-May-2017,23:12:21,-64.6912,-62.2468,,401677495,-128,58,0,04-May-2017,23:12:18,-64.6912,-62.2468,168,868,15358,49,87,,,48,233,165,72,248,147,14,32,24,64,0,0,128,0,0,,,,,,,,,,,,,,,,,
13440,166126,11,NN,1,13,04-May-2017,23:12:21,-64.6912,-62.2468,,401677495,-128,58,1,04-May-2017,23:12:48,-64.6912,-62.2468,168,868,15358,49,87,,,38,235,117,72,243,0,118,136,128,0,0,,,,,,,,,,,,,,,,,,,,,
13440,166126,19,NN,1,13,04-May-2017,23:12:21,-64.6912,-62.2468,,401677495,-128,58,0,04-May-2017,23:13:30,-64.6912,-62.2468,168,868,15358,49,87,,,29,15,149,72,250,1,11,221,155,27,13,138,2,3,128,128,0,0,0,,,,,,,,,,,,,
13440,166126,11,NN,1,13,04-May-2017,23:12:21,-64.6912,-62.2468,,401677495,-128,58,1,04-May-2017,23:14:06,-64.6912,-62.2468,168,868,15358,49,87,,,77,181,165,72,246,147,10,20,16,112,128,,,,,,,,,,,,,,,,,,,,,
13440,166126,11,SR,0,14,04-May-2017,23:11:54,-64.6966,-62.2560,,401677485,-131,46,0,04-May-2017,23:11:48,-64.6966,-62.2560,60,3842,25575,577,79,,,77,181,165,72,246,147,10,20,16,112,128,,,,,,,,,,,,,,,,,,,,,
