DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
166126,166126,Mk10,DS,1,0,1,,,16:37:59 04-May-2017,SR,,,,,,,,401650000,-139
166126,166126,Mk10,DS,1,0,1,,,18:04:08 04-May-2017,NP,,,,,,,,401650000,-140
166126,166126,Mk10,DS,2,0,0,84,84,18:16:02 04-May-2017,SR,,,,,,,,401650000,-133
166126,166126,Mk10,DS,8,2,2,,,19:44:26 04-May-2017,NP,1,-64.7013,-62.2791,-60.4207,-39.5495,50,,401677490,-122
166126,166126,Mk10,DS,2,0,1,46,46,19:58:14 04-May-2017,SR,B,-64.6961,-62.2576,-64.6961,-62.2576,6,,401677487,-136
166126,166126,Mk10,DS,6,2,0,,,21:26:03 04-May-2017,NP,0,-64.6737,-62.2765,-64.6737,-62.2765,48,,401677487,-124
166126,166126,Mk10,DS,2,0,0,37,37,21:30:19 04-May-2017,SR,B,-64.6744,-62.2783,-64.6744,-62.2783,6,,401677487,-127
166126,166126,Mk10,DS,2,0,1,37,37,21:30:19 04-May-2017,NN,B,-64.6628,-62.2858,-64.6628,-62.2858,6,,401677488,-132
166126,166126,Mk10,DS,3,0,1,99,48,21:42:14 04-May-2017,NK,A,-64.6639,-62.2495,-64.6639,-62.2495,6,,401677483,-131
166126,166126,Mk10,DS,3,0,0,46,30,23:11:37 04-May-2017,NP,A,-64.6732,-62.2037,-64.6732,-62.2037,8,,401677490,-133
166126,166126,Mk10,DS,7,2,1,,,23:12:21 04-May-2017,NN,1,-64.6912,-62.2468,-64.6912,-62.2468,58,,401677495,-128
166126,166126,Mk10,DS,4,1,0,,,23:11:54 04-May-2017,SR,0,-64.6966,-62.2560,-64.6966,-62.2560,46,,401677485,-131
166126,166126,Mk10,DS,4,0,0,32,30,23:22:59 04-May-2017,NK,0,-64.6915,-62.3075,-64.6915,-62.3075,46,,401677486,-120
166126,166126,Mk10,DS,1,0,1,,,23:32:29 04-May-2017,MA,B,-64.6920,-62.2476,-64.6920,-62.2476,6,,401677495,-130
166126,166126,Mk10,DS,6,0,2,90,30,00:47:07 05-May-2017,NP,1,-64.7044,-62.2409,-64.7044,-62.2409,58,,401677492,-135
166126,166126,Mk10,DS,4,0,0,208,96,00:55:04 05-May-2017,NN,0,-64.6979,-62.2565,-64.6979,-62.2565,46,,401677489,-127
166126,166126,Mk10,DS,7,0,1,59,29,01:02:58 05-May-2017,NK,2,-64.6914,-62.2541,-64.6914,-62.2541,56,,401677487,-124
166126,166126,Mk10,DS,6,1,0,,,01:11:00 05-May-2017,MA,2,-64.6884,-62.2427,-64.6884,-62.2427,56,,401677486,-123
166126,166126,Mk10,DS,5,0,0,116,29,02:06:00 05-May-2017,MB,1,-64.6534,-62.2494,-64.6534,-62.2494,48,,401677482,-128
166126,166126,Mk10,DS,3,0,0,36,30,02:26:23 05-May-2017,NP,A,-64.6366,-62.2560,-64.6366,-62.2560,6,,401677485,-132
166126,166126,Mk10,DS,5,0,1,100,30,02:33:59 05-May-2017,NN,0,-64.6447,-62.2933,-64.6447,-62.2933,46,,401677479,-135
166126,166126,Mk10,DS,3,0,1,168,83,02:40:05 05-May-2017,NK,A,-64.6445,-62.2679,-64.6445,-62.2679,6,,401677486,-133
166126,166126,Mk10,DS,5,0,1,149,85,02:52:39 05-May-2017,MA,0,-64.6403,-62.3064,-64.6403,-62.3064,56,,401677483,-118
166126,166126,Mk10,DS,1,0,0,,,03:45:00 05-May-2017,MB,B,-64.6327,-62.3099,-64.6327,-62.3099,8,,401677484,-132
166126,166126,Mk10,DS,6,0,0,94,31,04:03:52 05-May-2017,NP,1,-64.6143,-62.2788,-64.6143,-62.2788,46,,401677486,-127
166126,166126,Mk10,DS,4,0,0,130,34,04:14:58 05-May-2017,NN,0,-64.6302,-62.2614,-64.6302,-62.2614,46,,401677488,-129
166126,166126,Mk10,DS,2,0,0,33,33,04:16:50 05-May-2017,NK,B,-64.6088,-62.2905,-64.6088,-62.2905,6,,401677481,-128
166126,166126,Mk10,DS,3,0,0,39,31,04:32:10 05-May-2017,MA,A,-64.6096,-62.2898,-64.6096,-62.2898,6,,401677482,-121
166126,166126,Mk10,DS,6,0,0,103,49,05:45:49 05-May-2017,NP,1,-64.6218,-62.3020,-64.6218,-62.3020,58,,401677484,-122
166126,166126,Mk10,DS,6,0,1,90,30,05:53:54 05-May-2017,NN,1,-64.6340,-62.3033,-64.6340,-62.3033,46,,401677480,-128
166126,166126,Mk10,DS,5,0,0,80,30,05:58:12 05-May-2017,NK,1,-64.6321,-62.2627,-64.6321,-62.2627,56,,401677487,-127
166126,166126,Mk10,DS,3,0,0,146,29,06:12:19 05-May-2017,MA,A,-64.6256,-62.3031,-64.6256,-62.3031,6,,401677482,-121
166126,166126,Mk10,DS,9,0,1,70,36,07:25:59 05-May-2017,NP,2,-64.6178,-62.2756,-64.6178,-62.2756,58,,401677483,-129
166126,166126,Mk10,DS,7,0,0,116,42,07:33:18 05-May-2017,NN,3,-64.6142,-62.2708,-64.6142,-62.2708,56,,401677482,-128
166126,166126,Mk10,DS,10,0,0,78,39,07:36:26 05-May-2017,NK,3,-64.6130,-62.2658,-64.6130,-62.2658,56,,401677483,-126
166126,166126,Mk10,DS,2,0,1,154,154,07:50:21 05-May-2017,MA,B,-64.6080,-62.2753,-64.6080,-62.2753,6,,401677485,-131
166126,166126,Mk10,DS,1,0,0,,,08:41:35 05-May-2017,MB,B,-64.6049,-62.2749,-64.6049,-62.2749,8,,401677488,-132
166126,166126,Mk10,DS,6,0,1,143,85,09:14:46 05-May-2017,NN,1,-64.6235,-62.2856,-64.6235,-62.2856,46,,401677484,-123
166126,166126,Mk10,DS,5,0,0,141,85,09:10:42 05-May-2017,NK,0,-64.6255,-62.2642,-64.6255,-62.2642,40,,401677487,-133
166126,166126,Mk10,DS,1,0,0,,,09:10:42 05-May-2017,NP,B,-64.6046,-62.2747,-64.6046,-62.2747,6,,401677487,-134
166126,166126,Mk10,DS,4,0,0,94,46,09:27:10 05-May-2017,MA,2,-64.6254,-62.3034,-64.6254,-62.3034,56,,401677480,-120
166126,166126,Mk10,DS,3,0,0,197,94,09:31:44 05-May-2017,SR,A,-64.6272,-62.2885,-64.6272,-62.2885,6,,401677489,-128
166126,166126,Mk10,DS,12,0,0,64,30,10:53:50 05-May-2017,NN,2,-64.6124,-62.2831,-64.6124,-62.2831,58,,401677487,-124
166126,166126,Mk10,DS,6,0,0,108,30,10:54:57 05-May-2017,NK,2,-64.6152,-62.2777,-64.6152,-62.2777,56,,401677486,-125
166126,166126,Mk10,DS,11,0,1,66,29,11:08:56 05-May-2017,MA,3,-64.6219,-62.2755,-64.6219,-62.2755,56,,401677485,-120
166126,166126,Mk10,DS,9,0,0,71,29,11:11:24 05-May-2017,SR,1,-64.6189,-62.2994,-64.6189,-62.2994,56,,401677486,-121
166126,166126,Mk10,DS,2,0,1,182,182,12:03:22 05-May-2017,MB,B,-64.6159,-62.2995,-64.6159,-62.2995,8,,401677481,-132
166126,166126,Mk10,DS,3,0,0,34,30,12:34:35 05-May-2017,NN,A,-64.6251,-62.2628,-64.6251,-62.2628,8,,401677486,-135
166126,166126,Mk10,DS,1,0,0,,,12:34:38 05-May-2017,NK,B,-64.6251,-62.2628,-64.6251,-62.2628,6,,401677487,-137
166126,166126,Mk10,DS,11,0,2,54,30,12:43:00 05-May-2017,MA,3,-64.6159,-62.2980,-64.6159,-62.2980,56,,401677484,-113
166126,166126,Mk10,DS,10,0,1,53,30,12:52:50 05-May-2017,SR,3,-64.6154,-62.2558,-64.6154,-62.2558,56,,401677481,-131
166126,166126,Mk10,DS,1,0,0,,,00:23:48 06-May-2017,SR,B,-64.6303,-62.0014,-64.6303,-62.0014,8,,401677480,-137
166126,166126,Mk10,DS,4,0,1,225,33,00:36:38 06-May-2017,NK,1,-64.6102,-62.2893,-64.6102,-62.2893,56,,401677500,-129
166126,166126,Mk10,DS,6,0,0,79,29,00:43:25 06-May-2017,NN,1,-64.6302,-62.3601,-64.6302,-62.3601,56,,401677502,-124
166126,166126,Mk10,DS,4,0,0,29,29,00:48:33 06-May-2017,MA,0,-64.6319,-62.3565,-64.6319,-62.3565,46,,401677499,-125
166126,166126,Mk10,DS,4,0,4,122,30,01:42:45 06-May-2017,MB,2,-64.6095,-62.3409,-64.6095,-62.3409,58,,401677496,-133
166126,166126,Mk10,DS,3,0,2,237,232,02:14:39 06-May-2017,NP,A,-64.6115,-62.3254,-64.6115,-62.3254,8,,401677496,-138
166126,166126,Mk10,DS,3,0,0,121,30,02:16:06 06-May-2017,NK,A,-64.6089,-62.3223,-64.6089,-62.3223,6,,401677493,-130
166126,166126,Mk10,DS,2,0,0,34,34,02:25:39 06-May-2017,NN,B,-64.6091,-62.2920,-64.6091,-62.2920,6,,401677510,-133
166126,166126,Mk10,DS,7,0,2,103,32,02:28:38 06-May-2017,MA,1,-64.6178,-62.3103,-64.6178,-62.3103,46,,401677495,-120
166126,166126,Mk10,DS,4,0,2,88,46,03:27:29 06-May-2017,MB,2,-64.6185,-62.3246,-64.6185,-62.3246,58,,401677496,-133
166126,166126,Mk10,DS,6,0,4,117,49,03:54:12 06-May-2017,NP,1,-64.6197,-62.3409,-64.6197,-62.3409,46,,401677494,-128
166126,166126,Mk10,DS,3,0,0,159,123,03:53:08 06-May-2017,NK,A,-64.6231,-62.3340,-64.6231,-62.3340,6,,401677493,-127
166126,166126,Mk10,DS,2,0,2,254,254,04:06:09 06-May-2017,NN,B,-64.6190,-62.3504,-64.6190,-62.3504,6,,401677492,-137
166126,166126,Mk10,DS,5,0,0,148,73,04:11:10 06-May-2017,MA,1,-64.6217,-62.3464,-64.6217,-62.3464,46,,401677492,-121
166126,166126,Mk10,DS,7,0,0,116,30,05:35:12 06-May-2017,NP,1,-64.6181,-62.3719,-64.6191,-62.3676,46,,401677493,-124
166126,166126,Mk10,DS,3,0,0,196,81,05:33:06 06-May-2017,NK,A,-64.6194,-62.3739,-64.6194,-62.3739,8,,401677491,-131
166126,166126,Mk10,DS,4,0,1,126,70,05:42:10 06-May-2017,NN,2,-64.6251,-62.3661,-64.6251,-62.3661,56,,401677491,-131
166126,166126,Mk10,DS,2,0,1,317,317,05:51:37 06-May-2017,MA,B,-64.6282,-62.3689,-64.6282,-62.3689,6,,401677492,-126
166126,166126,Mk10,DS,7,0,2,36,30,07:15:51 06-May-2017,NP,2,-64.6322,-62.3691,-64.6322,-62.3691,58,,401677495,-123
166126,166126,Mk10,DS,3,0,0,39,35,07:14:39 06-May-2017,NK,A,-64.6267,-62.3992,-64.6267,-62.3992,8,,401677494,-133
166126,166126,Mk10,DS,3,0,1,286,70,07:20:02 06-May-2017,NN,A,-64.6199,-62.3801,-64.6199,-62.3801,6,,401677498,-137
166126,166126,Mk10,DS,5,0,1,39,30,07:27:28 06-May-2017,MA,1,-64.6389,-62.3408,-64.6389,-62.3408,56,,401677499,-126
166126,166126,Mk10,DS,5,0,3,144,45,08:49:06 06-May-2017,NK,1,-64.6190,-62.3827,-64.6190,-62.3827,58,,401677496,-121
166126,166126,Mk10,DS,1,0,0,,,08:55:28 06-May-2017,NP,B,-64.6368,-62.3335,-64.6368,-62.3335,8,,401677491,-137
166126,166126,Mk10,DS,6,0,0,63,29,09:01:49 06-May-2017,NN,3,-64.6238,-62.3364,-64.6238,-62.3364,58,,401677500,-122
166126,166126,Mk10,DS,5,0,1,79,29,09:01:17 06-May-2017,SR,1,-64.6401,-62.3477,-64.6401,-62.3477,58,,401677504,-129
166126,166126,Mk10,DS,4,0,1,142,35,09:09:07 06-May-2017,MA,2,-64.6220,-62.3155,-64.6220,-62.3155,56,,401677503,-121
