DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
166126,166126,Mk10,Strong,05-May-2017,02:50:30,05-May-2017,02:50:39
166126,166126,Mk10,Strong,13-May-2017,01:05:01,13-May-2017,01:05:09
