DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
166126,166126,,Mk10,13:00:00 05-May-2017,,,,0.0,-1.2,Status
166126,166126,,Mk10,00:00:00 07-May-2017,,,,0.0,-0.9,Status
166126,166126,,Mk10,04:00:00 07-May-2017,,,,0.0,-1.1,Status
166126,166126,,Mk10,02:00:00 08-May-2017,,,,0.0,-1.2,Status
166126,166126,,Mk10,03:00:00 08-May-2017,,,,0.0,-1.5,Status
166126,166126,,Mk10,07:00:00 08-May-2017,,,,0.0,-1.4,Status
166126,166126,,Mk10,10:00:00 09-May-2017,,,,0.0,-1.0,Status
166126,166126,,Mk10,02:00:00 11-May-2017,,,,0.0,-1.2,Status
166126,166126,,Mk10,08:00:00 11-May-2017,,,,0.0,-0.9,Status
166126,166126,,Mk10,01:00:00 12-May-2017,,,,0.0,-0.9,Status
166126,166126,,Mk10,01:00:00 14-May-2017,,,,0.0,-1.6,Status
166126,166126,,Mk10,12:00:00 14-May-2017,,,,0.0,-1.1,Status
