DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
166126,166126,Mk10,03:53:08 06-May-2017,Argos,A,-64.6231,-62.3340,307,1518,61,86,,,,,,
166126,166126,Mk10,03:54:12 06-May-2017,Argos,1,-64.6197,-62.3409,586,1389,246,96,,,,,,
166126,166126,Mk10,04:06:09 06-May-2017,Argos,B,-64.6190,-62.3504,2198,4256,1134,142,,,,,,
166126,166126,Mk10,04:11:10 06-May-2017,Argos,1,-64.6217,-62.3464,654,1357,314,73,,,,,,
166126,166126,Mk10,05:33:06 06-May-2017,Argos,A,-64.6194,-62.3739,1446,9885,211,82,,,,,,
166126,166126,Mk10,05:35:12 06-May-2017,Argos,1,-64.6181,-62.3719,818,6658,100,107,,,,,,
166126,166126,Mk10,05:42:10 06-May-2017,Argos,2,-64.6251,-62.3661,424,1684,106,90,,,,,,
166126,166126,Mk10,05:51:37 06-May-2017,Argos,B,-64.6282,-62.3689,493,3374,72,102,,,,,,
166126,166126,Mk10,07:14:39 06-May-2017,Argos,A,-64.6267,-62.3992,4212,10474,1693,129,,,,,,
166126,166126,Mk10,07:15:51 06-May-2017,Argos,2,-64.6322,-62.3691,271,984,74,108,,,,,,
166126,166126,Mk10,07:20:02 06-May-2017,Argos,A,-64.6199,-62.3801,675,2375,191,72,,,,,,
166126,166126,Mk10,07:27:28 06-May-2017,Argos,1,-64.6389,-62.3408,1274,2443,664,57,,,,,,
166126,166126,Mk10,08:49:06 06-May-2017,Argos,1,-64.6190,-62.3827,1472,39625,54,103,,,,,,
166126,166126,Mk10,08:55:28 06-May-2017,Argos,B,-64.6368,-62.3335,3817,9268,1572,89,,,,,,
166126,166126,Mk10,09:01:17 06-May-2017,Argos,1,-64.6401,-62.3477,1026,2172,485,128,,,,,,
166126,166126,Mk10,09:01:49 06-May-2017,Argos,3,-64.6238,-62.3364,238,1332,42,91,,,,,,
166126,166126,Mk10,09:09:07 06-May-2017,Argos,2,-64.6220,-62.3155,302,1061,86,89,,,,,,
166126,166126,Mk10,09:58:26 06-May-2017,Argos,B,-64.6221,-62.3172,976,2573,369,103,,,,,,
166126,166126,Mk10,10:28:54 06-May-2017,Argos,2,-64.6279,-62.3504,335,1912,58,91,,,,,,
166126,166126,Mk10,10:42:18 06-May-2017,Argos,A,-64.6213,-62.3478,809,6197,105,111,,,,,,
166126,166126,Mk10,10:43:37 06-May-2017,Argos,1,-64.6235,-62.3282,827,5331,128,86,,,,,,
166126,166126,Mk10,10:43:49 06-May-2017,Argos,3,-64.6221,-62.3484,226,819,62,106,,,,,,
166126,166126,Mk10,12:08:23 06-May-2017,Argos,B,-64.6221,-62.3440,4704,11492,1925,90,,,,,,
166126,166126,Mk10,12:23:12 06-May-2017,Argos,1,-64.6105,-62.3794,609,2024,183,77,,,,,,
166126,166126,Mk10,12:24:29 06-May-2017,Argos,0,-64.5767,-62.3901,1531,2668,877,143,,,,,,
166126,166126,Mk10,12:25:56 06-May-2017,Argos,1,-64.6117,-62.3836,722,12454,41,99,,,,,,
166126,166126,Mk10,00:12:14 07-May-2017,Argos,1,-64.6244,-62.3152,860,8821,83,80,,,,,,
166126,166126,Mk10,00:24:59 07-May-2017,Argos,A,-64.6272,-62.2947,2502,39376,159,92,,,,,,
166126,166126,Mk10,00:31:10 07-May-2017,Argos,B,-64.6276,-62.2839,482,1736,133,94,,,,,,
166126,166126,Mk10,00:33:46 07-May-2017,Argos,0,-64.6412,-62.3666,2408,58610,98,75,,,,,,
166126,166126,Mk10,01:51:48 07-May-2017,Argos,B,-64.6239,-62.2934,4284,9482,1935,117,,,,,,
166126,166126,Mk10,01:59:46 07-May-2017,Argos,B,-64.6375,-62.3481,5751,10078,3281,94,,,,,,
166126,166126,Mk10,02:09:23 07-May-2017,Argos,1,-64.6278,-62.2594,704,3823,129,96,,,,,,
166126,166126,Mk10,02:09:44 07-May-2017,Argos,1,-64.6288,-62.2537,535,1622,176,92,,,,,,
166126,166126,Mk10,03:04:33 07-May-2017,Argos,B,-64.6378,-62.2676,1416,17031,117,78,,,,,,
166126,166126,Mk10,03:28:17 07-May-2017,Argos,A,-64.6270,-62.3761,3321,23909,461,74,,,,,,
166126,166126,Mk10,03:41:08 07-May-2017,Argos,0,-64.6354,-62.3140,1660,6561,420,82,,,,,,
166126,166126,Mk10,03:51:21 07-May-2017,Argos,B,-64.6354,-62.3139,3445,8302,1429,88,,,,,,
166126,166126,Mk10,03:51:21 07-May-2017,Argos,B,-64.6353,-62.3136,2794,6869,1136,88,,,,,,
166126,166126,Mk10,04:44:33 07-May-2017,Argos,B,-64.6325,-62.3134,5595,12514,2501,87,,,,,,
166126,166126,Mk10,05:22:43 07-May-2017,Argos,1,-64.6259,-62.2809,883,3923,198,89,,,,,,
166126,166126,Mk10,05:28:36 07-May-2017,Argos,2,-64.6195,-62.2882,265,517,135,92,,,,,,
166126,166126,Mk10,05:30:54 07-May-2017,Argos,1,-64.6284,-62.3008,1049,4477,245,78,,,,,,
166126,166126,Mk10,06:47:15 07-May-2017,Argos,1,-64.6099,-62.2833,984,5180,186,70,,,,,,
166126,166126,Mk10,07:03:51 07-May-2017,Argos,0,-64.6054,-62.2623,2182,3614,1317,37,,,,,,
166126,166126,Mk10,07:10:05 07-May-2017,Argos,A,-64.6152,-62.2812,1360,5218,354,86,,,,,,
166126,166126,Mk10,07:12:07 07-May-2017,Argos,0,-64.6177,-62.2673,1831,9275,361,97,,,,,,
166126,166126,Mk10,08:24:10 07-May-2017,Argos,0,-64.6302,-62.3481,1812,9584,342,78,,,,,,
166126,166126,Mk10,08:30:25 07-May-2017,Argos,0,-64.5895,-62.2465,2676,5163,1387,10,,,,,,
166126,166126,Mk10,08:46:48 07-May-2017,Argos,A,-64.6158,-62.2758,2165,7481,626,108,,,,,,
166126,166126,Mk10,08:47:06 07-May-2017,Argos,2,-64.6170,-62.2965,361,1380,94,87,,,,,,
166126,166126,Mk10,08:49:38 07-May-2017,Argos,2,-64.6148,-62.2894,308,885,106,111,,,,,,
166126,166126,Mk10,10:05:25 07-May-2017,Argos,A,-64.6016,-62.2643,646,3747,111,113,,,,,,
166126,166126,Mk10,10:11:02 07-May-2017,Argos,3,-64.5969,-62.2604,248,421,146,129,,,,,,
166126,166126,Mk10,10:25:42 07-May-2017,Argos,3,-64.6057,-62.2261,191,414,88,97,,,,,,
166126,166126,Mk10,10:29:12 07-May-2017,Argos,2,-64.5943,-62.2268,409,2740,60,90,,,,,,
166126,166126,Mk10,11:24:22 07-May-2017,Argos,B,-64.5836,-62.2139,3193,7423,1373,90,,,,,,
166126,166126,Mk10,11:43:38 07-May-2017,Argos,0,-64.6319,-62.2840,7137,60343,844,72,,,,,,
166126,166126,Mk10,11:51:49 07-May-2017,Argos,1,-64.5853,-62.1656,1083,11606,101,73,,,,,,
166126,166126,Mk10,12:04:56 07-May-2017,Argos,1,-64.6092,-62.1588,1434,25988,79,100,,,,,,
166126,166126,Mk10,12:13:09 07-May-2017,Argos,B,-64.6097,-62.2380,1823,3081,1078,125,,,,,,
166126,166126,Mk10,13:02:59 07-May-2017,Argos,B,-64.5893,-62.2223,3467,21434,560,91,,,,,,
166126,166126,Mk10,00:09:13 08-May-2017,Argos,A,-64.5872,-62.2660,202,314,129,100,,,,,,
166126,166126,Mk10,00:15:09 08-May-2017,Argos,A,-64.6080,-62.2902,391,729,209,167,,,,,,
166126,166126,Mk10,00:21:04 08-May-2017,Argos,0,-64.6112,-62.2845,1587,21285,118,79,,,,,,
