; Unless otherwise specified, depths here generally assume a 1000 meter instrument and you may need to double the depths for 2000 meter instruments!

DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
"131156",131156,,SPOT,,,19:42:01 14-Jan-2016,,2,-64.8210,-64.1820,,,,,384,3.424,,0.216,6.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,01:59:38 15-Jan-2016,,3,-64.9300,-64.1600,,,,,640,3.440,,0.216,10.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,02:17:18 15-Jan-2016,,1,-64.9290,-64.1850,,,,,640,3.456,,0.204,10.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,02:58:20 15-Jan-2016,,0,-64.9410,-64.2000,,,,,640,3.472,,0.208,12.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,03:40:50 15-Jan-2016,,3,-64.9350,-64.1700,,,,,896,3.440,,0.232,11.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,03:53:38 15-Jan-2016,,2,-64.9310,-64.1420,,,,,896,3.440,,0.216,11.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,05:25:11 15-Jan-2016,,1,-64.9350,-64.1490,,,,,896,3.472,,0.208,23.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,05:38:35 15-Jan-2016,,1,-64.9270,-64.2210,,,,,896,3.472,,0.196,12.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,06:11:33 15-Jan-2016,,B,-64.9360,-64.1600,,,,,896,3.456,,0.208,12.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,08:51:38 15-Jan-2016,,1,-64.9370,-64.1750,,,,,1152,3.472,,0.204,12.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,10:20:25 15-Jan-2016,,3,-64.9310,-64.0830,,,,,1152,3.456,,0.208,11.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,11:58:59 15-Jan-2016,,3,-64.9120,-64.0890,,,,,1152,3.456,,0.220,12.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,13:35:35 15-Jan-2016,,3,-64.9250,-64.0900,,,,,1152,3.456,,0.216,11.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,15:15:55 15-Jan-2016,,1,-64.9030,-64.0610,,,,,1408,3.456,,0.248,13.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,00:12:32 16-Jan-2016,,2,-64.8220,-64.0040,,,,,1408,3.440,,0.216,12.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,00:29:46 16-Jan-2016,,2,-64.8300,-64.0540,,,,,1408,3.440,,0.208,12.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,01:50:05 16-Jan-2016,,2,-64.8410,-64.1280,,,,,1408,3.456,,0.224,12.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,03:21:57 16-Jan-2016,,A,-64.9150,-64.1950,,,,,1408,3.472,,0.220,12.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,03:42:02 16-Jan-2016,,2,-64.9220,-64.1200,,,,,1408,3.456,,0.208,11.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,04:18:21 16-Jan-2016,,B,-64.9200,-64.1220,,,,,1152,3.440,,0.232,11.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,08:15:31 16-Jan-2016,,1,-64.9420,-64.1860,,,,,1664,3.456,,0.216,11.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,09:58:01 16-Jan-2016,,1,-64.9470,-64.2150,,,,,1664,3.456,,0.220,11.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,11:59:06 16-Jan-2016,,B,-64.9460,-64.1690,,,,,1920,3.488,,0.212,14.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,14:04:46 16-Jan-2016,,B,-64.9570,-64.1960,,,,,1920,3.488,,0.212,17.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,17:27:31 16-Jan-2016,,B,-64.9290,-64.2100,,,,,1920,3.472,,0.208,16.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,22:01:00 16-Jan-2016,,B,-64.8080,-64.1510,,,,,1920,3.456,,0.224,13.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,22:31:55 16-Jan-2016,,A,-64.8270,-64.1690,,,,,1920,3.456,,0.212,12.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,23:40:58 16-Jan-2016,,2,-64.8180,-64.2080,,,,,2176,3.440,,0.220,11.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,00:14:30 17-Jan-2016,,A,-64.8380,-64.1840,,,,,2176,3.440,,0.224,12.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,01:21:45 17-Jan-2016,,2,-64.8300,-64.1540,,,,,2176,3.440,,0.228,11.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,03:02:46 17-Jan-2016,,1,-64.8200,-64.1340,,,,,2176,3.472,,0.212,14.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,03:41:26 17-Jan-2016,,B,-64.8340,-64.1160,,,,,2176,3.440,,0.252,11.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,05:07:39 17-Jan-2016,,1,-64.8400,-64.2030,,,,,2432,3.456,,0.216,12.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,08:09:52 17-Jan-2016,,B,-64.7710,-64.2250,,,,,2432,3.456,,0.204,13.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,09:41:34 17-Jan-2016,,1,-64.7620,-64.2100,,,,,2432,3.440,,0.216,12.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,10:27:36 17-Jan-2016,,B,-64.7460,-64.1900,,,,,640,3.456,,0.212,12.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,11:15:27 17-Jan-2016,,2,-64.7430,-64.2020,,,,,2688,3.456,,0.212,13.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,11:33:23 17-Jan-2016,,0,-64.7540,-64.2940,,,,,2688,3.472,,0.220,15.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,16:21:38 17-Jan-2016,,A,-64.6550,-64.5170,,,,,2688,3.440,,0.236,11.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,00:44:19 18-Jan-2016,,B,-64.6200,-64.6400,,,,,2944,3.440,,0.236,19.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,02:35:31 18-Jan-2016,,A,-64.6300,-64.5870,,,,,2944,3.456,,0.216,13.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,06:01:20 18-Jan-2016,,A,-64.7620,-64.4600,,,,,2944,3.456,,0.220,13.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,06:38:18 18-Jan-2016,,2,-64.7720,-64.4300,,,,,2944,3.376,,0.372,15.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,09:08:27 18-Jan-2016,,2,-64.8300,-64.2720,,,,,2944,3.424,,0.220,12.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,09:23:36 18-Jan-2016,,1,-64.8440,-64.2530,,,,,2944,3.408,,0.224,11.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,10:10:32 18-Jan-2016,,1,-64.8450,-64.2720,,,,,2944,3.440,,0.216,11.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131156",131156,,SPOT,,,10:58:41 18-Jan-2016,,3,-64.8370,-64.2680,,,,,3200,3.440,,0.212,12.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
