DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"131142",131142,SPOT,DS,1,0,1,,,00:00:03 13-Jan-2016,R,A,-64.8880,-63.6950,,,50,,401677516,-131,
"131142",131142,SPOT,DS,2,0,0,577,577,01:03:36 13-Jan-2016,N,B,-64.9020,-63.6620,,,,,401677512,-133,
"131142",131142,SPOT,DS,2,0,0,246,246,01:00:51 13-Jan-2016,P,B,-64.8890,-63.6670,,,8,,401677514,-133,
"131142",131142,SPOT,DS,1,0,0,,,01:18:03 13-Jan-2016,K,B,-64.9020,-63.6620,,,,,401677512,-137,
"131142",131142,SPOT,DS,2,0,0,211,211,02:42:11 13-Jan-2016,A,B,-64.8780,-63.7070,,,8,,401677501,-119,
"131142",131142,SPOT,DS,1,0,0,,,02:43:56 13-Jan-2016,N,B,-64.8800,-63.7120,,,,,401677509,-133,
"131142",131142,SPOT,DS,3,0,0,88,73,03:00:12 13-Jan-2016,K,A,-64.8950,-63.8010,,,8,,401677501,-125,
"131142",131142,SPOT,DS,1,0,0,,,03:36:17 13-Jan-2016,B,B,-64.8890,-63.8160,,,6,,401677517,-126,
"131142",131142,SPOT,DS,4,0,0,140,89,04:18:59 13-Jan-2016,P,1,-64.8670,-63.8340,,,48,,401677511,-128,
"131142",131142,SPOT,DS,4,0,0,164,65,04:21:51 13-Jan-2016,A,2,-64.8640,-63.8510,,,50,,401677510,-118,
"131142",131142,SPOT,DS,4,0,0,164,65,04:21:51 13-Jan-2016,N,1,-64.8600,-63.8490,,,50,,401677511,-127,
"131142",131142,SPOT,DS,3,0,0,139,43,04:39:13 13-Jan-2016,K,A,-64.8540,-63.8700,,,,,401677510,-129,
"131142",131142,SPOT,DS,9,0,1,83,43,05:54:26 13-Jan-2016,P,2,-64.8500,-63.9230,,,58,,401677510,-120,
"131142",131142,SPOT,DS,6,0,1,79,43,06:00:41 13-Jan-2016,N,2,-64.8430,-63.9150,,,50,,401677513,-130,
"131142",131142,SPOT,DS,6,0,1,87,43,05:59:04 13-Jan-2016,A,1,-64.8430,-63.9300,,,40,,401677507,-120,
"131142",131142,SPOT,DS,1,0,0,,,06:19:21 13-Jan-2016,K,B,-64.8400,-63.9170,,,,,401677516,-124,
"131142",131142,SPOT,DS,1,0,0,,,07:37:43 13-Jan-2016,A,B,-64.8310,-63.9420,,,8,,401677517,-130,
"131142",131142,SPOT,DS,1,0,0,,,07:37:43 13-Jan-2016,P,B,-64.8370,-63.9280,,,,,401677519,-138,
"131142",131142,SPOT,DS,1,0,0,,,07:44:21 13-Jan-2016,N,B,-64.8380,-63.9290,,,,,401677515,-135,
"131142",131142,SPOT,DS,3,0,0,219,214,07:57:08 13-Jan-2016,K,A,-64.8670,-63.9270,,,,,401677508,-128,
"131142",131142,SPOT,DS,2,0,0,324,324,09:12:53 13-Jan-2016,A,B,-64.8210,-63.9940,,,8,,401677508,-132,
