DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
166128,166128,Mk10,DS,12,0,1,44,30,11:11:57 05-May-2017,SR,0,-64.6043,-62.2015,-64.6043,-62.2015,46,,401677417,-121
166128,166128,Mk10,DS,2,0,1,32,32,12:01:18 05-May-2017,MB,B,-64.6082,-62.3125,-64.6082,-62.3125,8,,401677411,-130
166128,166128,Mk10,DS,3,0,2,265,30,00:36:56 06-May-2017,NP,A,-64.5807,-62.9204,-64.5807,-62.9204,,,401677404,-139
166128,166128,Mk10,DS,7,0,1,80,30,00:38:36 06-May-2017,NK,1,-64.5951,-62.5091,-64.5951,-62.5091,46,,401677440,-126
166128,166128,Mk10,DS,9,0,2,57,29,00:45:39 06-May-2017,NN,1,-64.6096,-62.5592,-64.6096,-62.5592,40,,401677435,-123
166128,166128,Mk10,DS,4,0,1,90,41,00:50:47 06-May-2017,MA,1,-64.6164,-62.5405,-64.6164,-62.5405,46,,401677441,-127
166128,166128,Mk10,DS,1,0,0,,,01:49:23 06-May-2017,MB,B,-64.6116,-62.6023,-64.6116,-62.6023,8,,401677437,-134
166128,166128,Mk10,DS,4,0,3,43,31,02:20:45 06-May-2017,NN,0,-64.5996,-62.4987,-64.5996,-62.4987,46,,401677457,-133
166128,166128,Mk10,DS,6,0,1,61,40,02:33:40 06-May-2017,MA,1,-64.6234,-62.5521,-64.6234,-62.5521,46,,401677446,-116
166128,166128,Mk10,DS,8,0,2,61,30,03:25:53 06-May-2017,MB,2,-64.6578,-62.6299,-64.6578,-62.6299,58,,401677434,-122
166128,166128,Mk10,DS,1,0,1,,,03:51:24 06-May-2017,NK,B,-64.6626,-62.6623,-64.6626,-62.6623,6,,401677458,-137
166128,166128,Mk10,DS,6,0,2,39,29,04:11:47 06-May-2017,MA,1,-64.7000,-62.6055,-64.7000,-62.6055,46,,401677468,-117
166128,166128,Mk10,DS,1,0,1,,,05:38:49 06-May-2017,NP,B,-64.7316,-62.6442,-64.7316,-62.6442,8,,401677456,-138
166128,166128,Mk10,DS,1,0,0,,,05:42:23 06-May-2017,NN,B,-64.7284,-62.6221,-64.7284,-62.6221,6,,401677434,-140
166128,166128,Mk10,DS,1,0,1,,,07:07:43 06-May-2017,NK,B,-64.7524,-62.6706,-64.7524,-62.6706,8,,401677418,-132
166128,166128,Mk10,DS,2,0,0,30,30,07:19:23 06-May-2017,NP,B,-64.7803,-62.6388,-64.7803,-62.6388,8,,401677448,-132
166128,166128,Mk10,DS,7,0,2,49,30,07:21:48 06-May-2017,NN,1,-64.6872,-62.5440,-64.6872,-62.5440,56,,401677466,-129
166128,166128,Mk10,DS,4,0,3,84,30,08:53:17 06-May-2017,NK,0,-64.7332,-62.5206,-64.7332,-62.5206,58,,401677445,-129
166128,166128,Mk10,DS,1,0,0,,,09:08:24 06-May-2017,MA,B,-64.7329,-62.5351,-64.7329,-62.5351,6,,401677464,-132
166128,166128,Mk10,DS,2,0,1,107,107,10:32:29 06-May-2017,NK,B,-64.7198,-62.5760,-64.7198,-62.5760,8,,401677436,-137
166128,166128,Mk10,DS,3,0,1,40,40,10:37:33 06-May-2017,SR,A,-64.7457,-62.5514,-64.7457,-62.5514,8,,401677440,-132
166128,166128,Mk10,DS,3,0,3,30,30,10:51:13 06-May-2017,MA,A,-64.7379,-62.6732,-64.7379,-62.6732,6,,401677446,-130
166128,166128,Mk10,DS,6,0,0,41,34,00:11:12 07-May-2017,NK,1,-64.6946,-62.7765,-64.6946,-62.7765,40,,401677464,-121
166128,166128,Mk10,DS,4,0,1,46,32,00:25:56 07-May-2017,NP,0,-64.6901,-62.9620,-64.6901,-62.9620,50,,401677432,-132
166128,166128,Mk10,DS,3,0,2,150,138,00:27:20 07-May-2017,MA,A,-64.7513,-63.0072,-64.7513,-63.0072,6,,401677484,-129
166128,166128,Mk10,DS,1,0,0,,,00:27:13 07-May-2017,NN,B,-64.8613,-62.6757,-64.8613,-62.6757,,,401677454,-135
166128,166128,Mk10,DS,2,0,0,42,42,01:54:43 07-May-2017,NK,B,-64.7393,-63.0459,-64.7393,-63.0459,8,,401677463,-135
166128,166128,Mk10,DS,8,0,1,56,30,02:12:46 07-May-2017,NN,0,-64.7361,-62.8847,-64.7361,-62.8847,48,,401677450,-129
166128,166128,Mk10,DS,8,0,1,52,30,02:11:59 07-May-2017,MA,1,-64.6764,-62.7204,-64.6764,-62.7204,46,,401677442,-116
166128,166128,Mk10,DS,1,0,0,,,03:06:41 07-May-2017,MB,B,-64.7191,-62.8853,-64.7191,-62.8853,6,,401677488,-129
166128,166128,Mk10,DS,3,0,0,34,30,03:45:10 07-May-2017,NP,A,-64.7269,-62.9615,-64.7269,-62.9615,8,,401677452,-129
166128,166128,Mk10,DS,5,0,1,53,30,03:55:10 07-May-2017,NN,0,-64.6960,-63.0479,-64.6960,-63.0479,56,,401677429,-133
166128,166128,Mk10,DS,3,0,0,92,64,03:54:41 07-May-2017,MA,A,-64.6619,-62.9541,-64.6619,-62.9541,6,,401677443,-121
166128,166128,Mk10,DS,3,0,0,38,30,05:08:37 07-May-2017,NK,A,-64.6345,-62.9696,-64.6345,-62.9696,8,,401677429,-129
166128,166128,Mk10,DS,7,0,1,40,30,05:20:34 07-May-2017,NP,1,-64.6621,-62.8020,-64.6621,-62.8020,46,,401677465,-121
166128,166128,Mk10,DS,5,0,2,43,30,05:32:08 07-May-2017,MA,0,-64.6802,-63.0072,-64.6802,-63.0072,46,,401677423,-130
166128,166128,Mk10,DS,1,0,0,,,05:33:43 07-May-2017,NN,B,-64.6620,-62.7777,-64.6620,-62.7777,6,,401677446,-137
166128,166128,Mk10,DS,2,0,0,82,82,06:45:42 07-May-2017,NK,B,-64.6854,-62.7238,-64.6854,-62.7238,6,,401677493,-133
166128,166128,Mk10,DS,8,0,1,31,29,07:02:40 07-May-2017,NP,2,-64.6725,-62.9157,-64.6725,-62.9157,58,,401677447,-125
166128,166128,Mk10,DS,3,0,0,37,30,08:22:38 07-May-2017,NK,A,-64.6737,-62.9208,-64.6737,-62.9208,8,,401677428,-129
166128,166128,Mk10,DS,8,0,0,48,30,08:50:23 07-May-2017,NN,0,-64.7399,-62.6989,-64.7399,-62.6989,48,,401677437,-127
166128,166128,Mk10,DS,2,0,0,79,79,08:48:13 07-May-2017,NP,B,-64.7507,-62.9070,-64.7507,-62.9070,8,,401677444,-136
