DeployID,Ptt,Instr,SW,PercentDecoded,Passes,PercentArgosLoc,MsgPerPass,DS,DI,MinPower,AvgPower,MaxPower,MinInterval,EarliestXmitTime,LatestXmitTime,XmitDays,EarliestDataTime,LatestDataTime,DataDays,ReleaseDate,ReleaseType,DeployDate
"131141",131141,SPOT,,96,839,99,5,4118,,,,,31,21:03:04 07-Jan-2015,06:20:54 04-Mar-2015,55,21:03:04 07-Jan-2015,19:20:36 31-Jan-2015,24,,,,
"131143",131143,SPOT,,89,2224,98,2,4661,,,,,43,19:43:34 08-Jan-2015,18:05:05 24-Mar-2015,75,19:43:34 08-Jan-2015,18:05:05 24-Mar-2015,75,,,,
"131144",131144,SPOT,,95,2585,98,4,10371,,,,,44,00:38:55 09-Jan-2015,22:20:27 13-Apr-2015,95,00:38:55 09-Jan-2015,22:20:27 13-Apr-2015,95,,,,
"131146",131146,SPOT,,96,1743,97,5,8466,,,,,45,11:52:01 30-Jan-2015,09:06:54 15-Mar-2015,44,11:52:01 30-Jan-2015,09:06:54 15-Mar-2015,44,,,,
"131147",131147,SPOT,,95,1778,98,4,6820,,,,,4,00:01:04 28-Jan-2015,16:34:42 11-Mar-2015,43,00:01:04 28-Jan-2015,16:34:42 11-Mar-2015,43,,,,
"131151",131151,SPOT,,95,2616,98,4,11614,,,,,30,14:31:55 08-Jan-2015,01:18:58 13-Mar-2015,63,14:31:55 08-Jan-2015,01:18:58 13-Mar-2015,63,,,,
"131153",131153,SPOT,,96,1372,97,5,6299,,,,,44,13:31:39 08-Jan-2015,06:31:16 12-Feb-2015,35,13:31:39 08-Jan-2015,06:31:16 12-Feb-2015,35,,,,
