"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",166124,13440,-64.72165,-62.23868,B,05/04/2017 19:52:38,Argos,0,0,NP,,401650000,05/04/2017 19:52:39,1,1,0,-139,401650000,-62.23868,-64.72165,-62.23868,-64.72165,6,3,0,0,0,89,5105,4,5,73,61,32,23,91,49,184,21,128,5,224,80,168,169,248,0,2,127,192,0,0,,,,,,,,,
"",166124,13440,-64.7218,-62.23726,2,05/04/2017 19:54:12,Argos,0,180,SR,,401677161.52,05/04/2017 19:52:39,1,4,0,-127,401677161.52,-62.23726,-64.7218,-62.23726,-64.7218,56,3,405,878,186,124,397,4,5,73,61,32,23,91,49,168,21,128,5,224,80,168,169,248,0,2,127,192,0,0,,,,,,,,,
"",166124,13440,-64.7218,-62.23726,2,05/04/2017 19:54:12,Argos,0,180,SR,,401677161.52,05/04/2017 19:53:41,1,4,0,-127,401677161.52,-62.23726,-64.7218,-62.23726,-64.7218,56,3,405,878,186,124,397,4,179,7,61,98,1,181,49,200,21,96,5,224,80,168,169,228,0,3,85,59,127,192,,,,,,,,,
"",166124,13440,-64.7218,-62.23726,2,05/04/2017 19:54:12,Argos,0,180,SR,,401677161.52,05/04/2017 19:54:51,1,4,0,-127,401677161.52,-62.23726,-64.7218,-62.23726,-64.7218,56,3,405,878,186,124,397,4,5,73,61,172,16,110,49,200,21,96,5,224,80,168,169,232,0,2,127,192,0,0,,,,,,,,,
"",166124,13440,-64.7218,-62.23726,2,05/04/2017 19:54:12,Argos,0,180,SR,,401677161.52,05/04/2017 19:55:39,1,4,0,-127,401677161.52,-62.23726,-64.7218,-62.23726,-64.7218,56,3,405,878,186,124,397,4,179,7,61,224,1,183,49,184,21,96,5,224,80,168,169,232,0,3,119,118,127,192,,,,,,,,,
"",166124,13440,-64.70526,-62.21697,0,05/04/2017 21:25:09,Argos,0,192,NP,,401677169.99,05/04/2017 21:23:41,1,5,0,-125,401677169.99,-62.21697,-64.70526,-62.21697,-64.70526,58,3,2199,34674,139,72,1263,4,4,73,85,226,34,144,49,200,101,96,37,224,208,169,169,176,0,2,127,192,0,0,,,,,,,,,
"",166124,13440,-64.70526,-62.21697,0,05/04/2017 21:25:09,Argos,0,192,NP,,401677169.99,05/04/2017 21:24:27,1,5,0,-125,401677169.99,-62.21697,-64.70526,-62.21697,-64.70526,58,3,2199,34674,139,72,1263,4,171,5,86,20,1,217,49,184,21,112,5,224,80,168,169,176,0,3,225,200,126,10,,,,,,,,,
"",166124,13440,-64.70526,-62.21697,0,05/04/2017 21:25:09,Argos,0,192,NP,,401677169.99,05/04/2017 21:24:57,1,5,0,-125,401677169.99,-62.21697,-64.70526,-62.21697,-64.70526,58,3,2199,34674,139,72,1263,4,5,73,86,50,99,34,49,200,21,112,5,224,80,168,169,176,0,82,127,194,128,0,,,,,,,,,
"",166124,13440,-64.70526,-62.21697,0,05/04/2017 21:25:09,Argos,0,192,NP,,401677169.99,05/04/2017 21:25:52,1,5,0,-125,401677169.99,-62.21697,-64.70526,-62.21697,-64.70526,58,3,2199,34674,139,72,1263,4,171,9,86,109,1,219,49,184,21,112,5,224,80,168,169,180,0,3,43,110,103,128,,,,,,,,,
"",166124,13440,-64.70526,-62.21697,0,05/04/2017 21:25:09,Argos,0,192,NP,,401677169.99,05/04/2017 21:26:53,1,5,0,-125,401677169.99,-62.21697,-64.70526,-62.21697,-64.70526,58,3,2199,34674,139,72,1263,4,5,73,86,174,107,74,49,184,21,144,5,224,80,168,169,168,0,2,127,192,0,0,,,,,,,,,
