DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
166124,166124,Mk10,DS,1,0,1,,,19:52:38 04-May-2017,NP,B,-64.7216,-62.2387,-64.7216,-62.2387,6,,401650000,-139
166124,166124,Mk10,DS,4,0,0,60,48,19:54:12 04-May-2017,SR,2,-64.7218,-62.2373,-64.7218,-62.2373,56,,401677161,-127
166124,166124,Mk10,DS,5,0,3,48,30,21:25:09 04-May-2017,NP,0,-64.7053,-62.2170,-64.7053,-62.2170,58,,401677169,-125
166124,166124,Mk10,DS,2,0,0,51,51,21:36:50 04-May-2017,SR,B,-64.7201,-62.2364,-64.7201,-62.2364,6,,401677159,-121
166124,166124,Mk10,DS,1,0,0,,,21:39:37 04-May-2017,NK,B,-64.7202,-62.2366,-64.7202,-62.2366,6,,401677156,-133
166124,166124,Mk10,DS,3,0,0,33,33,23:08:53 04-May-2017,NP,A,-64.7177,-62.3100,-64.7177,-62.3100,8,,401677144,-129
166124,166124,Mk10,DS,5,0,1,124,34,23:15:08 04-May-2017,NN,2,-64.7111,-62.2499,-64.7111,-62.2499,58,,401677148,-127
166124,166124,Mk10,DS,3,0,1,95,79,23:15:42 04-May-2017,SR,A,-64.7062,-62.2662,-64.7062,-62.2662,6,,401677145,-133
166124,166124,Mk10,DS,3,0,1,135,97,23:19:41 04-May-2017,NK,A,-64.7095,-62.2612,-64.7095,-62.2612,6,,401677145,-127
166124,166124,Mk10,DS,1,0,0,,,00:44:12 05-May-2017,NP,B,-64.6968,-62.2557,-64.6968,-62.2557,8,,401677131,-135
166124,166124,Mk10,DS,7,2,1,,,00:56:13 05-May-2017,NN,2,-64.7092,-62.2613,-64.7092,-62.2613,56,,401677127,-126
166124,166124,Mk10,DS,2,0,0,345,345,01:02:38 05-May-2017,NK,B,-64.7098,-62.2670,-64.7098,-62.2670,6,,401677122,-135
166124,166124,Mk10,DS,3,0,1,99,30,01:13:42 05-May-2017,MA,A,-64.7013,-62.2464,-64.7013,-62.2464,6,,401677128,-128
166124,166124,Mk10,DS,2,0,0,66,66,02:24:53 05-May-2017,NP,B,-64.7220,-62.1777,-64.7220,-62.1777,8,,401677133,-135
166124,166124,Mk10,DS,3,0,0,40,38,02:36:48 05-May-2017,NN,A,-64.7378,-62.2302,-64.7378,-62.2302,6,,401677130,-128
166124,166124,Mk10,DS,1,0,1,,,02:40:27 05-May-2017,NK,B,-64.7386,-62.2296,-64.7386,-62.2296,6,,401677132,-132
166124,166124,Mk10,DS,1,0,0,,,02:57:02 05-May-2017,MA,B,-64.7381,-62.2316,-64.7381,-62.2316,6,,401677133,-122
166124,166124,Mk10,DS,3,0,0,46,46,04:05:12 05-May-2017,NP,A,-64.7140,-62.2374,-64.7140,-62.2374,8,,401677120,-129
166124,166124,Mk10,DS,1,0,0,,,04:32:00 05-May-2017,MA,B,-64.7121,-62.2394,-64.7121,-62.2394,6,,401677131,-122
166124,166124,Mk10,DS,6,2,0,,,05:46:43 05-May-2017,NP,1,-64.7147,-62.2087,-64.7147,-62.2087,58,,401677121,-124
166124,166124,Mk10,DS,2,0,1,32,32,06:08:29 05-May-2017,MA,B,-64.7130,-62.2197,-64.7130,-62.2197,6,,401677124,-134
166124,166124,Mk10,DS,1,0,1,,,07:01:47 05-May-2017,MB,B,-64.7104,-62.2048,-64.7104,-62.2048,8,,401677123,-135
166124,166124,Mk10,DS,3,0,1,211,77,07:24:43 05-May-2017,NP,A,-64.6928,-62.2031,-64.6928,-62.2031,6,,401677123,-130
166124,166124,Mk10,DS,1,0,0,,,07:37:13 05-May-2017,NN,B,-64.6927,-62.2034,-64.6927,-62.2034,6,,401677123,-135
166124,166124,Mk10,DS,2,0,0,49,49,07:37:38 05-May-2017,NK,B,-64.6982,-62.2135,-64.6982,-62.2135,6,,401677119,-133
166124,166124,Mk10,DS,1,0,1,,,07:48:47 05-May-2017,MA,B,-64.6917,-62.1969,-64.6917,-62.1969,6,,401677120,-133
166124,166124,Mk10,DS,2,0,1,166,166,09:08:52 05-May-2017,NK,B,-64.6821,-62.1701,-64.6821,-62.1701,8,,401677126,-137
166124,166124,Mk10,DS,2,0,0,166,166,09:10:15 05-May-2017,NN,B,-64.6973,-62.1958,-64.6973,-62.1958,6,,401677126,-135
166124,166124,Mk10,DS,3,0,2,68,47,09:29:44 05-May-2017,MA,A,-64.6930,-62.2030,-64.6930,-62.2030,6,,401677126,-132
166124,166124,Mk10,DS,3,0,0,68,47,09:30:45 05-May-2017,SR,A,-64.6986,-62.1487,-64.6986,-62.1487,6,,401677113,-136
166124,166124,Mk10,DS,1,0,0,,,10:58:03 05-May-2017,NN,B,-64.6987,-62.1264,-64.6987,-62.1264,8,,401677127,-128
166124,166124,Mk10,DS,1,0,0,,,10:58:03 05-May-2017,NK,B,-64.7003,-62.1372,-64.7003,-62.1372,,,401677126,-130
166124,166124,Mk10,DS,2,0,1,519,519,11:06:52 05-May-2017,MA,B,-64.6986,-62.2469,-64.6986,-62.2469,6,,401677129,-133
166124,166124,Mk10,DS,4,0,0,100,45,11:14:23 05-May-2017,SR,1,-64.7014,-62.2278,-64.7014,-62.2278,46,,401677128,-126
166124,166124,Mk10,DS,1,0,1,,,12:00:46 05-May-2017,MB,B,-64.7038,-62.2188,-64.7038,-62.2188,8,,401677137,-132
166124,166124,Mk10,DS,1,0,1,,,12:44:16 05-May-2017,MA,B,-64.7042,-62.2143,-64.7042,-62.2143,8,,401677133,-130
166124,166124,Mk10,DS,3,0,1,100,33,12:54:44 05-May-2017,SR,A,-64.7189,-62.2287,-64.7189,-62.2287,8,,401677135,-132
166124,166124,Mk10,DS,1,0,0,,,14:26:40 05-May-2017,MA,B,-64.7210,-62.2082,-64.7210,-62.2082,8,,401677126,-132
166124,166124,Mk10,DS,1,0,1,,,16:07:11 05-May-2017,SR,B,-64.7167,-62.2270,-64.7167,-62.2270,8,,401677133,-137
166124,166124,Mk10,DS,1,0,1,,,17:46:45 05-May-2017,SR,B,-64.7244,-62.2038,-64.7244,-62.2038,8,,401677132,-137
166124,166124,Mk10,DS,6,0,2,95,31,19:24:06 05-May-2017,SR,2,-64.7055,-62.2417,-64.7055,-62.2417,48,,401677130,-131
166124,166124,Mk10,DS,1,0,0,,,19:39:12 05-May-2017,NP,B,-64.7199,-62.1849,-64.7199,-62.1849,8,,401677143,-128
166124,166124,Mk10,DS,5,0,1,43,30,21:03:12 05-May-2017,SR,1,-64.6968,-62.2728,-64.6968,-62.2728,58,,401677137,-119
166124,166124,Mk10,DS,2,0,0,77,77,21:17:34 05-May-2017,NP,B,-64.7072,-62.2465,-64.7072,-62.2465,6,,401677133,-122
166124,166124,Mk10,DS,2,0,1,39,39,22:55:55 05-May-2017,NK,B,-64.7108,-62.2477,-64.7108,-62.2477,8,,401677140,-127
166124,166124,Mk10,DS,2,0,1,39,39,22:55:55 05-May-2017,NP,B,-64.7036,-62.2039,-64.7036,-62.2039,,,401677138,-133
166124,166124,Mk10,DS,3,0,1,129,117,00:35:05 06-May-2017,NP,A,-64.7050,-62.2140,-64.7050,-62.2140,8,,401677130,-133
166124,166124,Mk10,DS,6,0,2,97,42,00:36:25 06-May-2017,NK,2,-64.7017,-62.2086,-64.7017,-62.2086,46,,401677131,-123
166124,166124,Mk10,DS,3,0,0,45,40,00:41:51 06-May-2017,NN,A,-64.7069,-62.2086,-64.7069,-62.2086,6,,401677134,-121
166124,166124,Mk10,DS,3,0,1,45,43,00:49:20 06-May-2017,MA,A,-64.7073,-62.2091,-64.7073,-62.2091,6,,401677132,-131
166124,166124,Mk10,DS,1,0,0,,,02:15:20 06-May-2017,NK,B,-64.7064,-62.2197,-64.7064,-62.2197,8,,401677134,-137
166124,166124,Mk10,DS,3,0,0,178,75,02:25:20 06-May-2017,NN,A,-64.7312,-62.2128,-64.7312,-62.2128,8,,401677140,-129
166124,166124,Mk10,DS,4,0,1,105,35,02:28:52 06-May-2017,MA,2,-64.7143,-62.2247,-64.7143,-62.2247,56,,401677135,-121
166124,166124,Mk10,DS,3,0,1,124,43,03:25:33 06-May-2017,MB,A,-64.7128,-62.2345,-64.7128,-62.2345,8,,401677124,-125
166124,166124,Mk10,DS,4,0,0,44,32,03:53:32 06-May-2017,NP,1,-64.7372,-62.1810,-64.7372,-62.1810,58,,401677126,-127
166124,166124,Mk10,DS,1,0,0,,,03:54:43 06-May-2017,NK,B,-64.7355,-62.1814,-64.7355,-62.1814,6,,401677136,-129
166124,166124,Mk10,DS,2,0,1,347,347,04:10:57 06-May-2017,MA,B,-64.7068,-62.1727,-64.7068,-62.1727,6,,401677133,-124
166124,166124,Mk10,DS,8,0,2,105,35,05:33:50 06-May-2017,NP,3,-64.7068,-62.2035,-64.7068,-62.2035,58,,401677129,-121
166124,166124,Mk10,DS,4,0,2,67,35,05:33:04 06-May-2017,NK,0,-64.7078,-62.2191,-64.7078,-62.2191,58,,401677129,-131
166124,166124,Mk10,DS,1,0,0,,,05:39:43 06-May-2017,NN,B,-64.7070,-62.2048,-64.7070,-62.2048,6,,401677131,-133
166124,166124,Mk10,DS,2,0,2,108,108,05:51:02 06-May-2017,MA,B,-64.7068,-62.2067,-64.7068,-62.2067,6,,401677133,-130
166124,166124,Mk10,DS,3,0,0,61,30,07:07:48 06-May-2017,NK,A,-64.7047,-62.1231,-64.7047,-62.1231,8,,401677136,-127
166124,166124,Mk10,DS,1,0,0,,,07:18:30 06-May-2017,NP,B,-64.7087,-62.2237,-64.7087,-62.2237,8,,401677130,-140
166124,166124,Mk10,DS,2,0,0,41,41,07:30:34 06-May-2017,MA,B,-64.7095,-62.2193,-64.7095,-62.2193,6,,401677128,-132
166124,166124,Mk10,DS,3,0,1,140,48,08:51:47 06-May-2017,NK,A,-64.6957,-62.2104,-64.6957,-62.2104,8,,401677124,-130
166124,166124,Mk10,DS,2,0,2,177,177,09:06:18 06-May-2017,NN,B,-64.6935,-62.2881,-64.6935,-62.2881,6,,401677126,-135
166124,166124,Mk10,DS,4,0,1,75,48,09:06:46 06-May-2017,MA,0,-64.7189,-62.2524,-64.7189,-62.2524,46,,401677120,-131
166124,166124,Mk10,DS,4,0,0,112,48,10:30:14 06-May-2017,NK,1,-64.6914,-62.2565,-64.6914,-62.2565,48,,401677115,-130
166124,166124,Mk10,DS,4,0,0,44,30,10:43:51 06-May-2017,NN,2,-64.7081,-62.2141,-64.7081,-62.2141,58,,401677114,-122
166124,166124,Mk10,DS,4,0,0,44,30,10:43:51 06-May-2017,SR,2,-64.6987,-62.2467,-64.6987,-62.2467,50,,401677122,-126
166124,166124,Mk10,DS,2,0,0,218,218,10:43:26 06-May-2017,MA,B,-64.6926,-62.2663,-64.6926,-62.2663,6,,401677124,-132
166124,166124,Mk10,DS,5,0,2,54,30,11:43:33 06-May-2017,MB,1,-64.7003,-62.2483,-64.7003,-62.2483,58,,401677116,-129
166124,166124,Mk10,DS,1,0,0,,,12:11:12 06-May-2017,NK,B,-64.7019,-62.2473,-64.7019,-62.2473,6,,401677127,-133
166124,166124,Mk10,DS,2,0,0,367,367,12:20:30 06-May-2017,SR,B,-64.7276,-62.2636,-64.7276,-62.2636,8,,401677120,-131
166124,166124,Mk10,DS,1,0,1,,,12:23:34 06-May-2017,NN,B,-64.7274,-62.2644,-64.7274,-62.2644,6,,401677129,-140
166124,166124,Mk10,DS,2,0,1,216,216,12:26:47 06-May-2017,MA,B,-64.7458,-62.2138,-64.7458,-62.2138,6,,401677111,-121
166124,166124,Mk10,DS,1,0,1,,,17:15:26 06-May-2017,SR,B,-64.7575,-62.2644,-64.7575,-62.2644,8,,401677121,-137
166124,166124,Mk10,DS,3,0,1,62,39,18:51:42 06-May-2017,SR,A,-64.7230,-62.2600,-64.7230,-62.2600,8,,401677136,-131
166124,166124,Mk10,DS,4,0,1,95,45,19:27:02 06-May-2017,NP,1,-64.7207,-62.2047,-64.7207,-62.2047,58,,401677133,-129
166124,166124,Mk10,DS,4,0,0,134,30,20:32:50 06-May-2017,SR,1,-64.7145,-62.3203,-64.7145,-62.3203,58,,401677129,-124
166124,166124,Mk10,DS,1,0,0,,,20:59:35 06-May-2017,NP,B,-64.7123,-62.3262,-64.7123,-62.3262,6,,401677130,-137
166124,166124,Mk10,DS,3,0,0,156,44,22:10:41 06-May-2017,SR,A,-64.7306,-62.2572,-64.7306,-62.2572,8,,401677125,-128
166124,166124,Mk10,DS,1,0,0,,,22:41:40 06-May-2017,NP,B,-64.7310,-62.2542,-64.7310,-62.2542,8,,401677128,-133
166124,166124,Mk10,DS,1,0,0,,,00:09:06 07-May-2017,NK,B,-64.7312,-62.2474,-64.7312,-62.2474,8,,401677135,-135
166124,166124,Mk10,DS,1,0,0,,,00:22:30 07-May-2017,NP,B,-64.7312,-62.2618,-64.7312,-62.2618,8,,401677134,-138
166124,166124,Mk10,DS,1,0,0,,,00:29:19 07-May-2017,MA,B,-64.7304,-62.2522,-64.7304,-62.2522,6,,401677138,-126
166124,166124,Mk10,DS,1,0,1,,,01:46:39 07-May-2017,NK,B,-64.7307,-62.2438,-64.7307,-62.2438,8,,401677135,-137
166124,166124,Mk10,DS,2,0,0,37,37,02:06:18 07-May-2017,NP,B,-64.7320,-62.2679,-64.7320,-62.2679,8,,401677131,-130
166124,166124,Mk10,DS,1,0,0,,,02:06:36 07-May-2017,MA,B,-64.7345,-62.2634,-64.7345,-62.2634,6,,401677136,-130
166124,166124,Mk10,DS,1,0,0,,,03:39:29 07-May-2017,NP,B,-64.7268,-62.2605,-64.7268,-62.2605,8,,401677127,-136
166124,166124,Mk10,DS,2,0,1,69,69,03:51:16 07-May-2017,MA,B,-64.7235,-62.2690,-64.7235,-62.2690,6,,401677131,-120
166124,166124,Mk10,DS,1,0,0,,,03:51:51 07-May-2017,NN,B,-64.7243,-62.2642,-64.7243,-62.2642,6,,401677129,-140
166124,166124,Mk10,DS,3,0,0,94,88,05:23:44 07-May-2017,NP,A,-64.7149,-62.2567,-64.7149,-62.2567,8,,401677126,-127
166124,166124,Mk10,DS,1,0,1,,,05:34:45 07-May-2017,NN,B,-64.7145,-62.2566,-64.7145,-62.2566,6,,401677132,-140
166124,166124,Mk10,DS,4,0,1,126,46,06:45:48 07-May-2017,NK,3,-64.7046,-62.2345,-64.7046,-62.2345,68,,401677124,-135
166124,166124,Mk10,DS,1,0,1,,,06:58:25 07-May-2017,NP,B,-64.7113,-62.2520,-64.7113,-62.2520,8,,401677128,-138
166124,166124,Mk10,DS,4,0,2,189,42,08:27:33 07-May-2017,NK,0,-64.7555,-62.1998,-64.7555,-62.1998,58,,401677124,-132
166124,166124,Mk10,DS,3,0,1,36,30,08:30:24 07-May-2017,SR,A,-64.7149,-62.1572,-64.7149,-62.1572,8,,401677124,-131
166124,166124,Mk10,DS,1,0,0,,,08:43:12 07-May-2017,NP,B,-64.7140,-62.1570,-64.7140,-62.1570,6,,401677122,-137
166124,166124,Mk10,DS,1,0,0,,,08:51:32 07-May-2017,NN,B,-64.7152,-62.1607,-64.7152,-62.1607,6,,401677131,-128
166124,166124,Mk10,DS,1,0,0,,,10:01:26 07-May-2017,NK,B,-64.7199,-62.1336,-64.7199,-62.1336,8,,401677139,-133
166124,166124,Mk10,DS,3,0,1,44,41,10:11:44 07-May-2017,SR,A,-64.7267,-62.1765,-64.7267,-62.1765,8,,401677143,-129
166124,166124,Mk10,DS,6,0,2,58,30,10:25:37 07-May-2017,MA,2,-64.7148,-62.2166,-64.7148,-62.2166,56,,401677127,-126
166124,166124,Mk10,DS,6,0,2,103,30,10:30:51 07-May-2017,NN,2,-64.7147,-62.2392,-64.7147,-62.2392,56,,401677123,-124
166124,166124,Mk10,DS,2,0,0,44,44,11:50:05 07-May-2017,SR,B,-64.7396,-62.2604,-64.7396,-62.2604,7,,401677150,-122
166124,166124,Mk10,DS,1,0,0,,,12:09:53 07-May-2017,MA,B,-64.7412,-62.2608,-64.7412,-62.2608,6,,401677137,-128
166124,166124,Mk10,DS,2,0,1,72,72,12:11:05 07-May-2017,NN,B,-64.7147,-62.3764,-64.7147,-62.3764,6,,401677133,-135
166124,166124,Mk10,DS,3,0,2,168,117,12:57:57 07-May-2017,MB,A,-64.7201,-62.2389,-64.7201,-62.2389,8,,401677133,-129
166124,166124,Mk10,DS,1,0,1,,,13:24:41 07-May-2017,SR,B,-64.7228,-62.2133,-64.7228,-62.2133,6,,401677131,-139
166124,166124,Mk10,DS,2,0,1,311,311,13:43:06 07-May-2017,MA,B,-64.7201,-62.2322,-64.7201,-62.2322,6,,401677134,-133
166124,166124,Mk10,DS,3,0,0,169,57,19:11:01 07-May-2017,NP,A,-64.7193,-62.2444,-64.7193,-62.2444,8,,401677134,-129
166124,166124,Mk10,DS,3,0,0,227,89,20:02:23 07-May-2017,SR,A,-64.7355,-62.1371,-64.7355,-62.1371,8,,401677133,-121
166124,166124,Mk10,DS,4,0,0,134,43,21:41:08 07-May-2017,SR,2,-64.7257,-62.2418,-64.7257,-62.2418,58,,401677135,-124
166124,166124,Mk10,DS,4,0,1,140,30,22:33:33 07-May-2017,NP,2,-64.7283,-62.2586,-64.7283,-62.2586,58,,401677134,-131
