DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
166122,166122,,Mk10,03:00:00 05-May-2017,,,,0.0,-1.0,Status
166122,166122,,Mk10,04:00:00 05-May-2017,,,,0.0,-0.9,Status
166122,166122,,Mk10,06:00:00 05-May-2017,,,,0.0,-1.3,Status
166122,166122,,Mk10,10:00:00 07-May-2017,,,,0.0,-1.4,Status
166122,166122,,Mk10,12:00:00 07-May-2017,,,,0.0,0.4,Status
166122,166122,,Mk10,10:00:00 08-May-2017,,,,0.0,-1.5,Status
166122,166122,,Mk10,06:00:00 10-May-2017,,,,0.0,-1.2,Status
166122,166122,,Mk10,05:00:00 11-May-2017,,,,0.0,-0.9,Status
166122,166122,,Mk10,06:00:00 11-May-2017,,,,0.0,-1.1,Status
166122,166122,,Mk10,06:00:00 13-May-2017,,,,0.0,-1.5,Status
166122,166122,,Mk10,08:00:00 13-May-2017,,,,0.0,-1.4,Status
166122,166122,,Mk10,11:00:00 14-May-2017,,,,0.0,-0.9,Status
