DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
166122,166122,Mk10,02:38:59 05-May-2017,Argos,1,-64.6596,-62.0993,697,6144,79,76,,,,,,
166122,166122,Mk10,04:02:55 05-May-2017,Argos,1,-64.6395,-62.1216,817,1519,439,133,,,,,,
166122,166122,Mk10,04:19:18 05-May-2017,Argos,B,-64.6394,-62.1227,3204,7090,1448,90,,,,,,
166122,166122,Mk10,04:34:03 05-May-2017,Argos,1,-64.6455,-62.1554,1005,1438,701,171,,,,,,
166122,166122,Mk10,05:46:41 05-May-2017,Argos,0,-64.6414,-62.1891,2479,44821,137,99,,,,,,
166122,166122,Mk10,05:55:36 05-May-2017,Argos,A,-64.6492,-62.2099,2191,8040,596,99,,,,,,
166122,166122,Mk10,05:57:07 05-May-2017,Argos,2,-64.6410,-62.1883,478,3430,66,101,,,,,,
166122,166122,Mk10,06:10:12 05-May-2017,Argos,1,-64.6235,-62.2174,1022,5352,195,84,,,,,,
166122,166122,Mk10,00:36:36 06-May-2017,Argos,0,-64.8167,-62.2039,4305,22732,815,118,,,,,,
166122,166122,Mk10,00:36:36 06-May-2017,Argos,1,-64.7578,-62.2565,1158,3425,391,102,,,,,,
166122,166122,Mk10,00:39:32 06-May-2017,Argos,B,-64.8119,-62.2122,3150,11774,842,117,,,,,,
166122,166122,Mk10,00:51:25 06-May-2017,Argos,1,-64.7453,-62.1860,962,1380,669,42,,,,,,
166122,166122,Mk10,01:43:06 06-May-2017,Argos,B,-64.7350,-62.2006,2282,55114,94,82,,,,,,
166122,166122,Mk10,02:16:28 06-May-2017,Argos,A,-64.7415,-62.2596,815,2218,299,119,,,,,,
166122,166122,Mk10,02:16:48 06-May-2017,Argos,B,-64.7464,-62.2640,1413,3510,568,105,,,,,,
166122,166122,Mk10,02:30:48 06-May-2017,Argos,B,-64.7442,-62.2633,1422,3429,589,99,,,,,,
166122,166122,Mk10,03:26:59 06-May-2017,Argos,B,-64.7523,-62.3022,2418,6680,875,86,,,,,,
166122,166122,Mk10,03:54:03 06-May-2017,Argos,B,-64.7611,-62.2454,1107,27486,44,77,,,,,,
166122,166122,Mk10,03:56:27 06-May-2017,Argos,B,-64.7624,-62.2478,1131,12595,101,77,,,,,,
166122,166122,Mk10,04:06:38 06-May-2017,Argos,B,-64.7702,-62.2814,575,1340,246,75,,,,,,
166122,166122,Mk10,04:11:08 06-May-2017,Argos,B,-64.7696,-62.2782,647,1484,281,77,,,,,,
166122,166122,Mk10,05:31:21 06-May-2017,Argos,1,-64.7093,-62.2911,892,15952,49,103,,,,,,
166122,166122,Mk10,05:31:50 06-May-2017,Argos,2,-64.7277,-62.2245,497,1529,161,90,,,,,,
166122,166122,Mk10,05:41:44 06-May-2017,Argos,A,-64.7256,-62.2326,1181,3320,420,76,,,,,,
166122,166122,Mk10,05:50:19 06-May-2017,Argos,2,-64.7318,-62.2750,326,1480,71,95,,,,,,
166122,166122,Mk10,07:10:52 06-May-2017,Argos,3,-64.7018,-62.2546,229,1029,50,84,,,,,,
166122,166122,Mk10,07:10:57 06-May-2017,Argos,1,-64.6859,-62.3201,809,2672,244,88,,,,,,
166122,166122,Mk10,07:20:34 06-May-2017,Argos,1,-64.6911,-62.2292,520,761,355,85,,,,,,
166122,166122,Mk10,07:29:50 06-May-2017,Argos,1,-64.6870,-62.2936,1098,4501,267,109,,,,,,
166122,166122,Mk10,08:46:18 06-May-2017,Argos,0,-64.6312,-62.6409,2924,6430,1329,103,,,,,,Lon > 4 deviations from mean
166122,166122,Mk10,09:00:21 06-May-2017,Argos,1,-64.6891,-62.2590,1225,6584,228,110,,,,,,
166122,166122,Mk10,09:03:44 06-May-2017,Argos,A,-64.6898,-62.2572,1049,4389,250,102,,,,,,
166122,166122,Mk10,09:06:39 06-May-2017,Argos,B,-64.6877,-62.2647,321,570,181,92,,,,,,
166122,166122,Mk10,10:28:08 06-May-2017,Argos,B,-64.6878,-62.2777,1010,20031,50,87,,,,,,
166122,166122,Mk10,10:41:45 06-May-2017,Argos,A,-64.6880,-62.2853,153,637,36,87,,,,,,
166122,166122,Mk10,10:42:08 06-May-2017,Argos,B,-64.6880,-62.2859,176,593,52,88,,,,,,
166122,166122,Mk10,10:43:28 06-May-2017,Argos,3,-64.6882,-62.2797,226,378,135,93,,,,,,
166122,166122,Mk10,11:38:41 06-May-2017,Argos,B,-64.6826,-62.2911,1560,3835,634,90,,,,,,
166122,166122,Mk10,12:24:01 06-May-2017,Argos,B,-64.6839,-62.2928,1799,4253,760,92,,,,,,
166122,166122,Mk10,12:26:44 06-May-2017,Argos,B,-64.6353,-62.4686,1589,3545,712,91,,,,,,
166122,166122,Mk10,00:08:49 07-May-2017,Argos,0,-64.6713,-62.0745,4815,102342,226,65,,,,,,
166122,166122,Mk10,00:23:51 07-May-2017,Argos,2,-64.7464,-62.2466,463,2235,95,90,,,,,,
166122,166122,Mk10,00:37:14 07-May-2017,Argos,B,-64.3895,-62.7885,3808,9514,1524,88,,,,,,Lat > 4 deviations from mean
166122,166122,Mk10,01:48:35 07-May-2017,Argos,0,-64.7025,-62.1676,5764,69758,476,64,,,,,,
166122,166122,Mk10,02:03:33 07-May-2017,Argos,0,-64.7401,-62.2109,2425,14596,402,91,,,,,,
166122,166122,Mk10,02:16:06 07-May-2017,Argos,0,-64.7065,-62.2994,4797,15942,1443,78,,,,,,
166122,166122,Mk10,02:16:24 07-May-2017,Argos,A,-64.7020,-62.3069,2429,10185,579,75,,,,,,
166122,166122,Mk10,03:06:53 07-May-2017,Argos,0,-64.6691,-62.1888,2770,106445,72,76,,,,,,
166122,166122,Mk10,03:44:37 07-May-2017,Argos,B,-64.7147,-62.2488,1099,10601,113,108,,,,,,
166122,166122,Mk10,03:52:54 07-May-2017,Argos,1,-64.6837,-62.3052,1032,3303,322,60,,,,,,
166122,166122,Mk10,03:52:54 07-May-2017,Argos,B,-64.7318,-62.2200,2662,14834,477,107,,,,,,
166122,166122,Mk10,05:08:25 07-May-2017,Argos,B,-64.7220,-62.2315,2694,12330,588,95,,,,,,
166122,166122,Mk10,05:23:07 07-May-2017,Argos,1,-64.6888,-62.2728,1168,3589,380,117,,,,,,
166122,166122,Mk10,05:34:24 07-May-2017,Argos,B,-64.6747,-62.3142,2718,6144,1202,78,,,,,,
166122,166122,Mk10,06:46:05 07-May-2017,Argos,0,-64.6576,-62.2292,2108,17330,256,75,,,,,,
166122,166122,Mk10,07:02:00 07-May-2017,Argos,1,-64.6672,-62.2708,709,7455,67,85,,,,,,
166122,166122,Mk10,07:11:44 07-May-2017,Argos,1,-64.7022,-62.2757,898,5991,134,97,,,,,,
166122,166122,Mk10,07:13:12 07-May-2017,Argos,B,-64.6679,-62.2805,1037,2440,440,86,,,,,,
166122,166122,Mk10,08:23:10 07-May-2017,Argos,1,-64.6721,-62.2416,797,7551,84,106,,,,,,
166122,166122,Mk10,08:44:45 07-May-2017,Argos,0,-64.7382,-62.2546,2517,5820,1088,30,,,,,,
166122,166122,Mk10,08:46:09 07-May-2017,Argos,A,-64.7624,-62.2747,974,1353,701,129,,,,,,
166122,166122,Mk10,08:49:27 07-May-2017,Argos,0,-64.6874,-62.2490,2007,5849,688,72,,,,,,
166122,166122,Mk10,10:05:25 07-May-2017,Argos,3,-64.6802,-62.3016,191,308,118,95,,,,,,
166122,166122,Mk10,10:10:51 07-May-2017,Argos,1,-64.6686,-62.2970,1294,1911,876,174,,,,,,
166122,166122,Mk10,10:25:29 07-May-2017,Argos,B,-64.6688,-62.2234,1513,2935,779,162,,,,,,
166122,166122,Mk10,10:36:37 07-May-2017,Argos,0,-64.6935,-62.2294,3863,8450,1766,42,,,,,,
166122,166122,Mk10,11:20:11 07-May-2017,Argos,B,-64.6944,-62.2314,4242,9898,1818,48,,,,,,
166122,166122,Mk10,11:48:45 07-May-2017,Argos,1,-64.6860,-62.2637,650,5217,81,79,,,,,,
166122,166122,Mk10,11:49:27 07-May-2017,Argos,B,-64.6860,-62.2639,861,2898,255,82,,,,,,
166122,166122,Mk10,12:07:09 07-May-2017,Argos,1,-64.6818,-62.2410,595,6471,54,100,,,,,,
166122,166122,Mk10,13:30:18 07-May-2017,Argos,B,-64.6900,-62.2503,2520,10152,625,161,,,,,,
166122,166122,Mk10,13:44:32 07-May-2017,Argos,2,-64.6768,-62.2487,319,630,161,80,,,,,,
166122,166122,Mk10,00:13:18 08-May-2017,Argos,B,-64.5994,-62.2258,4810,45125,512,96,,,,,,
166122,166122,Mk10,00:15:38 08-May-2017,Argos,0,-64.6606,-62.3812,1538,5201,454,13,,,,,,
166122,166122,Mk10,00:18:46 08-May-2017,Argos,0,-64.6732,-62.3710,3261,98802,107,79,,,,,,
166122,166122,Mk10,01:27:48 08-May-2017,Argos,1,-64.7104,-62.3644,1142,2193,594,84,,,,,,
166122,166122,Mk10,01:47:27 08-May-2017,Argos,1,-64.6872,-62.3832,1454,22370,94,90,,,,,,
166122,166122,Mk10,01:54:22 08-May-2017,Argos,1,-64.6583,-62.4023,952,9445,95,89,,,,,,
166122,166122,Mk10,01:58:41 08-May-2017,Argos,1,-64.6937,-62.2098,622,779,495,102,,,,,,
166122,166122,Mk10,02:44:37 08-May-2017,Argos,1,-64.6616,-62.2673,1049,18173,60,83,,,,,,
166122,166122,Mk10,03:04:41 08-May-2017,Argos,1,-64.7130,-62.3044,854,5812,125,90,,,,,,
166122,166122,Mk10,03:27:19 08-May-2017,Argos,0,-64.6786,-62.1974,2166,12183,385,65,,,,,,
166122,166122,Mk10,03:27:39 08-May-2017,Argos,A,-64.6420,-62.2377,1805,6633,491,111,,,,,,
166122,166122,Mk10,03:40:25 08-May-2017,Argos,B,-64.6972,-62.1821,1432,9731,210,90,,,,,,
166122,166122,Mk10,05:08:31 08-May-2017,Argos,0,-64.6331,-62.3465,1649,32186,84,104,,,,,,
166122,166122,Mk10,05:08:52 08-May-2017,Argos,B,-64.6723,-62.2019,548,2277,132,96,,,,,,
166122,166122,Mk10,05:19:11 08-May-2017,Argos,0,-64.6898,-62.2420,2759,12310,618,77,,,,,,
166122,166122,Mk10,06:20:58 08-May-2017,Argos,2,-64.6900,-62.2347,488,2248,105,67,,,,,,
166122,166122,Mk10,06:51:54 08-May-2017,Argos,B,-64.6820,-62.2984,9176,22021,3823,87,,,,,,
166122,166122,Mk10,06:53:55 08-May-2017,Argos,1,-64.6868,-62.2588,892,17576,45,95,,,,,,
166122,166122,Mk10,07:03:19 08-May-2017,Argos,1,-64.6842,-62.3717,1437,2589,797,111,,,,,,
166122,166122,Mk10,07:58:32 08-May-2017,Argos,A,-64.6872,-62.1939,1946,3338,1134,67,,,,,,
166122,166122,Mk10,07:59:18 08-May-2017,Argos,3,-64.6699,-62.2399,240,424,135,120,,,,,,
166122,166122,Mk10,08:30:22 08-May-2017,Argos,A,-64.6198,-62.2334,2177,18735,253,80,,,,,,
166122,166122,Mk10,08:31:08 08-May-2017,Argos,B,-64.6201,-62.2336,2485,19317,319,80,,,,,,
166122,166122,Mk10,08:38:44 08-May-2017,Argos,1,-64.6802,-62.2514,625,1237,315,68,,,,,,
166122,166122,Mk10,09:41:36 08-May-2017,Argos,3,-64.6315,-62.3120,248,511,119,67,,,,,,
166122,166122,Mk10,09:41:36 08-May-2017,Argos,0,-64.6806,-62.3275,1866,5966,583,80,,,,,,
166122,166122,Mk10,10:05:04 08-May-2017,Argos,1,-64.6701,-62.2393,1303,2002,847,15,,,,,,
166122,166122,Mk10,10:15:18 08-May-2017,Argos,B,-64.6129,-62.3202,1228,3119,483,96,,,,,,
166122,166122,Mk10,11:20:31 08-May-2017,Argos,0,-64.6680,-62.3260,2083,3234,1341,165,,,,,,
