Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
13440,166122,23,SR, ,3,04-May-2017,15:00:48,,,,401650000,-138,,0,04-May-2017,15:00:48,,,,,,,,,,6,5,72,240,40,124,137,48,232,85,208,11,64,81,73,73,204,0,2,127,192,0,0,,,,,,,,,
13440,166122,11,SR, ,4,04-May-2017,18:20:18,,,,401650000,-131,,0,04-May-2017,18:15:48,,,270,,,,,,,42,85,133,72,211,0,111,131,24,192,0,,,,,,,,,,,,,,,,,,,,,
13440,166122,15,SR, ,4,04-May-2017,18:20:18,,,,401650000,-131,,0,04-May-2017,18:20:18,,,270,,,,,,,31,182,37,72,215,0,0,0,234,31,21,130,0,0,0,,,,,,,,,,,,,,,,,
13440,166122,15,SR, ,5,04-May-2017,19:57:48,,,,401650000,-129,,0,04-May-2017,19:53:18,,,270,,,,,,,31,182,37,72,215,0,0,0,234,31,21,130,0,0,0,,,,,,,,,,,,,,,,,
13440,166122,11,SR, ,5,04-May-2017,19:57:48,,,,401650000,-129,,0,04-May-2017,19:57:48,,,270,,,,,,,42,85,133,72,211,0,111,131,24,192,0,,,,,,,,,,,,,,,,,,,,,
13440,166122,11,NP, ,6,04-May-2017,21:27:48,,,,401650000,-130,,0,04-May-2017,21:27:48,,,,,,,,,,42,85,133,72,211,0,111,131,24,192,0,,,,,,,,,,,,,,,,,,,,,
13440,166122,3,SR, ,7,04-May-2017,21:35:18,,,,401650000,-127,,0,04-May-2017,21:27:48,,,450,,,,,,,42,115,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13440,166122,15,SR, ,7,04-May-2017,21:35:18,,,,401650000,-127,,0,04-May-2017,21:35:18,,,450,,,,,,,31,182,37,72,215,0,0,0,234,31,21,130,0,0,0,,,,,,,,,,,,,,,,,
13440,166122,15,SR, ,8,04-May-2017,23:14:18,,,,401650000,-133,,0,04-May-2017,23:14:18,,,,,,,,,,31,182,37,72,215,0,0,0,234,31,21,130,0,0,0,,,,,,,,,,,,,,,,,
13440,166122,15,NK, ,9,04-May-2017,23:24:48,,,,401650000,-137,,0,04-May-2017,23:24:48,,,,,,,,,,31,182,37,72,215,0,32,0,234,31,21,130,0,0,0,,,,,,,,,,,,,,,,,
13440,166122,15,NP, ,10,05-May-2017,00:47:48,,,,401650000,-138,,0,05-May-2017,00:47:48,,,30,,,,,,,31,182,37,72,215,0,0,0,234,31,21,130,0,0,0,,,,,,,,,,,,,,,,,
13440,166122,11,NP, ,10,05-May-2017,00:47:48,,,,401650000,-138,,0,05-May-2017,00:48:18,,,30,,,,,,,43,221,37,73,35,0,125,137,24,192,0,,,,,,,,,,,,,,,,,,,,,
13440,166122,15,NN, ,11,05-May-2017,00:51:18,,,,401650000,-135,,0,05-May-2017,00:51:18,,,,,,,,,,22,26,37,73,41,0,0,1,110,18,18,141,153,157,0,,,,,,,,,,,,,,,,,
13440,166122,11,NK, ,12,05-May-2017,01:02:48,,,,401650000,-125,,0,05-May-2017,01:01:18,,,90,,,,,,,43,221,37,73,35,0,125,137,24,192,0,,,,,,,,,,,,,,,,,,,,,
13440,166122,11,NK, ,12,05-May-2017,01:02:48,,,,401650000,-125,,0,05-May-2017,01:02:48,,,90,,,,,,,42,85,133,72,211,73,115,7,64,160,237,,,,,,,,,,,,,,,,,,,,,
13440,166122,11,MA, ,13,05-May-2017,01:13:48,,,,401650000,-127,,0,05-May-2017,01:13:48,,,,,,,,,,43,221,37,73,35,0,125,137,24,192,0,,,,,,,,,,,,,,,,,,,,,
13440,166122,15,NP, ,14,05-May-2017,02:24:30,,,,401650000,-139,,0,05-May-2017,02:24:30,,,169,,,,,,,22,26,37,73,41,0,0,1,110,18,18,141,153,157,0,,,,,,,,,,,,,,,,,
13440,166122,15,NP, ,14,05-May-2017,02:24:30,,,,401650000,-139,,0,05-May-2017,02:27:19,,,169,,,,,,,31,182,37,72,199,0,0,0,234,31,20,130,0,0,0,,,,,,,,,,,,,,,,,
13440,166122,11,NN, ,15,05-May-2017,02:34:48,,,,401650000,-135,,0,05-May-2017,02:34:48,,,270,,,,,,,42,85,133,72,211,0,111,131,24,192,0,,,,,,,,,,,,,,,,,,,,,
13440,166122,7,NN, ,15,05-May-2017,02:34:48,,,,401650000,-135,,0,05-May-2017,02:39:18,,,270,,,,,,,73,219,5,72,209,128,0,,,,,,,,,,,,,,,,,,,,,,,,,
13440,166122,15,NK,1,16,05-May-2017,02:38:59,-64.6596,-62.0993,,401677374,-135,58,0,05-May-2017,02:37:48,-64.6596,-62.0993,135,697,6144,79,76,,,31,182,37,72,215,0,0,0,234,31,21,130,0,0,64,,,,,,,,,,,,,,,,,
13440,166122,15,NK,1,16,05-May-2017,02:38:59,-64.6596,-62.0993,,401677374,-135,58,0,05-May-2017,02:38:48,-64.6596,-62.0993,135,697,6144,79,76,,,22,26,37,73,41,0,0,1,110,2,18,141,152,157,160,,,,,,,,,,,,,,,,,
