DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"131158",131158,SPOT,DS,7,1,0,,,05:41:38 14-Jan-2016,P,1,-64.8330,-64.0650,,,40,,401677528,-121,
"131158",131158,SPOT,DS,2,0,0,274,274,05:52:41 14-Jan-2016,N,B,-64.8390,-64.0980,,,,,401677525,-133,
"131158",131158,SPOT,DS,3,0,0,75,65,05:56:16 14-Jan-2016,K,A,-64.8410,-64.0820,,,,,401677527,-128,
"131158",131158,SPOT,DS,3,0,0,280,172,07:24:44 14-Jan-2016,P,A,-64.8630,-64.0160,,,8,,401677527,-130,
"131158",131158,SPOT,DS,3,0,0,121,70,07:33:31 14-Jan-2016,N,A,-64.8700,-64.0430,,,,,401677527,-133,
"131158",131158,SPOT,DS,4,0,0,119,59,07:34:41 14-Jan-2016,K,1,-64.8690,-64.0540,,,40,,401677525,-125,
"131158",131158,SPOT,DS,1,0,0,,,08:04:39 14-Jan-2016,R,B,-64.8360,-64.0900,,,8,,401677518,-140,
"131158",131158,SPOT,DS,1,0,0,,,08:57:20 14-Jan-2016,A,B,-64.8340,-64.0880,,,8,,401677519,-120,
"131158",131158,SPOT,DS,2,0,0,268,268,09:06:38 14-Jan-2016,N,B,-64.8830,-64.0040,,,,,401677522,-127,
"131158",131158,SPOT,DS,3,0,0,246,225,09:10:52 14-Jan-2016,K,A,-64.8750,-63.9800,,,,,401677527,-125,
"131158",131158,SPOT,DS,1,0,0,,,09:11:07 14-Jan-2016,P,B,-64.8820,-63.9960,,,,,401677525,-137,
"131158",131158,SPOT,DS,2,0,1,507,507,09:45:29 14-Jan-2016,R,B,-64.8840,-63.9570,,,8,,401677529,-136,
"131158",131158,SPOT,DS,3,0,0,104,97,10:39:52 14-Jan-2016,A,A,-64.8810,-63.8650,,,8,,401677523,-124,
"131158",131158,SPOT,DS,1,0,0,,,10:53:11 14-Jan-2016,N,B,-64.8920,-63.9110,,,8,,401677526,-132,
"131158",131158,SPOT,DS,1,0,0,,,10:53:11 14-Jan-2016,K,B,-64.8810,-63.8580,,,,,401677525,-129,
"131158",131158,SPOT,DS,3,0,0,203,97,11:24:53 14-Jan-2016,R,A,-64.8830,-63.7520,,,8,,401677527,-127,
"131158",131158,SPOT,DS,3,0,0,130,113,11:31:59 14-Jan-2016,B,A,-64.8890,-63.7610,,,,,401677527,-128,
"131158",131158,SPOT,DS,1,0,0,,,13:10:21 14-Jan-2016,B,B,-64.9120,-63.5900,,,8,,401677542,-128,
"131158",131158,SPOT,DS,2,0,0,527,527,13:53:52 14-Jan-2016,A,B,-64.9130,-63.5230,,,6,,401677518,-130,
"131158",131158,SPOT,DS,1,0,0,,,14:40:31 14-Jan-2016,R,B,-64.9060,-63.4910,,,6,,401677521,-134,
"131158",131158,SPOT,DS,3,0,0,147,87,15:39:43 14-Jan-2016,A,A,-64.8570,-63.7890,,,8,,401677520,-128,
"131158",131158,SPOT,DS,1,0,0,,,16:10:09 14-Jan-2016,P,B,-64.9440,-63.8630,,,7,,401677529,-136,
"131158",131158,SPOT,DS,1,0,1,,,16:18:17 14-Jan-2016,R,B,-64.8970,-63.7680,,,,,401677517,-133,
"131158",131158,SPOT,DS,1,0,0,,,17:57:25 14-Jan-2016,P,B,-64.8680,-63.8240,,,7,,401677555,-127,
"131158",131158,SPOT,DS,1,0,0,,,17:57:25 14-Jan-2016,R,B,-64.8500,-63.7910,,,,,401677544,-134,
"131158",131158,SPOT,DS,1,0,0,,,19:40:26 14-Jan-2016,R,B,-64.8480,-63.8390,,,7,,401677568,-137,
"131158",131158,SPOT,DS,1,0,0,,,19:40:26 14-Jan-2016,P,B,-64.8510,-63.8290,,,8,,401677550,-136,
"131158",131158,SPOT,DS,4,0,0,164,84,21:15:40 14-Jan-2016,R,0,-64.8410,-64.2340,,,58,,401677531,-120,
"131158",131158,SPOT,DS,4,0,0,171,105,21:18:09 14-Jan-2016,P,2,-64.8570,-64.2440,,,50,,401677533,-130,
"131158",131158,SPOT,DS,2,0,0,124,124,21:16:56 14-Jan-2016,N,B,-64.8170,-64.1760,,,8,,401677511,-130,
"131158",131158,SPOT,DS,1,0,0,,,21:15:54 14-Jan-2016,K,B,-64.8400,-63.9120,,,8,,401677558,-132,
"131158",131158,SPOT,DS,2,0,1,80,80,22:57:01 14-Jan-2016,K,B,-64.8850,-64.3320,,,8,,401677522,-124,
"131158",131158,SPOT,DS,2,0,0,80,80,22:57:01 14-Jan-2016,N,B,-64.8950,-64.3470,,,8,,401677539,-133,
"131158",131158,SPOT,DS,1,0,0,,,22:57:41 14-Jan-2016,R,B,-64.8950,-64.3480,,,,,401677536,-125,
"131158",131158,SPOT,DS,1,0,0,,,22:57:41 14-Jan-2016,P,B,-64.8930,-64.3260,,,,,401677515,-127,
"131158",131158,SPOT,DS,1,0,0,,,00:35:16 15-Jan-2016,K,B,-64.9110,-64.4450,,,8,,401677494,-128,
"131158",131158,SPOT,DS,1,0,0,,,00:35:16 15-Jan-2016,P,B,-64.8960,-64.4100,,,8,,401677492,-132,
"131158",131158,SPOT,DS,1,0,0,,,00:35:16 15-Jan-2016,R,B,-64.8960,-64.2600,,,,,401677545,-136,
"131158",131158,SPOT,DS,4,0,1,87,49,00:43:30 15-Jan-2016,N,0,-64.9230,-64.2210,,,40,,401677527,-126,
"131158",131158,SPOT,DS,6,0,0,82,80,01:59:02 15-Jan-2016,A,1,-64.9440,-64.2150,,,48,,401677530,-121,
"131158",131158,SPOT,DS,2,0,0,133,133,02:12:37 15-Jan-2016,K,B,-64.9350,-64.2030,,,,,401677529,-128,
"131158",131158,SPOT,DS,9,1,0,,,02:15:15 15-Jan-2016,P,2,-64.9520,-64.2390,,,58,,401677525,-128,
"131158",131158,SPOT,DS,8,1,0,,,02:19:43 15-Jan-2016,N,2,-64.9460,-64.2140,,,50,,401677528,-129,
"131158",131158,SPOT,DS,1,0,0,,,02:59:37 15-Jan-2016,B,B,-64.9500,-64.2470,,,7,,401677536,-125,
"131158",131158,SPOT,DS,1,0,0,,,03:50:18 15-Jan-2016,K,B,-64.9540,-64.2750,,,8,,401677535,-130,
"131158",131158,SPOT,DS,1,0,0,,,03:57:57 15-Jan-2016,P,B,-64.9520,-64.2620,,,,,401677534,-132,
"131158",131158,SPOT,DS,1,0,0,,,03:57:57 15-Jan-2016,N,B,-64.9520,-64.2570,,,,,401677534,-133,
"131158",131158,SPOT,DS,1,0,0,,,04:39:16 15-Jan-2016,B,B,-64.9530,-64.2720,,,7,,401677545,-133,
"131158",131158,SPOT,DS,7,2,1,,,05:21:20 15-Jan-2016,A,2,-64.8980,-64.2900,,,58,,401677532,-123,
"131158",131158,SPOT,DS,5,0,0,103,50,05:28:01 15-Jan-2016,K,2,-64.8860,-64.2770,,,50,,401677536,-129,
"131158",131158,SPOT,DS,8,0,0,88,47,05:29:36 15-Jan-2016,P,1,-64.8950,-64.2610,,,40,,401677533,-123,
"131158",131158,SPOT,DS,5,0,0,103,81,05:35:29 15-Jan-2016,N,2,-64.8920,-64.3010,,,50,,401677533,-132,
"131158",131158,SPOT,DS,7,0,1,84,46,06:57:59 15-Jan-2016,A,2,-64.8870,-64.3020,,,58,,401677530,-126,
"131158",131158,SPOT,DS,8,1,0,,,07:07:56 15-Jan-2016,K,2,-64.8900,-64.2820,,,40,,401677534,-124,
"131158",131158,SPOT,DS,5,0,0,137,78,07:11:48 15-Jan-2016,P,2,-64.8820,-64.2800,,,50,,401677533,-128,
"131158",131158,SPOT,DS,8,0,0,95,64,07:17:48 15-Jan-2016,N,2,-64.8910,-64.2790,,,50,,401677531,-126,
"131158",131158,SPOT,DS,5,0,0,89,52,08:38:36 15-Jan-2016,A,1,-64.8900,-64.2280,,,58,,401677535,-125,
"131158",131158,SPOT,DS,6,0,0,125,52,08:46:19 15-Jan-2016,K,0,-64.8820,-64.2340,,,40,,401677534,-121,
