DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
131133,131133,Mk10,DS,4,0,0,81,58,12:39:59 26-Apr-2016,B,1,-63.4390,-68.5720,,,60,,401677571,-122
131133,131133,Mk10,DS,8,5,0,,,13:24:33 26-Apr-2016,A,2,-64.5510,-62.2780,,,58,,401677543,-118
131133,131133,Mk10,DS,6,2,0,,,14:06:40 26-Apr-2016,R,1,-64.5370,-62.2680,,,58,,401677544,-122
131133,131133,Mk10,DS,1,0,1,,,14:22:46 26-Apr-2016,B,B,-64.5370,-62.2680,,,6,,401677539,-132
131133,131133,Mk10,DS,9,2,0,,,15:07:45 26-Apr-2016,A,3,-64.5520,-62.2620,,,58,,401677543,-126
131133,131133,Mk10,DS,4,0,2,158,46,15:45:26 26-Apr-2016,R,1,-64.5550,-62.3210,,,58,,401677539,-133
131133,131133,Mk10,DS,4,0,1,47,46,16:55:36 26-Apr-2016,P,0,-64.5570,-62.2930,,,58,,401677538,-133
131133,131133,Mk10,DS,10,0,3,51,46,17:22:16 26-Apr-2016,R,3,-64.5710,-62.2960,,,56,,401677544,-126
131133,131133,Mk10,DS,4,0,3,77,47,18:39:08 26-Apr-2016,P,0,-64.5640,-62.2780,,,58,,401677543,-131
131133,131133,Mk10,DS,8,0,3,75,46,18:58:54 26-Apr-2016,R,1,-64.5830,-62.2340,,,46,,401677545,-124
131133,131133,Mk10,DS,2,0,1,71,71,19:54:08 26-Apr-2016,N,B,-64.5690,-62.1750,,,8,,401677549,-137
131133,131133,Mk10,DS,5,0,1,54,46,20:08:11 26-Apr-2016,K,1,-64.5550,-62.1460,,,56,,401677549,-132
131133,131133,Mk10,DS,9,0,1,75,47,20:16:21 26-Apr-2016,P,2,-64.5370,-62.0780,,,56,,401677544,-122
131133,131133,Mk10,DS,12,0,2,64,46,20:39:03 26-Apr-2016,R,1,-64.5390,-61.9840,,,56,,401677543,-119
131133,131133,Mk10,DS,5,0,1,86,46,21:34:07 26-Apr-2016,N,2,-64.5020,-61.9110,,,58,,401677544,-126
131133,131133,Mk10,DS,5,0,1,115,46,21:48:20 26-Apr-2016,K,1,-64.5000,-61.8900,,,56,,401677544,-125
131133,131133,Mk10,DS,6,0,1,129,46,21:56:23 26-Apr-2016,P,1,-64.4900,-61.8970,,,56,,401677543,-130
131133,131133,Mk10,DS,5,0,1,107,46,22:19:17 26-Apr-2016,R,3,-64.5040,-61.8870,,,56,,401677541,-125
131133,131133,Mk10,DS,2,0,0,46,46,23:16:54 26-Apr-2016,N,B,-64.4690,-61.8620,,,8,,401677548,-123
131133,131133,Mk10,DS,1,0,1,,,23:26:17 26-Apr-2016,K,B,-64.4720,-61.8850,,,6,,401677547,-128
131133,131133,Mk10,DS,2,0,2,46,46,00:37:18 27-Apr-2016,B,B,-64.4250,-61.7940,,,8,,401677538,-132
131133,131133,Mk10,DS,7,0,0,48,46,00:56:27 27-Apr-2016,N,3,-64.4100,-61.8420,,,58,,401677545,-120
131133,131133,Mk10,DS,9,0,0,48,46,01:10:19 27-Apr-2016,K,3,-64.4040,-61.8240,,,56,,401677545,-119
131133,131133,Mk10,DS,13,0,0,48,46,01:15:09 27-Apr-2016,P,3,-64.4060,-61.8090,,,56,,401677545,-129
131133,131133,Mk10,DS,4,0,3,69,53,01:33:49 27-Apr-2016,A,1,-64.3890,-61.7860,,,56,,401677544,-119
