DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
131133,131133,0.500000,Mk10,22:00:00 06-May-2016,,,,0.000000,0.000000,Status,415.750000,3.750000,Behavior
131133,131133,0.500000,Mk10,04:00:00 07-May-2016,,,,0.000000,0.000000,Status,431.750000,3.750000,Behavior
131133,131133,0.500000,Mk10,10:00:00 07-May-2016,,,,0.000000,0.000000,Status,319.750000,3.750000,Behavior
131133,131133,0.500000,Mk10,16:00:00 07-May-2016,,,,0.000000,0.000000,Behavior,375.750000,3.750000,Behavior
131133,131133,0.500000,Mk10,22:00:00 07-May-2016,,,,0.000000,0.000000,Status,479.750000,3.750000,Behavior
131133,131133,0.500000,Mk10,04:00:00 08-May-2016,,,,0.000000,0.000000,Behavior,439.750000,3.750000,Behavior
131133,131133,0.500000,Mk10,10:00:00 08-May-2016,,,,0.000000,0.000000,Behavior,375.750000,3.750000,Behavior
131133,131133,0.500000,Mk10,16:00:00 08-May-2016,,,,0.000000,0.000000,Behavior,367.750000,3.750000,Behavior
131133,131133,0.500000,Mk10,22:00:00 08-May-2016,,,,0.000000,0.000000,Status,423.750000,3.750000,Behavior
131133,131133,0.500000,Mk10,04:00:00 09-May-2016,,,,0.000000,0.000000,Behavior,455.750000,3.750000,Behavior
131133,131133,0.500000,Mk10,10:00:00 09-May-2016,,,,0.000000,0.000000,Status,431.750000,3.750000,Behavior
131133,131133,0.500000,Mk10,16:00:00 09-May-2016,,,,0.000000,0.000000,Behavior,255.750000,3.750000,Behavior
131133,131133,0.500000,Mk10,22:00:00 09-May-2016,,,,0.000000,0.000000,Behavior,431.750000,3.750000,Behavior
131133,131133,0.500000,Mk10,04:00:00 10-May-2016,,,,0.000000,0.000000,Status,439.750000,3.750000,Behavior
131133,131133,0.500000,Mk10,10:00:00 10-May-2016,,,,0.000000,0.000000,Status,65.750000,0.750000,Behavior
