DeployID,Ptt,Instr,SW,PercentDecoded,Passes,PercentArgosLoc,MsgPerPass,DS,DI,MinPower,AvgPower,MaxPower,MinInterval,EarliestXmitTime,LatestXmitTime,XmitDays,EarliestDataTime,LatestDataTime,DataDays,ReleaseDate,ReleaseType
"112737",112737,SPOT,,95,2062,99,7,14398,,,,,30,17:02:56 06-Feb-2013,11:32:00 16-Apr-2013,69,17:02:56 06-Feb-2013,11:32:00 16-Apr-2013,69,,,
"112738",112738,SPOT,,94,1780,99,6,9826,,,,,10,18:38:22 06-Feb-2013,13:16:15 11-Apr-2013,64,18:38:22 06-Feb-2013,13:16:15 11-Apr-2013,64,,,
"112746",112746,SPOT,,97,2005,99,8,16551,,,,,3,17:03:30 07-Feb-2013,17:45:20 09-Apr-2013,61,17:03:30 07-Feb-2013,17:34:22 09-Apr-2013,61,,,
"121207",121207,SPOT,,82,2960,98,6,16681,,,,,30,17:33:35 12-Feb-2013,11:33:58 26-Jun-2013,134,17:36:34 12-Feb-2013,11:33:58 26-Jun-2013,134,,,
"121208",121208,SPOT,,73,198,90,2,360,,,,,30,23:23:31 05-Feb-2013,06:40:31 31-Mar-2013,53,23:23:31 05-Feb-2013,07:02:04 03-Mar-2013,25,,,
"121210",121210,SPOT,,88,4132,98,5,21359,,,,,19,18:52:44 05-Feb-2013,18:56:30 21-Aug-2013,197,18:52:44 05-Feb-2013,18:56:30 21-Aug-2013,197,,,
"121211",121211,SPOT,,86,1100,99,4,3956,,,,,30,16:59:00 06-Feb-2013,13:05:18 10-May-2013,93,16:59:00 06-Feb-2013,12:45:59 16-Mar-2013,38,,,
"121212",121212,SPOT,,86,152,100,6,847,,,,,30,17:00:06 06-Feb-2013,07:48:41 11-Feb-2013,5,17:00:50 06-Feb-2013,07:48:41 11-Feb-2013,5,,,
"123224",123224,SPOT,,74,2829,96,3,7313,,,,,30,18:58:20 05-Feb-2013,11:50:55 01-Oct-2013,238,18:58:20 05-Feb-2013,11:50:55 01-Oct-2013,238,,,
"123231",123231,SPOT,,86,129,96,4,528,,,,,30,23:23:35 05-Feb-2013,12:03:21 11-Jun-2013,126,23:23:35 05-Feb-2013,07:01:35 14-Feb-2013,8,,,
"123232",123232,SPOT,,87,4226,98,5,20355,,,,,29,17:01:56 06-Feb-2013,13:08:08 31-Oct-2013,267,17:01:56 06-Feb-2013,13:08:08 31-Oct-2013,267,,,
"123236",123236,SPOT,,82,1425,99,5,7290,,,,,30,17:11:29 05-Feb-2013,06:33:54 26-Jun-2013,141,17:11:29 05-Feb-2013,00:51:45 28-Mar-2013,50,,,
