Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
13440,166127,23,SR, ,3,03-May-2017,17:07:43,,,,401650000,-137,,0,03-May-2017,17:07:43,,,,,,,,,,4,163,15,17,233,2,52,48,199,246,112,69,0,80,169,131,7,161,118,70,127,215,91,,,,,,,,,
13440,166127,15,SR, ,4,03-May-2017,18:45:13,,,,401650000,-127,,0,03-May-2017,18:44:33,,,40,,,,,,,54,228,213,70,233,136,10,16,24,0,32,0,2,0,0,,,,,,,,,,,,,,,,,
13440,166127,11,SR, ,4,03-May-2017,18:45:13,,,,401650000,-127,,0,03-May-2017,18:45:13,,,40,,,,,,,34,229,149,70,227,0,121,3,0,0,2,,,,,,,,,,,,,,,,,,,,,
13440,166127,19,SR,1,5,03-May-2017,20:24:56,-64.6901,-62.2362,,401677281,-129,40,0,03-May-2017,20:22:15,-64.6901,-62.2362,325,605,2628,139,106,,,21,247,101,70,235,124,159,28,40,177,20,7,131,5,1,135,128,96,0,,,,,,,,,,,,,
13440,166127,15,SR,1,5,03-May-2017,20:24:56,-64.6901,-62.2362,,401677281,-129,40,0,03-May-2017,20:23:23,-64.6901,-62.2362,325,605,2628,139,106,,,54,228,213,70,233,136,10,15,50,192,57,27,50,22,230,,,,,,,,,,,,,,,,,
13440,166127,11,SR,1,5,03-May-2017,20:24:56,-64.6901,-62.2362,,401677281,-129,40,0,03-May-2017,20:24:03,-64.6901,-62.2362,325,605,2628,139,106,,,34,229,149,70,227,0,121,3,0,0,0,,,,,,,,,,,,,,,,,,,,,
13440,166127,19,SR,1,5,03-May-2017,20:24:56,-64.6901,-62.2362,,401677281,-129,40,0,03-May-2017,20:24:34,-64.6901,-62.2362,325,605,2628,139,106,,,21,247,101,70,235,124,149,30,32,161,1,193,220,78,167,2,21,53,151,,,,,,,,,,,,,
13440,166127,15,SR,1,5,03-May-2017,20:24:56,-64.6901,-62.2362,,401677281,-129,40,0,03-May-2017,20:25:57,-64.6901,-62.2362,325,605,2628,139,106,,,54,228,213,70,233,136,10,16,24,0,32,0,2,0,0,,,,,,,,,,,,,,,,,
13440,166127,11,SR,1,5,03-May-2017,20:24:56,-64.6901,-62.2362,,401677281,-129,40,0,03-May-2017,20:26:44,-64.6901,-62.2362,325,605,2628,139,106,,,34,229,168,149,48,6,133,220,1,60,65,,,,,,,,,,,,,,,,,,,,,
13440,166127,19,SR,1,5,03-May-2017,20:24:56,-64.6901,-62.2362,,401677281,-129,40,0,03-May-2017,20:27:40,-64.6901,-62.2362,325,605,2628,139,106,,,21,247,101,70,235,124,149,30,32,177,20,7,131,5,9,135,128,0,0,,,,,,,,,,,,,
13440,166127,15,NP,B,6,03-May-2017,21:39:42,-64.6871,-62.2199,,401677287,-135,8,0,03-May-2017,21:36:43,-64.6871,-62.2199,358,4857,23857,988,147,,,74,178,165,70,231,130,8,4,24,33,0,192,0,0,0,,,,,,,,,,,,,,,,,
13440,166127,15,NP,B,6,03-May-2017,21:39:42,-64.6871,-62.2199,,401677287,-135,8,0,03-May-2017,21:42:41,-64.6871,-62.2199,358,4857,23857,988,147,,,54,228,213,70,233,136,10,16,16,0,32,0,2,0,0,,,,,,,,,,,,,,,,,
13440,166127,15,NN,B,7,03-May-2017,21:43:37,-64.6876,-62.2199,,401677277,-135,6,0,03-May-2017,21:42:41,-64.6876,-62.2199,112,343,614,191,77,,,54,228,213,70,233,136,10,0,24,0,32,0,2,0,0,,,,,,,,,,,,,,,,,
13440,166127,15,NN,B,7,03-May-2017,21:43:37,-64.6876,-62.2199,,401677277,-135,6,0,03-May-2017,21:44:33,-64.6876,-62.2199,112,343,614,191,77,,,74,178,165,70,231,130,8,4,24,161,0,192,0,0,0,,,,,,,,,,,,,,,,,
13440,166127,19,SR,2,8,03-May-2017,22:04:38,-64.6679,-62.2743,,401677290,-132,56,0,03-May-2017,22:03:34,-64.6679,-62.2743,139,459,2399,87,75,,,21,247,101,70,235,124,149,30,32,177,28,7,135,5,9,135,128,0,0,,,,,,,,,,,,,
13440,166127,15,SR,2,8,03-May-2017,22:04:38,-64.6679,-62.2743,,401677290,-132,56,0,03-May-2017,22:04:13,-64.6679,-62.2743,139,459,2399,87,75,,,74,178,165,70,231,130,8,4,24,33,0,192,0,0,0,,,,,,,,,,,,,,,,,
13440,166127,15,SR,2,8,03-May-2017,22:04:38,-64.6679,-62.2743,,401677290,-132,56,0,03-May-2017,22:04:53,-64.6679,-62.2743,139,459,2399,87,75,,,54,228,213,70,233,136,10,16,24,0,32,0,2,0,0,,,,,,,,,,,,,,,,,
13440,166127,19,SR,2,8,03-May-2017,22:04:38,-64.6679,-62.2743,,401677290,-132,56,0,03-May-2017,22:05:53,-64.6679,-62.2743,139,459,2399,87,75,,,21,247,101,70,235,124,149,30,32,177,20,7,131,5,9,135,128,0,0,,,,,,,,,,,,,
13440,166127,15,NK,A,9,03-May-2017,22:05:09,-64.6826,-62.2892,,401677281,-129,6,0,03-May-2017,22:04:13,-64.6826,-62.2892,100,1279,6466,252,80,,,74,178,165,70,231,130,8,4,24,33,0,192,0,0,0,,,,,,,,,,,,,,,,,
13440,166127,11,NK,A,9,03-May-2017,22:05:09,-64.6826,-62.2892,,401677281,-129,6,0,03-May-2017,22:05:23,-64.6826,-62.2892,100,1279,6466,252,80,,,34,229,149,70,227,0,121,3,0,0,0,,,,,,,,,,,,,,,,,,,,,
13440,166127,19,NK,A,9,03-May-2017,22:05:09,-64.6826,-62.2892,,401677281,-129,6,0,03-May-2017,22:05:53,-64.6826,-62.2892,100,1279,6466,252,80,,,21,247,101,70,235,124,149,30,32,177,20,7,131,5,9,135,128,0,0,,,,,,,,,,,,,
13440,166127,19,NP,1,10,03-May-2017,23:21:12,-64.6945,-62.3077,,401677284,-131,58,0,03-May-2017,23:20:37,-64.6945,-62.3077,106,1158,3472,386,34,,,21,247,101,70,235,124,149,30,32,177,20,7,3,5,9,135,128,0,0,,,,,,,,,,,,,
13440,166127,15,NP,1,10,03-May-2017,23:21:12,-64.6945,-62.3077,,401677284,-131,58,0,03-May-2017,23:21:13,-64.6945,-62.3077,106,1158,3472,386,34,,,74,178,165,70,231,130,8,4,24,33,0,192,0,0,0,,,,,,,,,,,,,,,,,
13440,166127,15,NP,1,10,03-May-2017,23:21:12,-64.6945,-62.3077,,401677284,-131,58,0,03-May-2017,23:21:43,-64.6945,-62.3077,106,1158,3472,386,34,,,54,228,213,70,233,136,10,16,24,0,32,0,2,0,0,,,,,,,,,,,,,,,,,
13440,166127,11,NP,1,10,03-May-2017,23:21:12,-64.6945,-62.3077,,401677284,-131,58,1,03-May-2017,23:22:23,-64.6945,-62.3077,106,1158,3472,386,34,,,34,229,149,70,227,0,121,3,0,0,0,,,,,,,,,,,,,,,,,,,,,
13440,166127,11,NN,A,11,03-May-2017,23:28:07,-64.6594,-62.2936,,401677279,-130,8,0,03-May-2017,23:22:23,-64.6594,-62.2936,541,3832,8128,1806,168,,,34,229,149,70,227,0,121,3,0,32,0,,,,,,,,,,,,,,,,,,,,,
13440,166127,15,NN,A,11,03-May-2017,23:28:07,-64.6594,-62.2936,,401677279,-130,8,0,03-May-2017,23:30:36,-64.6594,-62.2936,541,3832,8128,1806,168,,,74,178,165,70,231,130,8,4,24,33,0,192,0,0,0,,,,,,,,,,,,,,,,,
13440,166127,15,NN,A,11,03-May-2017,23:28:07,-64.6594,-62.2936,,401677279,-130,8,0,03-May-2017,23:31:24,-64.6594,-62.2936,541,3832,8128,1806,168,,,54,228,213,70,233,136,10,16,24,0,32,0,2,0,0,,,,,,,,,,,,,,,,,
13440,166127,15,NK,A,12,03-May-2017,23:45:28,-64.6920,-62.2691,,401677285,-140,6,0,03-May-2017,23:44:23,-64.6920,-62.2691,120,733,12356,43,78,,,74,178,165,86,231,130,21,42,21,42,84,170,247,238,250,,,,,,,,,,,,,,,,,
13440,166127,11,NK,A,12,03-May-2017,23:45:28,-64.6920,-62.2691,,401677285,-140,6,0,03-May-2017,23:45:39,-64.6920,-62.2691,120,733,12356,43,78,,,35,165,149,70,227,0,89,3,0,0,64,,,,,,,,,,,,,,,,,,,,,
13440,166127,19,NK,A,12,03-May-2017,23:45:28,-64.6920,-62.2691,,401677285,-140,6,0,03-May-2017,23:46:23,-64.6920,-62.2691,120,733,12356,43,78,,,21,247,101,70,235,124,149,30,32,177,20,7,131,5,9,135,128,0,0,,,,,,,,,,,,,
13440,166127,15,NN,B,13,04-May-2017,01:12:48,-64.6537,-62.2892,,401677281,-133,8,0,04-May-2017,01:12:33,-64.6537,-62.2892,30,2049,5325,788,89,,,54,228,213,70,233,136,10,16,24,0,32,0,2,0,0,,,,,,,,,,,,,,,,,
13440,166127,11,NN,B,13,04-May-2017,01:12:48,-64.6537,-62.2892,,401677281,-133,8,0,04-May-2017,01:13:03,-64.6537,-62.2892,30,2049,5325,788,89,,,34,229,149,70,231,0,125,3,2,32,2,,,,,,,,,,,,,,,,,,,,,
13440,166127,11,NK,1,14,04-May-2017,01:28:24,-64.6944,-62.2706,,401677279,-131,56,0,04-May-2017,01:27:23,-64.6944,-62.2706,140,1131,6842,186,56,,,34,229,149,70,227,0,121,3,0,0,0,,,,,,,,,,,,,,,,,,,,,
13440,166127,19,NK,1,14,04-May-2017,01:28:24,-64.6944,-62.2706,,401677279,-131,56,0,04-May-2017,01:27:53,-64.6944,-62.2706,140,1131,6842,186,56,,,21,247,101,70,235,124,149,30,32,177,20,7,131,5,9,135,128,0,0,,,,,,,,,,,,,
13440,166127,15,NK,1,14,04-May-2017,01:28:24,-64.6944,-62.2706,,401677279,-131,56,0,04-May-2017,01:28:38,-64.6944,-62.2706,140,1131,6842,186,56,,,72,182,5,71,40,134,0,0,0,34,98,0,128,0,0,,,,,,,,,,,,,,,,,
13440,166127,15,NK,1,14,04-May-2017,01:28:24,-64.6944,-62.2706,,401677279,-131,56,0,04-May-2017,01:29:43,-64.6944,-62.2706,140,1131,6842,186,56,,,59,104,165,71,40,134,0,16,24,48,226,2,128,64,0,,,,,,,,,,,,,,,,,
13440,166127,11,NP,B,15,04-May-2017,02:35:12,-64.6993,-62.1882,,401677304,-135,7,0,04-May-2017,02:34:13,-64.6993,-62.1882,120,1285,3102,531,25,,,32,97,197,71,35,0,122,13,0,0,0,,,,,,,,,,,,,,,,,,,,,
13440,166127,15,NP,B,15,04-May-2017,02:35:12,-64.6993,-62.1882,,401677304,-135,7,0,04-May-2017,02:36:13,-64.6993,-62.1882,120,1285,3102,531,25,,,54,228,213,70,233,136,10,16,24,0,32,37,121,233,192,,,,,,,,,,,,,,,,,
13440,166127,11,MA,1,16,04-May-2017,03:13:02,-64.7258,-62.2620,,401677296,-123,48,0,04-May-2017,03:10:47,-64.7258,-62.2620,378,646,5051,82,79,,,34,229,149,70,227,0,121,3,0,0,0,,,,,,,,,,,,,,,,,,,,,
13440,166127,19,MA,1,16,04-May-2017,03:13:02,-64.7258,-62.2620,,401677296,-123,48,0,04-May-2017,03:11:41,-64.7258,-62.2620,378,646,5051,82,79,,,29,247,101,70,235,252,151,14,32,177,20,7,131,5,9,135,128,0,0,,,,,,,,,,,,,
13440,166127,15,MA,1,16,04-May-2017,03:13:02,-64.7258,-62.2620,,401677296,-123,48,0,04-May-2017,03:12:24,-64.7258,-62.2620,378,646,5051,82,79,,,72,182,5,71,40,134,0,0,0,34,98,0,128,0,0,,,,,,,,,,,,,,,,,
13440,166127,11,MA,1,16,04-May-2017,03:13:02,-64.7258,-62.2620,,401677296,-123,48,0,04-May-2017,03:13:49,-64.7258,-62.2620,378,646,5051,82,79,,,32,97,229,71,35,0,122,13,0,0,0,,,,,,,,,,,,,,,,,,,,,
