DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
166127,166127,,Transmission,Mk10,TAD,12:00:00 05-May-2017,3.000000,3,0,,,,11,100.000000,19.1,20.0,10.3,7.8,34.8,4.0,1.1,0.8,1.9,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,18:00:00 05-May-2017,3.000000,2,0,,,,11,100,16.1,13.9,9.5,14.3,15.9,4.7,4.1,3.2,13.1,5.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,00:00:00 06-May-2017,3.000000,8,0,,,,11,100,9.7,19.7,13.0,23.1,19.3,13.6,0.8,0.7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,06:00:00 06-May-2017,3.000000,4,0,,,,11,100,14.4,16.3,7.9,7.9,11.8,25,4.9,5.1,6.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,12:00:00 06-May-2017,3.000000,5,0,,,,11,100,15.6,10.4,7.2,27.8,39.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,18:00:00 06-May-2017,3.000000,3,0,,,,11,100,17.1,14.0,5.8,10.4,16.1,7.9,6.3,5.8,16.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,00:00:00 07-May-2017,3.000000,4,0,,,,11,100,21.0,15.7,2.5,1.3,3.5,5.1,4.9,5.8,32.5,7.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,06:00:00 07-May-2017,3.000000,4,0,,,,11,100,17.5,20.7,2.4,1.5,4.0,4.4,4.9,6.4,25.0,13.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,12:00:00 07-May-2017,3.000000,2,0,,,,11,100,18.9,31.0,4.2,10.8,33.7,1.4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,18:00:00 07-May-2017,3.000000,1,0,,,,11,100.000000,17.9,21.8,4.5,4.8,7.2,5.6,4.5,6.3,21.5,5.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
