DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
166127,166127,Mk10,Strong,04-May-2017,03:17:02,04-May-2017,03:17:05
166127,166127,Mk10,Strong,14-May-2017,07:25:50,14-May-2017,07:25:52
