"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",166127,13440,,,,,,,0,SR,,401650000,05/03/2017 17:07:43,1,1,0,-137,401650000,,,,,,,,,,,,4,163,15,17,233,2,52,48,199,246,112,69,0,80,169,131,7,161,118,70,127,215,91,,,,,,,,,
"",166127,13440,,,,,,,40,SR,,401650000,05/03/2017 18:44:33,1,2,0,-127,401650000,,,,,,,,,,,,54,228,213,70,233,136,10,16,24,0,32,0,2,0,0,,,,,,,,,,,,,,,,,
"",166127,13440,,,,,,,40,SR,,401650000,05/03/2017 18:45:13,1,2,0,-127,401650000,,,,,,,,,,,,34,229,149,70,227,0,121,3,0,0,2,,,,,,,,,,,,,,,,,,,,,
"",166127,13440,-64.6901,-62.23623,1,05/03/2017 20:24:56,Argos,0,325,SR,,401677281.2,05/03/2017 20:22:15,1,7,0,-129,401677281.2,-62.23623,-64.6901,-62.23623,-64.6901,40,3,605,2628,139,106,234,21,247,101,70,235,124,159,28,40,177,20,7,131,5,1,135,128,96,0,,,,,,,,,,,,,
"",166127,13440,-64.6901,-62.23623,1,05/03/2017 20:24:56,Argos,0,325,SR,,401677281.2,05/03/2017 20:23:23,1,7,0,-129,401677281.2,-62.23623,-64.6901,-62.23623,-64.6901,40,3,605,2628,139,106,234,54,228,213,70,233,136,10,15,50,192,57,27,50,22,230,,,,,,,,,,,,,,,,,
"",166127,13440,-64.6901,-62.23623,1,05/03/2017 20:24:56,Argos,0,325,SR,,401677281.2,05/03/2017 20:24:03,1,7,0,-129,401677281.2,-62.23623,-64.6901,-62.23623,-64.6901,40,3,605,2628,139,106,234,34,229,149,70,227,0,121,3,0,0,0,,,,,,,,,,,,,,,,,,,,,
"",166127,13440,-64.6901,-62.23623,1,05/03/2017 20:24:56,Argos,0,325,SR,,401677281.2,05/03/2017 20:24:34,1,7,0,-129,401677281.2,-62.23623,-64.6901,-62.23623,-64.6901,40,3,605,2628,139,106,234,21,247,101,70,235,124,149,30,32,161,1,193,220,78,167,2,21,53,151,,,,,,,,,,,,,
"",166127,13440,-64.6901,-62.23623,1,05/03/2017 20:24:56,Argos,0,325,SR,,401677281.2,05/03/2017 20:25:57,1,7,0,-129,401677281.2,-62.23623,-64.6901,-62.23623,-64.6901,40,3,605,2628,139,106,234,54,228,213,70,233,136,10,16,24,0,32,0,2,0,0,,,,,,,,,,,,,,,,,
"",166127,13440,-64.6901,-62.23623,1,05/03/2017 20:24:56,Argos,0,325,SR,,401677281.2,05/03/2017 20:26:44,1,7,0,-129,401677281.2,-62.23623,-64.6901,-62.23623,-64.6901,40,3,605,2628,139,106,234,34,229,168,149,48,6,133,220,1,60,65,,,,,,,,,,,,,,,,,,,,,
"",166127,13440,-64.6901,-62.23623,1,05/03/2017 20:24:56,Argos,0,325,SR,,401677281.2,05/03/2017 20:27:40,1,7,0,-129,401677281.2,-62.23623,-64.6901,-62.23623,-64.6901,40,3,605,2628,139,106,234,21,247,101,70,235,124,149,30,32,177,20,7,131,5,9,135,128,0,0,,,,,,,,,,,,,
"",166127,13440,-64.6871,-62.21989,B,05/03/2017 21:39:42,Argos,0,358,NP,,401677287.11,05/03/2017 21:36:43,1,2,0,-135,401677287.11,-62.21989,-64.6871,-62.21989,-64.6871,8,3,4857,23857,988,147,2332,74,178,165,70,231,130,8,4,24,33,0,192,0,0,0,,,,,,,,,,,,,,,,,
"",166127,13440,-64.6871,-62.21989,B,05/03/2017 21:39:42,Argos,0,358,NP,,401677287.11,05/03/2017 21:42:41,1,2,0,-135,401677287.11,-62.21989,-64.6871,-62.21989,-64.6871,8,3,4857,23857,988,147,2332,54,228,213,70,233,136,10,16,16,0,32,0,2,0,0,,,,,,,,,,,,,,,,,
"",166127,13440,-64.68756,-62.21994,B,05/03/2017 21:43:37,Argos,0,112,NN,,401677277.26,05/03/2017 21:42:41,1,2,0,-135,401677277.26,-62.21994,-64.68756,-62.21994,-64.68756,6,3,343,614,191,77,921,54,228,213,70,233,136,10,0,24,0,32,0,2,0,0,,,,,,,,,,,,,,,,,
"",166127,13440,-64.68756,-62.21994,B,05/03/2017 21:43:37,Argos,0,112,NN,,401677277.26,05/03/2017 21:44:33,1,2,0,-135,401677277.26,-62.21994,-64.68756,-62.21994,-64.68756,6,3,343,614,191,77,921,74,178,165,70,231,130,8,4,24,161,0,192,0,0,0,,,,,,,,,,,,,,,,,
"",166127,13440,-64.66794,-62.27428,2,05/03/2017 22:04:38,Argos,0,139,SR,,401677290.51,05/03/2017 22:03:34,1,4,0,-132,401677290.51,-62.27428,-64.66794,-62.27428,-64.66794,56,3,459,2399,87,75,583,21,247,101,70,235,124,149,30,32,177,28,7,135,5,9,135,128,0,0,,,,,,,,,,,,,
"",166127,13440,-64.66794,-62.27428,2,05/03/2017 22:04:38,Argos,0,139,SR,,401677290.51,05/03/2017 22:04:13,1,4,0,-132,401677290.51,-62.27428,-64.66794,-62.27428,-64.66794,56,3,459,2399,87,75,583,74,178,165,70,231,130,8,4,24,33,0,192,0,0,0,,,,,,,,,,,,,,,,,
"",166127,13440,-64.68258,-62.28925,A,05/03/2017 22:05:09,Argos,0,99,NK,,401677281.01,05/03/2017 22:04:13,1,3,0,-129,401677281.01,-62.28925,-64.68258,-62.28925,-64.68258,6,3,1279,6466,252,80,558,74,178,165,70,231,130,8,4,24,33,0,192,0,0,0,,,,,,,,,,,,,,,,,
"",166127,13440,-64.66794,-62.27428,2,05/03/2017 22:04:38,Argos,0,139,SR,,401677290.51,05/03/2017 22:04:53,1,4,0,-132,401677290.51,-62.27428,-64.66794,-62.27428,-64.66794,56,3,459,2399,87,75,583,54,228,213,70,233,136,10,16,24,0,32,0,2,0,0,,,,,,,,,,,,,,,,,
"",166127,13440,-64.68258,-62.28925,A,05/03/2017 22:05:09,Argos,0,99,NK,,401677281.01,05/03/2017 22:05:23,1,3,0,-129,401677281.01,-62.28925,-64.68258,-62.28925,-64.68258,6,3,1279,6466,252,80,558,34,229,149,70,227,0,121,3,0,0,0,,,,,,,,,,,,,,,,,,,,,
"",166127,13440,-64.66794,-62.27428,2,05/03/2017 22:04:38,Argos,0,139,SR,,401677290.51,05/03/2017 22:05:53,1,4,0,-132,401677290.51,-62.27428,-64.66794,-62.27428,-64.66794,56,3,459,2399,87,75,583,21,247,101,70,235,124,149,30,32,177,20,7,131,5,9,135,128,0,0,,,,,,,,,,,,,
"",166127,13440,-64.68258,-62.28925,A,05/03/2017 22:05:09,Argos,0,99,NK,,401677281.01,05/03/2017 22:05:53,1,3,0,-129,401677281.01,-62.28925,-64.68258,-62.28925,-64.68258,6,3,1279,6466,252,80,558,21,247,101,70,235,124,149,30,32,177,20,7,131,5,9,135,128,0,0,,,,,,,,,,,,,
"",166127,13440,-64.69447,-62.30768,1,05/03/2017 23:21:12,Argos,0,136,NP,,401677284.7,05/03/2017 23:20:37,1,5,0,-131,401677284.7,-62.30768,-64.69447,-62.30768,-64.69447,58,3,1158,3472,386,34,1810,21,247,101,70,235,124,149,30,32,177,20,7,3,5,9,135,128,0,0,,,,,,,,,,,,,
"",166127,13440,-64.69447,-62.30768,1,05/03/2017 23:21:12,Argos,0,136,NP,,401677284.7,05/03/2017 23:21:13,1,5,0,-131,401677284.7,-62.30768,-64.69447,-62.30768,-64.69447,58,3,1158,3472,386,34,1810,74,178,165,70,231,130,8,4,24,33,0,192,0,0,0,,,,,,,,,,,,,,,,,
