      2013-06-14 03:17:11  1 0.26436E+2   0.33760E+1   0.33600E+3
13440 113206   2  3 A B 2013-06-14 14:05:09   1.214  280.306  0.000 401677496
      2013-06-14 14:05:09  1 0.29268E+2   0.34080E+1   0.36000E+3
13440 113206   3  3 L B 2013-06-14 14:17:38   1.120  280.300  0.000 401677526
      2013-06-14 14:17:24  1 0.28088E+2   0.33920E+1   0.36800E+3
      2013-06-14 14:17:53  1 0.28324E+2   0.34080E+1   0.32400E+3
13440 113208   2  3 A B 2013-06-13 01:42:49 -21.960  282.388  0.000 401677560
      2013-06-13 01:42:50  1 0.27144E+2   0.32480E+1   0.45200E+3
13440 113208   6  3 L 1 2013-06-13 01:43:08 -21.920  282.815  0.000 401677479
      2013-06-13 01:39:39  1 0.26908E+2   0.32320E+1   0.31600E+3
      2013-06-13 01:40:10  1 0.26672E+2   0.32320E+1   0.42800E+3
      2013-06-13 01:42:50  1 0.27144E+2   0.32480E+1   0.45200E+3
      2013-06-13 01:43:34  1 0.26908E+2   0.32320E+1   0.34000E+3
      2013-06-13 01:46:01  1 0.27380E+2   0.32800E+1   0.19200E+3
13440 113208   4  3 B A 2013-06-13 02:39:20 -21.878  282.807  0.000 401677478
      2013-06-13 02:36:06  1 0.27380E+2   0.32000E+1   0.84000E+2
      2013-06-13 02:38:23  1 0.25256E+2   0.31840E+1   0.48400E+3
      2013-06-13 02:43:32  1 0.27144E+2   0.32320E+1   0.40800E+3
13440 113208   4  3 L A 2013-06-13 03:27:29 -21.839  282.779  0.000 401677466
      2013-06-13 03:20:55  1 0.27616E+2   0.32160E+1   0.42000E+3
      2013-06-13 03:21:32  1 0.27616E+2   0.32640E+1   0.47600E+3
      2013-06-13 03:27:29  1 0.28088E+2   0.31840E+1   0.43200E+3
13440 113208   6  3 A 3 2013-06-13 03:24:09 -21.848  282.785  0.000 401677471
      2013-06-13 03:20:55  1 0.27616E+2   0.32160E+1   0.42000E+3
      2013-06-13 03:21:32  1 0.27616E+2   0.32640E+1   0.47600E+3
      2013-06-13 03:26:42  1 0.27852E+2   0.32480E+1   0.49200E+3
      2013-06-13 03:27:29  1 0.28088E+2   0.31840E+1   0.43200E+3
      2013-06-13 03:32:08  1 0.27852E+2   0.32800E+1   0.42000E+3
13440 113208   2  3 P B 2013-06-13 05:27:24 -21.754  282.729  0.000 401677456
      2013-06-13 05:27:25  1 0.27852E+2   0.32480E+1   0.43200E+3
13440 113208   3  3 L B 2013-06-13 13:01:14 -21.468  282.623  0.000 401677438
      2013-06-13 13:00:57  1 0.26200E+2   0.33280E+1   0.33200E+3
      2013-06-13 13:01:33  1 0.26200E+2   0.33280E+1   0.32000E+3
13440 113208   2  3 A B 2013-06-13 13:00:56 -21.434  282.552  0.000 401677441
      2013-06-13 13:00:57  1 0.26200E+2   0.33280E+1   0.33200E+3
13440 113208   4  3 A A 2013-06-13 14:38:00 -21.377  282.665  0.000 401677479
      2013-06-13 14:34:01  1 0.26200E+2   0.32800E+1   0.46400E+3
      2013-06-13 14:39:43  1 0.26436E+2   0.33120E+1   0.35600E+3
      2013-06-13 14:40:18  1 0.26436E+2   0.32960E+1   0.48400E+3
13440 113208   3  3 L B 2013-06-13 14:40:00 -21.362  282.666  0.000 401677458
      2013-06-13 14:39:43  1 0.26436E+2   0.33120E+1   0.35600E+3
      2013-06-13 14:40:18  1 0.26436E+2   0.32960E+1   0.48400E+3
13440 113208   4  3 P A 2013-06-13 17:56:14 -21.182  282.706  0.000 401677479
      2013-06-13 17:55:34  1 0.27616E+2   0.33120E+1   0.34800E+3
      2013-06-13 17:56:14  1 0.27616E+2   0.32800E+1   0.36400E+3
      2013-06-13 17:56:54  1 0.27852E+2   0.32800E+1   0.44800E+3
13440 113208   4  3 R A 2013-06-14 00:24:48 -20.868  282.656  0.000 401677471
      2013-06-14 00:22:58  1 0.26908E+2   0.33440E+1   0.45200E+3
      2013-06-14 00:24:30  1 0.26908E+2   0.33120E+1   0.42800E+3
      2013-06-14 00:26:57  1 0.26672E+2   0.33280E+1   0.48000E+3
13440 113208   3  3 A B 2013-06-14 01:29:41 -20.779  282.657  0.000 401677474
      2013-06-14 01:23:15  1 0.27616E+2   0.32960E+1   0.37200E+3
      2013-06-14 01:29:41  1 0.27616E+2   0.35680E+1   0.46000E+3
13440 113208   4  3 L A 2013-06-14 01:29:25 -20.786  282.656  0.000 401677480
      2013-06-14 01:29:09  1 0.27616E+2   0.32640E+1   0.33600E+3
      2013-06-14 01:29:41  1 0.27616E+2   0.33120E+1   0.46000E+3
      2013-06-14 01:35:57  1 0.27380E+2   0.33120E+1   0.47200E+3
13440 113208   3  3 B B 2013-06-14 02:14:34 -20.741  282.655  0.000 401677481
      2013-06-14 02:14:35  1 0.27616E+2   0.33280E+1   0.37200E+3
      2013-06-14 02:15:25  1 0.27616E+2   0.33120E+1   0.45600E+3
13440 113208   5  3 A 0 2013-06-14 03:04:53 -20.693  282.727  0.000 401677481
      2013-06-14 03:01:16  1 0.27380E+2   0.32640E+1   0.33600E+3
      2013-06-14 03:02:00  1 0.27616E+2   0.32800E+1   0.48400E+3
      2013-06-14 03:07:34  1 0.26908E+2   0.32960E+1   0.48400E+3
      2013-06-14 03:08:44  1 0.26908E+2   0.32160E+1   0.35600E+3
13440 113208   6  3 L 1 2013-06-14 03:16:55 -20.682  282.677  0.000 401677483
      2013-06-14 03:08:44  1 0.26908E+2   0.32160E+1   0.35600E+3
      2013-06-14 03:12:10  1 0.26908E+2   0.33280E+1   0.34000E+3
      2013-06-14 03:13:05  1 0.26672E+2   0.32320E+1   0.29200E+3
      2013-06-14 03:16:24  1 0.27144E+2   0.32640E+1   0.36800E+3
      2013-06-14 03:17:26  1 0.26908E+2   0.32000E+1   0.38000E+3
13440 113208   4  3 P A 2013-06-14 05:15:47 -20.641  282.632  0.000 401677476
      2013-06-14 05:13:42  1 0.24312E+2   0.32800E+1   0.33200E+3
      2013-06-14 05:16:18  1 0.24548E+2   0.31840E+1   0.30800E+3
      2013-06-14 05:17:21  1 0.24548E+2   0.31840E+1   0.45200E+3
13440 113208   2  3 R B 2013-06-14 12:45:17 -20.269  282.591  0.000 401677508
      2013-06-14 12:45:17  1 0.25492E+2   0.12320E+1   0.49600E+3
13440 113208   4  3 L 0 2013-06-14 12:51:11 -20.114  282.617  0.000 401677484
      2013-06-14 12:50:11  1 0.25728E+2   0.32800E+1   0.43600E+3
      2013-06-14 12:51:19  1 0.25728E+2   0.33120E+1   0.37200E+3
      2013-06-14 12:52:27  2 0.25728E+2   0.32480E+1   0.45200E+3
13440 113208   3  3 A B 2013-06-14 14:21:07 -20.050  282.614  0.000 401677499
      2013-06-14 14:20:53  1 0.23368E+2   0.32000E+1   0.35600E+3
      2013-06-14 14:21:23  1 0.23840E+2   0.32320E+1   0.46800E+3
13440 113208   4  3 L A 2013-06-14 14:24:17 -20.019  282.556  0.000 401677476
      2013-06-14 14:23:26  1 0.25492E+2   0.32320E+1   0.40000E+3
      2013-06-14 14:24:04  1 0.25256E+2   0.32640E+1   0.48800E+3
      2013-06-14 14:25:21  1 0.25256E+2   0.32800E+1   0.42000E+3
13440 113208   2  3 B B 2013-06-14 15:07:37 -19.982  282.546  0.000 401677473
      2013-06-14 15:07:38  1 0.25256E+2   0.32640E+1   0.46800E+3
13440 113211   5  3 L 0 2013-06-13 01:44:23 -14.127  282.202  0.000 401677548
      2013-06-13 01:43:22  1 0.18883E+2   0.34720E+1   0.36400E+3
      2013-06-13 01:44:07  1 0.19356E+2   0.34720E+1   0.34400E+3
      2013-06-13 01:44:39  1 0.19592E+2   0.34720E+1   0.35600E+3
      2013-06-13 01:45:26  1 0.20064E+2   0.34720E+1   0.37200E+3
13440 113211   6  3 A 3 2013-06-13 01:46:39 -14.120  282.269  0.000 401677536
      2013-06-13 01:43:22  1 0.18883E+2   0.34720E+1   0.36400E+3
      2013-06-13 01:44:39  1 0.19592E+2   0.34720E+1   0.35600E+3
      2013-06-13 01:46:34  1 0.20300E+2   0.34560E+1   0.37200E+3
      2013-06-13 01:49:03  1 0.20300E+2   0.34880E+1   0.30800E+3
      2013-06-13 01:49:41  1 -.99111E+1   0.34720E+1   0.36400E+3
13440 113211   4  3 B 3 2013-06-13 02:40:09 -14.076  282.258  0.000 401677535
      2013-06-13 02:39:25  2 0.20064E+2   0.34400E+1   0.36000E+3
      2013-06-13 02:42:36  1 0.20064E+2   0.34560E+1   0.37600E+3
      2013-06-13 02:45:14  1 0.20064E+2   0.34240E+1   0.37200E+3
13440 113211   9  3 A 3 2013-06-13 03:25:50 -14.033  282.260  0.000 401677536
      2013-06-13 03:23:08  1 0.20064E+2   0.34240E+1   0.42800E+3
      2013-06-13 03:23:53  1 0.20064E+2   0.34240E+1   0.39600E+3
      2013-06-13 03:25:02  1 0.20300E+2   0.34400E+1   0.41600E+3
      2013-06-13 03:27:12  1 0.20300E+2   0.34080E+1   0.40000E+3
      2013-06-13 03:29:29  2 0.20300E+2   0.34240E+1   0.38400E+3
      2013-06-13 03:30:30  1 0.20536E+2   0.34400E+1   0.42400E+3
      2013-06-13 03:33:01  1 0.19592E+2   0.34240E+1   0.38000E+3
      2013-06-13 03:33:32  1 0.19592E+2   0.34400E+1   0.38000E+3
13440 113211   7  3 L 2 2013-06-13 03:27:42 -14.034  282.260  0.000 401677536
      2013-06-13 03:23:08  1 0.20064E+2   0.34240E+1   0.42800E+3
      2013-06-13 03:23:53  1 0.20064E+2   0.34240E+1   0.39600E+3
      2013-06-13 03:25:02  1 0.20300E+2   0.34400E+1   0.41600E+3
      2013-06-13 03:27:12  1 0.20300E+2   0.34080E+1   0.40000E+3
      2013-06-13 03:29:29  2 0.20300E+2   0.34240E+1   0.38400E+3
      2013-06-13 03:30:30  1 0.20536E+2   0.34400E+1   0.42400E+3
13440 113211   2  3 P B 2013-06-13 05:20:26 -13.940  282.231  0.000 401677535
      2013-06-13 05:20:27  1 0.20064E+2   0.34240E+1   0.38000E+3
13440 113211   4  3 L A 2013-06-13 13:01:18 -13.463  282.185  0.000 401677539
      2013-06-13 13:00:27  1 0.20064E+2   0.34720E+1   0.38000E+3
      2013-06-13 13:01:08  1 0.20536E+2   0.34720E+1   0.39200E+3
      2013-06-13 13:02:20  1 0.20536E+2   0.34400E+1   0.34000E+3
13440 113211   2  3 B B 2013-06-13 13:45:01 -13.422  282.167  0.000 401677530
      2013-06-13 13:45:01  1 0.20772E+2   0.34400E+1   0.38800E+3
13440 113211   9  3 A 2 2013-06-13 14:36:11 -13.323  282.124  0.000 401677534
      2013-06-13 14:31:48  1 0.21480E+2   0.34560E+1   0.34400E+3
      2013-06-13 14:32:45  1 0.21480E+2   0.34400E+1   0.40400E+3
      2013-06-13 14:35:10  1 0.21480E+2   0.34240E+1   0.35200E+3
      2013-06-13 14:36:05  1 0.21480E+2   0.34400E+1   0.37600E+3
      2013-06-13 14:37:14  1 0.21480E+2   0.34240E+1   0.46800E+3
      2013-06-13 14:37:52  1 0.21480E+2   0.34400E+1   0.38800E+3
      2013-06-13 14:38:31  1 0.21480E+2   0.34400E+1   0.38000E+3
      2013-06-13 14:40:09  1 0.21480E+2   0.34560E+1   0.35600E+3
13440 113211   7  3 L 3 2013-06-13 14:38:05 -13.321  282.142  0.000 401677535
      2013-06-13 14:35:10  1 0.21480E+2   0.34240E+1   0.35200E+3
      2013-06-13 14:36:05  1 0.21480E+2   0.34400E+1   0.37600E+3
      2013-06-13 14:37:14  1 0.21480E+2   0.34240E+1   0.46800E+3
      2013-06-13 14:38:31  1 0.21480E+2   0.34400E+1   0.38000E+3
      2013-06-13 14:40:09  1 0.21480E+2   0.34560E+1   0.35600E+3
      2013-06-13 14:41:25  1 0.21480E+2   0.34400E+1   0.37200E+3
13440 113211   2  3 A B 2013-06-13 16:14:10 -13.201  282.082  0.000 401677525
      2013-06-13 16:14:11  1 0.21716E+2   0.33920E+1   0.48000E+3
13440 113211   2  3 R B 2013-06-14 00:19:50 -12.595  281.877  0.000 401677517
      2013-06-14 00:19:51  1 0.20536E+2   0.34880E+1   0.32800E+3
13440 113211   3  3 B B 2013-06-14 02:18:19 -12.466  281.865  0.000 401677541
      2013-06-14 02:16:53  1 0.21008E+2   0.34720E+1   0.36800E+3
      2013-06-14 02:19:46  1 0.21008E+2   0.34560E+1   0.42000E+3
13440 113211   9  3 A 3 2013-06-14 03:13:19 -12.422  281.868  0.000 401677536
      2013-06-14 03:04:32  1 0.20772E+2   0.34560E+1   0.33200E+3
      2013-06-14 03:05:13  1 0.20536E+2   0.34560E+1   0.36400E+3
      2013-06-14 03:06:12  1 0.20536E+2   0.34560E+1   0.37200E+3
      2013-06-14 03:07:33  2 0.20536E+2   0.34560E+1   0.35600E+3
      2013-06-14 03:09:12  1 0.20536E+2   0.34560E+1   0.40000E+3
      2013-06-14 03:10:05  1 0.20536E+2   0.34560E+1   0.38800E+3
      2013-06-14 03:11:58  1 0.20536E+2   0.34720E+1   0.30800E+3
      2013-06-14 03:13:20  1 0.20536E+2   0.34560E+1   0.34000E+3
