13440 123224   3  7 L
      2013-09-22 01:20:24  1        245          166          205           65
                                     61           02           24
13440 123224   3  7 P
      2013-09-22 05:38:24  1        245          166          210           79
                                    180           02          142
13440 123224   3  7 R
      2013-09-22 11:58:54  1        247          166          199           64
                                     50           02           40
13440 123232   3  7 L
      2013-09-22 06:06:58  1         43          128          204           59
                                    249           02           83
13440 123232   3  7 A
      2013-09-22 13:12:34  1         43          128          206           77
                                    223           08           09
13440 123232   3  7 P
      2013-09-22 17:59:43  1         43          128          203           59
                                    254          238          209
13440 123232   3  7 R
      2013-09-22 23:20:14  1         43          128          203           58
                                     13           02           65
13440 123232   3  7 K
      2013-09-23 01:16:30  1         40          166          132          108
                                    124           15          107
13440 123232   3  7 N
      2013-09-23 06:15:12  1         43          128          201           66
                                     07           02           65
13440 123232   3  7 P
      2013-09-23 07:19:31  1         05          128          202           59
                                     14           02           63
13440 123232   3  7 R
      2013-09-23 11:24:13  1         44          128          202           59
                                     24           02           53
13440 123232   5  7 L B 2013-09-23 12:29:24 -59.733  289.959  0.000 401677260
      2013-09-23 12:29:25  1         44          128          200           73
                                    239           29          180
      2013-09-23 12:33:53  1         44          128          202           59
                                    250           02           83
