DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
131132,131132,0.500000,Transmission,Mk10,5,19:41:00 25-Apr-2016,20:25:52 25-Apr-2016,Message,10,,,,2682.000000,2702.000000,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,5,19:41:00 25-Apr-2016,19:44:10 25-Apr-2016,Dive,1,U,32.5,33.0,189,191,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,5,19:44:10 25-Apr-2016,19:45:10 25-Apr-2016,Surface,,,,,59,61,,,,,,,,,,,,,10,50
131132,131132,0.500000,Transmission,Mk10,5,19:45:10 25-Apr-2016,19:48:26 25-Apr-2016,Dive,1,U,28.5,29.0,195,197,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,5,19:48:26 25-Apr-2016,19:48:36 25-Apr-2016,Surface,,,,,9,11,,,,,,,,,,,,,4,6
131132,131132,0.500000,Transmission,Mk10,5,19:48:36 25-Apr-2016,19:53:00 25-Apr-2016,Dive,1,Square,23.0,23.0,263,265,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,5,19:53:00 25-Apr-2016,19:54:42 25-Apr-2016,Surface,,,,,101,103,,,,,,,,,,,,,13,89
131132,131132,0.500000,Transmission,Mk10,5,19:54:42 25-Apr-2016,20:01:56 25-Apr-2016,Dive,1,Square,26.5,27.0,433,435,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,5,20:01:56 25-Apr-2016,20:03:22 25-Apr-2016,Surface,,,,,85,87,,,,,,,,,,,,,17,69
131132,131132,0.500000,Transmission,Mk10,5,20:03:22 25-Apr-2016,20:15:08 25-Apr-2016,Dive,1,U,214.0,217.5,705,707,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,5,20:15:08 25-Apr-2016,20:25:52 25-Apr-2016,Surface,,,,,643,645,,,,,,,,,,,,,457,187
131132,131132,0.500000,Transmission,Mk10,12,20:26:00 25-Apr-2016,21:29:14 25-Apr-2016,Message,10,,,,3784.000000,3804.000000,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,12,20:26:00 25-Apr-2016,20:35:34 25-Apr-2016,Dive,1,V,218.0,221.5,573,575,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,12,20:35:34 25-Apr-2016,20:45:36 25-Apr-2016,Surface,,,,,601,603,,,,,,,,,,,,,524,78
131132,131132,0.500000,Transmission,Mk10,12,20:45:36 25-Apr-2016,20:55:08 25-Apr-2016,Dive,1,V,122.0,125.5,571,573,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,12,20:55:08 25-Apr-2016,20:56:40 25-Apr-2016,Surface,,,,,91,93,,,,,,,,,,,,,9,83
131132,131132,0.500000,Transmission,Mk10,12,20:56:40 25-Apr-2016,21:00:44 25-Apr-2016,Dive,1,U,20.5,20.5,243,245,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,12,21:00:44 25-Apr-2016,21:04:36 25-Apr-2016,Surface,,,,,231,233,,,,,,,,,,,,,37,195
131132,131132,0.500000,Transmission,Mk10,12,21:04:36 25-Apr-2016,21:11:22 25-Apr-2016,Dive,1,V,107.0,108.5,405,407,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,12,21:11:22 25-Apr-2016,21:12:38 25-Apr-2016,Surface,,,,,75,77,,,,,,,,,,,,,10,66
131132,131132,0.500000,Transmission,Mk10,12,21:12:38 25-Apr-2016,21:25:16 25-Apr-2016,Dive,1,Square,218.0,221.5,757,759,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,12,21:25:16 25-Apr-2016,21:29:14 25-Apr-2016,Surface,,,,,237,239,,,,,,,,,,,,,207,31
131132,131132,0.500000,Transmission,Mk10,7,21:29:00 25-Apr-2016,22:27:56 25-Apr-2016,Message,10,,,,3526.000000,3546.000000,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,7,21:29:00 25-Apr-2016,21:40:18 25-Apr-2016,Dive,1,Square,202.0,205.5,677,679,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,7,21:40:18 25-Apr-2016,21:44:26 25-Apr-2016,Surface,,,,,247,249,,,,,,,,,,,,,208,40
131132,131132,0.500000,Transmission,Mk10,7,21:44:26 25-Apr-2016,21:55:56 25-Apr-2016,Dive,1,Square,206.0,209.5,689,691,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,7,21:55:56 25-Apr-2016,21:59:24 25-Apr-2016,Surface,,,,,207,209,,,,,,,,,,,,,141,67
131132,131132,0.500000,Transmission,Mk10,7,21:59:24 25-Apr-2016,22:08:42 25-Apr-2016,Dive,1,Square,206.0,209.5,557,559,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,7,22:08:42 25-Apr-2016,22:12:30 25-Apr-2016,Surface,,,,,227,229,,,,,,,,,,,,,147,81
131132,131132,0.500000,Transmission,Mk10,7,22:12:30 25-Apr-2016,22:22:44 25-Apr-2016,Dive,1,U,202.0,205.5,613,615,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,7,22:22:44 25-Apr-2016,22:23:56 25-Apr-2016,Surface,,,,,71,73,,,,,,,,,,,,,9,63
131132,131132,0.500000,Transmission,Mk10,7,22:23:56 25-Apr-2016,22:26:30 25-Apr-2016,Dive,1,Square,24.5,25.0,153,155,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,7,22:26:30 25-Apr-2016,22:27:56 25-Apr-2016,Surface,,,,,85,87,,,,,,,,,,,,,8,78
131132,131132,0.500000,Transmission,Mk10,8,22:28:00 25-Apr-2016,22:51:32 25-Apr-2016,Message,10,,,,1402.000000,1422.000000,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,8,22:28:00 25-Apr-2016,22:32:20 25-Apr-2016,Dive,1,V,81.0,82.5,259,261,,,,,,,,,,,,,,
131132,131132,0.500000,Transmission,Mk10,8,22:32:20 25-Apr-2016,22:32:58 25-Apr-2016,Surface,,,,,37,39,,,,,,,,,,,,,5,33
