DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
131136,131136,Mk10,Strong,26-Apr-2016,13:20:11,26-Apr-2016,13:20:59
131136,131136,Mk10,Strong,05-Jul-2016,12:18:13,05-Jul-2016,12:19:08
