DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
131130,131130,0.500000,Transmission,Mk10,20,17:07:00 25-Apr-2016,17:32:48 25-Apr-2016,Message,11,,,,1537.000000,1559.000000,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,20,17:07:00 25-Apr-2016,17:07:56 25-Apr-2016,Surface,,,,,55,57,,,,,,,,,,,,,5,51
131130,131130,0.500000,Transmission,Mk10,20,17:07:56 25-Apr-2016,17:09:52 25-Apr-2016,Dive,1,Square,15.5,15.5,115,117,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,20,17:09:52 25-Apr-2016,17:11:42 25-Apr-2016,Surface,,,,,109,111,,,,,,,,,,,,,11,99
131130,131130,0.500000,Transmission,Mk10,20,17:11:42 25-Apr-2016,17:20:48 25-Apr-2016,Dive,1,Square,260.0,267.5,545,547,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,20,17:20:48 25-Apr-2016,17:20:52 25-Apr-2016,Surface,,,,,3,5,,,,,,,,,,,,,4,0
131130,131130,0.500000,Transmission,Mk10,20,17:20:52 25-Apr-2016,17:23:02 25-Apr-2016,Dive,1,U,25.5,26.0,129,131,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,20,17:23:02 25-Apr-2016,17:26:14 25-Apr-2016,Surface,,,,,191,193,,,,,,,,,,,,,118,74
131130,131130,0.500000,Transmission,Mk10,20,17:26:14 25-Apr-2016,17:28:46 25-Apr-2016,Dive,1,V,53.5,54.0,151,153,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,20,17:28:46 25-Apr-2016,17:29:10 25-Apr-2016,Surface,,,,,23,25,,,,,,,,,,,,,5,19
131130,131130,0.500000,Transmission,Mk10,20,17:29:10 25-Apr-2016,17:30:30 25-Apr-2016,Dive,1,U,15.5,15.5,79,81,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,20,17:30:30 25-Apr-2016,17:32:48 25-Apr-2016,Surface,,,,,137,139,,,,,,,,,,,,,13,125
131130,131130,0.500000,Transmission,Mk10,8,17:33:00 25-Apr-2016,18:12:48 25-Apr-2016,Message,10,,,,2378.000000,2398.000000,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,8,17:33:00 25-Apr-2016,17:41:52 25-Apr-2016,Dive,1,U,252.0,259.5,531,533,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,8,17:41:52 25-Apr-2016,17:44:40 25-Apr-2016,Surface,,,,,167,169,,,,,,,,,,,,,65,103
131130,131130,0.500000,Transmission,Mk10,8,17:44:40 25-Apr-2016,17:47:44 25-Apr-2016,Dive,1,Square,24.5,25.0,183,185,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,8,17:47:44 25-Apr-2016,17:49:20 25-Apr-2016,Surface,,,,,95,97,,,,,,,,,,,,,6,90
131130,131130,0.500000,Transmission,Mk10,8,17:49:20 25-Apr-2016,17:53:34 25-Apr-2016,Dive,1,U,75.0,76.5,253,255,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,8,17:53:34 25-Apr-2016,17:53:38 25-Apr-2016,Surface,,,,,3,5,,,,,,,,,,,,,4,0
131130,131130,0.500000,Transmission,Mk10,8,17:53:38 25-Apr-2016,17:55:06 25-Apr-2016,Dive,1,U,17.5,17.5,87,89,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,8,17:55:06 25-Apr-2016,17:56:40 25-Apr-2016,Surface,,,,,93,95,,,,,,,,,,,,,58,36
131130,131130,0.500000,Transmission,Mk10,8,17:56:40 25-Apr-2016,18:07:38 25-Apr-2016,Dive,1,U,260.0,267.5,657,659,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,8,18:07:38 25-Apr-2016,18:12:48 25-Apr-2016,Surface,,,,,309,311,,,,,,,,,,,,,160,150
131130,131130,0.500000,Transmission,Mk10,9,18:12:00 25-Apr-2016,18:53:24 25-Apr-2016,Message,10,,,,2474.000000,2494.000000,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,9,18:12:00 25-Apr-2016,18:21:04 25-Apr-2016,Dive,1,Square,230.0,233.5,543,545,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,9,18:21:04 25-Apr-2016,18:26:14 25-Apr-2016,Surface,,,,,309,311,,,,,,,,,,,,,200,110
131130,131130,0.500000,Transmission,Mk10,9,18:26:14 25-Apr-2016,18:34:22 25-Apr-2016,Dive,1,U,234.0,237.5,487,489,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,9,18:34:22 25-Apr-2016,18:39:26 25-Apr-2016,Surface,,,,,303,305,,,,,,,,,,,,,284,20
131130,131130,0.500000,Transmission,Mk10,9,18:39:26 25-Apr-2016,18:47:50 25-Apr-2016,Dive,1,Square,230.0,233.5,503,505,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,9,18:47:50 25-Apr-2016,18:50:32 25-Apr-2016,Surface,,,,,161,163,,,,,,,,,,,,,68,94
131130,131130,0.500000,Transmission,Mk10,9,18:50:32 25-Apr-2016,18:51:40 25-Apr-2016,Dive,1,U,24.0,24.0,67,69,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,9,18:51:40 25-Apr-2016,18:51:44 25-Apr-2016,Surface,,,,,3,5,,,,,,,,,,,,,4,0
131130,131130,0.500000,Transmission,Mk10,9,18:51:44 25-Apr-2016,18:52:58 25-Apr-2016,Dive,1,U,23.0,23.0,73,75,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,9,18:52:58 25-Apr-2016,18:53:24 25-Apr-2016,Surface,,,,,25,27,,,,,,,,,,,,,4,22
131130,131130,0.500000,Transmission,Mk10,6,18:54:00 25-Apr-2016,19:57:44 25-Apr-2016,Message,10,,,,3814.000000,3834.000000,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,6,18:54:00 25-Apr-2016,19:00:42 25-Apr-2016,Dive,1,Square,222.0,225.5,401,403,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,6,19:00:42 25-Apr-2016,19:05:40 25-Apr-2016,Surface,,,,,297,299,,,,,,,,,,,,,163,135
131130,131130,0.500000,Transmission,Mk10,6,19:05:40 25-Apr-2016,19:13:22 25-Apr-2016,Dive,1,Square,214.0,217.5,461,463,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,6,19:13:22 25-Apr-2016,19:18:42 25-Apr-2016,Surface,,,,,319,321,,,,,,,,,,,,,124,196
131130,131130,0.500000,Transmission,Mk10,6,19:18:42 25-Apr-2016,19:27:12 25-Apr-2016,Dive,1,Square,202.0,205.5,509,511,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,6,19:27:12 25-Apr-2016,19:31:42 25-Apr-2016,Surface,,,,,269,271,,,,,,,,,,,,,235,35
131130,131130,0.500000,Transmission,Mk10,6,19:31:42 25-Apr-2016,19:40:18 25-Apr-2016,Dive,1,Square,190.0,193.5,515,517,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,6,19:40:18 25-Apr-2016,19:44:56 25-Apr-2016,Surface,,,,,277,279,,,,,,,,,,,,,170,108
131130,131130,0.500000,Transmission,Mk10,6,19:44:56 25-Apr-2016,19:52:44 25-Apr-2016,Dive,1,Square,210.0,213.5,467,469,,,,,,,,,,,,,,
131130,131130,0.500000,Transmission,Mk10,6,19:52:44 25-Apr-2016,19:57:44 25-Apr-2016,Surface,,,,,299,301,,,,,,,,,,,,,174,126
