DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy
"131128",131128,0.500000,Transmission,Mk10,13,13:00:00 26-Apr-2016,14:00:00 26-Apr-2016,,,,0.0,0.00,228.0,1.75,,,,
"131128",131128,0.500000,Transmission,Mk10,10,14:00:00 26-Apr-2016,15:00:00 26-Apr-2016,,,,0.0,0.00,456.0,3.75,,,,
"131128",131128,0.500000,Transmission,Mk10,6,15:00:00 26-Apr-2016,16:00:00 26-Apr-2016,,,,0.0,0.00,506.0,5.75,,,,
"131128",131128,0.500000,Transmission,Mk10,8,16:00:00 26-Apr-2016,17:00:00 26-Apr-2016,,,,0.0,0.00,312.0,3.75,,,,
"131128",131128,0.500000,Transmission,Mk10,5,17:00:00 26-Apr-2016,18:00:00 26-Apr-2016,,,,0.0,0.00,228.0,1.75,,,,
"131128",131128,0.500000,Transmission,Mk10,5,18:00:00 26-Apr-2016,19:00:00 26-Apr-2016,,,,0.0,0.00,280.0,3.75,,,,
"131128",131128,0.500000,Transmission,Mk10,6,19:00:00 26-Apr-2016,20:00:00 26-Apr-2016,,,,0.0,0.00,304.0,3.75,,,,
"131128",131128,0.500000,Transmission,Mk10,7,20:00:00 26-Apr-2016,21:00:00 26-Apr-2016,,,,0.0,0.00,144.0,1.75,,,,
"131128",131128,0.500000,Transmission,Mk10,4,21:00:00 26-Apr-2016,22:00:00 26-Apr-2016,,,,0.0,0.00,152.0,1.75,,,,
"131128",131128,0.500000,Transmission,Mk10,4,22:00:00 26-Apr-2016,23:00:00 26-Apr-2016,,,,0.0,0.00,116.0,0.75,,,,
"131128",131128,0.500000,Transmission,Mk10,3,23:00:00 26-Apr-2016,00:00:00 27-Apr-2016,,,,0.0,0.00,132.0,1.75,,,,
