13440 112699   5  7 M B 2012-08-06 00:45:59  -4.372  278.266  0.000 401677746
      2012-08-06 00:45:59  1        174           21          101          126
                                     25           49           05
      2012-08-06 00:51:51  1         38          220          179          211
                                     71          177          156
13440 112699  11  7 M 3 2012-08-07 00:25:16  -2.578  278.778  0.000 401677612
      2012-08-07 00:22:37  1         39           81          212           64
                                    100           74          117
      2012-08-07 00:25:15  1         39           82          212           63
                                     99           74          117
      2012-08-07 00:27:57  1         39           82          212           59
                                     99           74          116
      2012-08-07 00:31:14  1         39           85          211           65
                                     94           74          117
      2012-08-07 00:31:53  1         39           82          211           66
                                     99           74          117
13440 112699   3  7 M B 2012-08-07 02:07:17  -2.574  278.778  0.000 401677621
      2012-08-07 02:07:18  1         40           85          209           69
                                     95           74          115
13440 112699   7  7 A A 2012-08-07 02:10:27  -2.551  278.794  0.000 401677612
      2012-08-07 02:07:18  1         40           85          209           69
                                     95           74          115
      2012-08-07 02:07:57  1         40           84          210           61
                                     96           74          115
      2012-08-07 02:10:28  1         08           84          210           61
                                     96           74          115
13440 112699   3  7 L B 2012-08-07 02:21:48  -2.551  278.794  0.000 401677612
      2012-08-07 02:21:49  1         40           84          209           63
                                     94           74          116
13440 112699   3  7 A B 2012-08-07 03:47:21  -2.566  278.781  0.000 401677634
      2012-08-07 03:47:21  1         40           85          208           62
                                     95           78          115
13440 112699   3  7 L B 2012-08-08 02:07:20  -2.516  278.800  0.000 401677632
      2012-08-08 02:07:20  1         40           84          214          184
                                    165          225          169
13440 112699   9  7 M 0 2012-08-08 12:38:14  -2.073  278.939  0.000 401677607
      2012-08-08 12:38:14  1         40           85          211           60
                                     97           78          138
      2012-08-08 12:40:54  1         40           87          210           73
                                     89           78          140
      2012-08-08 12:41:35  1         40           84          211           60
                                     98           78          141
      2012-08-08 12:44:47  1         40           84          211           62
                                     99           78          140
13440 112699   3  7 A B 2012-08-08 14:32:27  -2.042  278.939  0.000 401677608
      2012-08-08 14:32:27  1         40           85          209           68
                                    100           86          154
13440 112699   5  7 M B 2012-08-09 01:18:10  -1.861  278.962  0.000 401677609
      2012-08-09 01:18:11  1         40           84          209           59
                                     97           78          143
      2012-08-09 01:21:24  1         40           83          210           59
                                     98           78          143
13440 112699   5  7 L B 2012-08-09 01:55:56  -1.854  278.968  0.000 401677606
      2012-08-09 01:55:57  1         40           86          209           63
                                     95           78          143
      2012-08-09 02:04:07  1         40           84          209           59
                                     97           78          143
13440 112699   3  7 A B 2012-08-09 03:06:32  -1.849  278.981  0.000 401677602
      2012-08-09 03:06:33  1         40           85          207           62
                                     96           78          142
13440 112699   3  7 L B 2012-08-09 13:07:19  -1.823  279.002  0.000 401677582
      2012-08-09 13:07:20  1         41           83          209           63
                                     96           78          148
13440 112699   3  7 A B 2012-08-09 14:10:07  -1.738  279.059  0.000 401677612
      2012-08-09 14:10:08  1         41           82          209           59
                                     97           78          148
