13440 112692   7  7 P A 2012-01-03 17:34:38 -57.612  335.029  0.000 401677476
      2012-01-03 17:30:05  1         06          120          217           73
                                     73          101          180
      2012-01-03 17:34:46  1         06          119          218           68
                                     70          117          185
      2012-01-03 17:39:04  1         06          120          217           76
                                     77          117          183
13440 112704   3  7 N
      2012-01-03 16:34:41  1         21          138          218           57
                                     67          137          181
13440 112704   5  7 P
      2012-01-03 17:34:41  1         21          131          218           65
                                     73          129          229
      2012-01-03 17:40:20  1         21          132          219           55
                                     75          129          220
