13440 096089   3  3 A
13440 096090   4  3 L 3 2012-04-17 21:10:59 -42.950  147.355  0.000 401677184
      2012-04-17 21:08:22  1         53          188           41
      2012-04-17 21:10:45  1         53          189           40
      2012-04-17 21:14:33 12         53          189           41
13440 096090   6  3 A 3 2012-04-17 22:03:14 -42.952  147.355  0.000 401677179
      2012-04-17 22:02:03  4         53          189           41
      2012-04-17 22:03:57  7         53          189           42
      2012-04-17 22:04:25  1         53          189           43
      2012-04-17 22:07:16  3         53          190           41
      2012-04-17 22:08:13  4         53          190           42
13440 096090   4  3 M 3 2012-04-17 22:30:47 -42.955  147.345  0.000 401677172
      2012-04-17 22:28:39  1         53          190           41
      2012-04-17 22:30:33  7         53          190           42
      2012-04-17 22:34:21  6         53          191           42
13440 096090   3  3 L 2 2012-04-17 22:51:26 -42.951  147.350  0.000 401677166
      2012-04-17 22:52:24  1         54          187           10
      2012-04-17 22:55:43 15         54          191           42
13440 096090   3  3 A 3 2012-04-17 23:42:16 -42.947  147.339  0.000 401677150
      2012-04-17 23:44:10  3         54          193           42
      2012-04-17 23:47:30  8         54          193           43
13440 096090   3  3 P
      2012-04-18 03:52:36 14         56          197           43
      2012-04-18 03:53:04  3         56          196           43
13440 096090   5  3 N 3 2012-04-18 03:56:38 -42.948  147.355  0.000 401677142
      2012-04-18 03:52:36  1         56          197           35
      2012-04-18 03:54:01  1         56          196           47
      2012-04-18 03:56:24  1         56          196           43
      2012-04-18 04:00:40  4         56          197           43
13440 096090   2  3 K
      2012-04-18 05:28:33  2         57          197           43
13440 096090   3  3 P 3 2012-04-18 05:30:26 -42.950  147.362  0.000 401677152
      2012-04-18 05:29:01  1         57          196           44
      2012-04-18 05:34:15 13         57          197           43
13440 096090   2  3 N 2 2012-04-18 05:38:31 -42.947  147.364  0.000 401677154
      2012-04-18 05:43:16 17         57          197           43
13440 096091   3  3 A
      2012-04-17 00:09:17  4         48          172           40
      2012-04-17 00:09:46 10         48          172           41
13440 096091   2  3 P
      2012-04-17 02:15:27  3         49          179           42
13440 096091   4  3 P
      2012-04-17 04:01:18  8         50          185           44
      2012-04-17 04:02:16  1         50          185           42
      2012-04-17 04:04:12 12         50          185           43
13440 096091   5  3 N 1 2012-04-17 04:06:22 -42.954  147.322  0.000 401677375
      2012-04-17 04:03:14  1         50          185           41
      2012-04-17 04:09:02 12         50          185           43
      2012-04-17 04:09:31  2         50          185           44
