13440 112699   3  7 A
      2012-07-29 14:40:46  1         38           81          211           65
                                     79           44          172
13440 112699   3  7 M
      2012-07-30 00:11:11  1         38           92          210           73
                                     97           82           73
13440 112699   3  7 L
      2012-07-30 02:16:31  1         39           91          210           68
                                     94           83           59
13440 112699   2  3 M
      2012-07-30 12:56:15  1         39           87          211
13440 112699   3  7 L
      2012-07-30 13:31:53  1         39           95          226          243
                                    218          184          174
