13440 112728   3  7 K B 2012-12-28 07:33:46 -42.952  147.395  0.000 401677546
      2012-12-28 07:34:17  2         26          110          213           47
                                     99          106          145
13440 112729   3  7 N
      2012-12-28 06:05:13  1         38           94          206           44
                                     95           78          156
13440 120946   3  7 N
      2012-12-28 06:05:24  1         36          123          206           55
                                     97          122          148
13440 120946   3  7 A
      2012-12-28 12:40:39  1         37          121          206           54
                                    103          122          157
13440 120946   3  7 L
      2012-12-29 11:49:38  1         40          124          198           55
                                    105          122          144
13440 120946   3  7 A
      2012-12-29 12:19:38  1         40          126          204           54
                                    103          122          142
