13440 112727   3  7 P
      2012-12-13 05:01:39  1         00          109          223           51
                                     97          102          136
13440 112728   3  7 K
      2012-12-13 18:22:33  1         02          107          205           65
                                    123          106          100
13440 112729   3  7 N
      2012-12-13 05:32:18  1         00          100          218           72
                                    116           90          140
13440 112729   3  7 K
      2012-12-13 07:01:18  1         01           99          211           66
                                    115           90          145
13440 112729   3  7 N
      2012-12-13 07:15:18  1         01          101          210           66
                                    113           90          145
13440 112730   3  7 M
      2012-12-13 19:34:37  1         03          100          189          125
                                     73          114          104
13440 112730   3  7 L
      2012-12-13 19:54:07  1         03          100          188          125
                                     75          114          103
13440 112730   3  7 K
      2012-12-13 19:59:37  1         03          100          188          126
                                     74          114          103
13440 112730   5  7 L
      2012-12-13 23:09:37  1         03          107          190           89
                                     22          114          101
      2012-12-13 23:11:37  1         03          106          190          121
                                     22          114          101
13440 113221   2  3 K
      2012-12-13 20:03:38  1 0.20536E+2   0.35360E+1   0.31600E+3
