      2012-07-16 02:56:42  9 0.22896E+2   0.35040E+1   0.22000E+3
13440 121136   5  3 P 3 2012-07-16 03:10:33 -39.665  176.881  0.000 401677446
      2012-07-16 03:08:26  2 0.23368E+2   0.35040E+1   0.22400E+3
      2012-07-16 03:12:42  6 0.23604E+2   0.35040E+1   0.22000E+3
      2012-07-16 03:13:14  1 0.23604E+2   0.35040E+1   0.22400E+3
      2012-07-16 03:13:46  8 0.23368E+2   0.35040E+1   0.22000E+3
13440 121136   3  3 N 3 2012-07-16 04:31:14 -39.663  176.882  0.000 401677453
      2012-07-16 04:25:46  1 0.21716E+2   0.14560E+1   0.22000E+3
      2012-07-16 04:34:50 14 0.21480E+2   0.35040E+1   0.22000E+3
13440 121136   4  3 K 3 2012-07-16 04:30:15 -39.663  176.881  0.000 401677453
      2012-07-16 04:26:18  4 0.21716E+2   0.35040E+1   0.22000E+3
      2012-07-16 04:35:22 16 0.21480E+2   0.35040E+1   0.22000E+3
      2012-07-16 04:35:54  1 0.21244E+2   0.35040E+1   0.22000E+3
13440 121138  11  3 P 3 2012-07-16 01:31:43 -39.664  176.880  0.000 401677568
      2012-07-16 01:22:06  1 0.23132E+2   0.33920E+1   0.21600E+3
      2012-07-16 01:24:51  4 0.21952E+2   0.34080E+1   0.22000E+3
      2012-07-16 01:25:24  1 0.21716E+2   0.34080E+1   0.22000E+3
      2012-07-16 01:27:36  4 0.21480E+2   0.34080E+1   0.22000E+3
      2012-07-16 01:28:42  2 0.21480E+2   0.34240E+1   0.22000E+3
      2012-07-16 01:30:21  2 0.21244E+2   0.34240E+1   0.22400E+3
      2012-07-16 01:31:27  2 0.21244E+2   0.34240E+1   0.22000E+3
      2012-07-16 01:34:12  1 0.21008E+2   0.34240E+1   0.22000E+3
      2012-07-16 01:34:45  4 0.21008E+2   0.34240E+1   0.22400E+3
      2012-07-16 01:35:18  1 0.21008E+2   0.34400E+1   0.22400E+3
13440 121138   4  3 N 3 2012-07-16 02:52:28 -39.664  176.880  0.000 401677566
      2012-07-16 02:47:20  8 0.22896E+2   0.34880E+1   0.22800E+3
      2012-07-16 02:52:17  8 0.22896E+2   0.35040E+1   0.22800E+3
      2012-07-16 02:56:08  6 0.22660E+2   0.35040E+1   0.22800E+3
13440 121138   4  3 P 3 2012-07-16 03:09:57 -39.664  176.882  0.000 401677566
      2012-07-16 03:04:23  1 0.22896E+2   0.35040E+1   0.22800E+3
      2012-07-16 03:07:08  4 0.23132E+2   0.35040E+1   0.22800E+3
      2012-07-16 03:12:38  9 0.23368E+2   0.35040E+1   0.22800E+3
13440 121138   5  3 K 3 2012-07-16 04:29:58 -39.663  176.881  0.000 401677568
      2012-07-16 04:25:47  3 0.21716E+2   0.35040E+1   0.22800E+3
      2012-07-16 04:31:50  1 0.21480E+2   0.34880E+1   0.22800E+3
      2012-07-16 04:34:35 12 0.21480E+2   0.35040E+1   0.22800E+3
      2012-07-16 04:35:41  2 0.21244E+2   0.35040E+1   0.22800E+3
13440 121138   3  3 N 3 2012-07-16 04:32:35 -39.664  176.882  0.000 401677569
      2012-07-16 04:34:35 11 0.21480E+2   0.35040E+1   0.22800E+3
      2012-07-16 04:35:41  2 0.21244E+2   0.35040E+1   0.22800E+3
