13440 112729   3  7 P
      2012-12-21 05:12:13  1         18          225          200          102
                                     89          110          148
13440 112729   3  7 L
      2012-12-21 11:46:43  1         19          106          197           97
                                     88          118          139
13440 120946   3  7 P
      2012-12-21 05:12:17  1         16          121          206           60
                                     92          122          140
13440 120946   3  7 L
      2012-12-21 11:46:01  1         17          121          204           59
                                     92          122          143
